Name,Suburb,Postcode,School Level
Lyndhurst Public School,Lyndhurst ,2797,Primary School
Macdonald Valley Public School,CENTRAL MACDONALD,2775,Primary School
Macksville Public School,Macksville ,2447,Primary School
Maimuru Public School,Maimuru ,2594,Primary School
Maitland East Public School,EAST MAITLAND,2323,Primary School
Malabar Public School,MALABAR,2036,Primary School
Mandurama Public School,Mandurama ,2792,Primary School
Manifold Public School,Bentley ,2480,Primary School
Manildra Public School,MANILDRA,2865,Primary School
Manly West Public School,Balgowlah ,2093,Primary School
Maraylya Public School,Maraylya ,2765,Primary School
Pelican Flat Public School,PELICAN,2281,Primary School
Maroota Public School,MAROOTA,2756,Primary School
Maroubra Bay Public School,Maroubra ,2035,Primary School
Marrar Public School,Marrar ,2652,Primary School
Marsden Park Public School,MARSDEN PARK,2765,Primary School
Martindale Public School,Martindale,2328,Primary School
Martins Creek Public School,Martins Creek ,2420,Primary School
Martins Gully Public School,Armidale ,2350,Primary School
Marulan Public School,Marulan ,2579,Primary School
Mascot Public School,Mascot ,2020,Primary School
Mathoura Public School,Mathoura,2710,Primary School
Matong Public School,MATONG,2652,Primary School
Matraville Public School,Matraville ,2036,Primary School
Mayfield East Public School,Mayfield East ,2304,Primary School
Mayfield West Public School,Mayfield ,2304,Primary School
Mayrung Public School,Deniliquin ,2710,Primary School
Meadow Flat Public School,MEADOW FLAT,2795,Primary School
The Meadows Public School,Seven Hills ,2147,Primary School
Medlow Public School,UPPER TAYLORS ARM,2447,Primary School
Medowie Public School,Medowie,2318,Primary School
Megalong Public School,Megalong ,2785,Primary School
Menai Public School,Menai ,2234,Primary School
Mendooran Central School,MENDOORAN,2842,Central/Community School
Menindee Central School,MENINDEE,2879,Central/Community School
Merewether Public School,MEREWETHER,2291,Primary School
Merimbula Public School,MERIMBULA,2548,Primary School
Merriwa Central School,MERRIWA,2329,Central/Community School
Merrylands Public School,Merrylands ,2160,Primary School
Bonnells Bay Public School,Bonnells Bay ,2264,Primary School
Michelago Public School,Michelago,2620,Primary School
Middle Dural Public School,Middle Dural ,2158,Primary School
Middle Harbour Public School,Mosman ,2088,Primary School
Milbrodale Public School,MILBRODALE,2330,Primary School
Millers Forest Public School,MILLERS FOREST,2324,Primary School
Millfield Public School,Millfield ,2325,Primary School
Millthorpe Public School,Millthorpe ,2798,Primary School
Milperra Public School,Milperra ,2214,Primary School
Milton Public School,Milton ,2538,Primary School
Minmi Public School,Minmi ,2287,Primary School
Minto Public School,Minto ,2566,Primary School
Miranda Public School,MIRANDA,2228,Primary School
Mitchells Island Public School,Mitchells Island,2430,Primary School
Mittagong Public School,Mittagong ,2575,Primary School
Moama Public School,Moama ,2731,Primary School
Modanville Public School,Lismore ,2480,Primary School
Mogo Public School,Mogo ,2536,Primary School
Molong Central School,Molong ,2866,Central/Community School
Mona Vale Public School,Mona Vale ,2103,Primary School
Monteagle Public School,Monteagle ,2594,Primary School
Moonbi Public School,Moonbi ,2353,Primary School
Moorland Public School,MOORLAND,2443,Primary School
Moree Public School,Moree ,2400,Primary School
Morisset Public School,MORISSET,2264,Primary School
Morpeth Public School,Morpeth ,2321,Primary School
Mortdale Public School,Mortdale ,2223,Primary School
Mortlake Public School,Concord,2137,Primary School
Moruya Public School,Moruya ,2537,Primary School
Moss Vale Public School,Moss Vale ,2577,Primary School
Moulamein Public School,Moulamein ,2733,Primary School
Mount George Public School,Mount George ,2424,Primary School
Mount Hunter Public School,Camden ,2570,Primary School
Mount Kanwary Public School,Osterley,2324,Primary School
Mount Keira Public School,Mount Keira ,2500,Primary School
Mount Kembla Public School,Mount Kembla ,2526,Primary School
Mount Pleasant Public School,SINGLETON,2330,Primary School
Mount Pritchard Public School,Mount Pritchard ,2170,Primary School
Mount Victoria Public School,Mount Victoria ,2786,Primary School
Mudgee Public School,Mudgee ,2850,Primary School
Mulbring Public School,Mulbring ,2323,Primary School
Mulgoa Public School,Mulgoa ,2750,Primary School
Mullaley Public School,Mullaley ,2379,Primary School
Mullion Creek Public School,Mullion Creek,2800,Primary School
Mullumbimby Public School,Mullumbimby ,2482,Primary School
Mulwala Public School,MULWALA,2647,Primary School
Clergate Public School,Clergate ,2800,Primary School
Mumbil Public School,Mumbil ,2820,Primary School
Mummulgum Public School,Mummulgum,2469,Primary School
Mungindi Central School,MUNGINDI,2406,Central/Community School
Murringo Public School,MURRINGO,2586,Primary School
Murrumburrah Public School,MURRUMBURRAH,2587,Primary School
Murrurundi Public School,Murrurundi,2338,Primary School
Murwillumbah Public School,Murwillumbah ,2484,Primary School
Muswellbrook Public School,Muswellbrook ,2333,Primary School
Nabiac Public School,NABIAC,2312,Primary School
Nambucca Heads Public School,Nambucca Heads ,2448,Primary School
Nana Glen Public School,Nana Glen ,2450,Primary School
Nangus Public School,Nangus ,2722,Primary School
Naradhan Public School,Naradhan ,2669,Primary School
Narara Public School,Lisarow ,2250,Primary School
Narellan Public School,Narellan,2567,Primary School
Narrabeen Lakes Public School,Narrabeen ,2101,Primary School
Narrabri Public School,Narrabri ,2390,Primary School
Narrabri West Public School,Narrabri ,2390,Primary School
Narrandera Public School,Narrandera ,2700,Primary School
Narromine Public School,Narromine ,2821,Primary School
Nashdale Public School,Nashdale ,2800,Primary School
Tomaree Public School,Salamander Bay,2317,Primary School
Nemingha Public School,Nemingha ,2340,Primary School
Neutral Bay Public School,Neutral Bay ,2089,Primary School
Neville Public School,Neville ,2799,Primary School
Newcastle East Public School,Newcastle ,2300,Primary School
New Lambton Public School,New Lambton ,2305,Primary School
Newport Public School,Newport ,2106,Primary School
Newrybar Public School,Newrybar ,2479,Primary School
Newtown North Public School,Newtown ,2042,Primary School
Niangala Public School,Niangala ,2354,Primary School
Nicholson Street Public School,Balmain East ,2041,Primary School
Nimbin Central School,Nimbin ,2480,Central/Community School
Nimmitabel Public School,NIMMITABEL,2631,Primary School
Narooma Public School,Narooma ,2546,Primary School
Nords Wharf Public School,Nords Wharf ,2281,Primary School
Normanhurst Public School,Normanhurst ,2076,Primary School
Northbridge Public School,Northbridge ,2063,Primary School
Northmead Public School,Northmead ,2152,Primary School
North Rocks Public School,North Rocks,2151,Primary School
North Star Public School,North Star ,2408,Primary School
North Sydney Public School,Waverton ,2060,Primary School
Nowendoc Public School,Nowendoc,2354,Primary School
Nowra Public School,NOWRA,2541,Primary School
Nulkaba Public School,NULKABA,2325,Primary School
Nundle Public School,Nundle ,2340,Primary School
Nymboida Public School,Nymboida ,2460,Primary School
Nyngan Public School,Nyngan,2825,Primary School
Oakdale Public School,Oakdale ,2570,Primary School
Oaklands Central School,Oaklands,2646,Central/Community School
The Oaks Public School,THE OAKS,2570,Primary School
Oakville Public School,Oakville,2765,Primary School
Oatley Public School,OATLEY,2223,Primary School
Oberon Public School,OBERON,2787,Primary School
O'Connell Public School,O'Connell ,2795,Primary School
Old Bar Public School,Old Bar ,2430,Primary School
Old Bonalbo Public School,Old Bonalbo ,2470,Primary School
Old Guildford Public School,Guildford ,2161,Primary School
Orange East Public School,Orange ,2800,Primary School
Orange Grove Public School,Leichhardt ,2040,Primary School
Orara Upper Public School,UPPER ORARA,2450,Primary School
Orchard Hills Public School,Orchard Hills ,2748,Primary School
Otford Public School,Otford ,2508,Primary School
Ourimbah Public School,Ourimbah ,2258,Primary School
Padstow Park Public School,Padstow,2211,Primary School
Pallamallawa Public School,PALLAMALLAWA,2399,Primary School
Palmers Island Public School,Palmers Island,2463,Primary School
Pambula Public School,Pambula ,2549,Primary School
Parkes Public School,Parkes ,2870,Primary School
Parklea Public School,GLENWOOD,2768,Primary School
Parramatta Public School,PARRAMATTA,2150,Primary School
Wooli Public School,Wooli ,2462,Primary School
Parramatta North Public School,NORTH PARRAMATTA,2151,Primary School
Parramatta West Public School,Parramatta ,2150,Primary School
Paterson Public School,Paterson ,2421,Primary School
Paxton Public School,Paxton ,2325,Primary School
Peak Hill Central School,Peak Hill ,2869,Central/Community School
Peakhurst Public School,PEAKHURST,2210,Primary School
Peats Ridge Public School,PEATS RIDGE,2250,Primary School
Pelaw Main Public School,Pelaw Main ,2327,Primary School
Pennant Hills Public School,Pennant Hills ,2120,Primary School
West Pennant Hills Public School,West Pennant Hills ,2125,Primary School
Penrith Public School,Penrith ,2750,Primary School
Penrose Public School,Penrose,2579,Primary School
Penshurst Public School,Penshurst ,2222,Primary School
Perthville Public School,Perthville ,2795,Primary School
Picton Public School,Picton ,2571,Primary School
Pilliga Public School,Pilliga ,2388,Primary School
Pitt Town Public School,Pitt Town ,2756,Primary School
Pleasant Hills Public School,Pleasant Hills,2658,Primary School
Plumpton Public School,Plumpton ,2761,Primary School
The Pocket Public School,The Pocket,2483,Primary School
Pomona Public School,Pomona,2648,Primary School
Port Kembla Public School,Port Kembla ,2505,Primary School
Portland Central School,PORTLAND,2847,Central/Community School
Port Macquarie Public School,Port Macquarie ,2444,Primary School
Premer Public School,Premer ,2381,Primary School
Prestons Public School,Prestons ,2170,Primary School
Pretty Beach Public School,PRETTY BEACH,2257,Primary School
Primbee Public School,Primbee,2502,Primary School
Punchbowl Public School,PUNCHBOWL,2196,Primary School
Putney Public School,Ryde ,2112,Primary School
Quaama Public School,Quaama ,2550,Primary School
Quakers Hill Public School,Quakers Hill ,2763,Primary School
Quambone Public School,Quambone ,2831,Primary School
Quandialla Public School,Quandialla ,2721,Primary School
Queanbeyan Public School,Queanbeyan ,2620,Primary School
Leppington Public School,Leppington,2179,Primary School
Raglan Public School,Raglan ,2795,Primary School
Rainbow Street Public School,RANDWICK,2031,Primary School
Raleigh Public School,Raleigh ,2454,Primary School
Rand Public School,Rand ,2642,Primary School
Rankins Springs Public School,Rankins Springs ,2669,Primary School
Rappville Public School,RAPPVILLE,2469,Primary School
Raymond Terrace Public School,Raymond Terrace ,2324,Primary School
Redhead Public School,Redhead ,2290,Primary School
Red Range Public School,Red Range,2370,Primary School
Regents Park Public School,Regents Park ,2143,Primary School
Regentville Public School,Regentville ,2745,Primary School
Repton Public School,REPTON,2454,Primary School
Revesby Public School,Revesby ,2212,Primary School
Richmond North Public School,NORTH RICHMOND,2754,Primary School
The Risk Public School,THE RISK,2474,Primary School
Riverstone Public School,Riverstone,2765,Primary School
Robertson Public School,ROBERTSON,2577,Primary School
Rockdale Public School,Rockdale ,2216,Primary School
Rockley Public School,Rockley ,2795,Primary School
The Rock Central School,The Rock ,2655,Central/Community School
Whian Whian Public School,Whian Whian ,2480,Primary School
Rocky River Public School,Uralla ,2358,Primary School
Rollands Plains Upper Public School,Rollands Plains ,2441,Primary School
Rosebank Public School,Rosebank ,2480,Primary School
Rose Bay Public School,Rose Bay ,2029,Primary School
Roseville Public School,Roseville ,2069,Primary School
Rosewood Public School,ROSEWOOD,2652,Primary School
Ross Hill Public School,Inverell,2360,Primary School
Rossmore Public School,Rossmore ,2171,Primary School
Rous Public School,Alstonville ,2477,Primary School
Rouse Hill Public School,Rouse Hill ,2155,Primary School
Rukenvale Public School,Rukenvale ,2474,Primary School
Rydalmere Public School,RYDALMERE,2116,Primary School
Ryde Public School,Ryde,2112,Primary School
North Ryde Public School,North Ryde ,2113,Primary School
West Ryde Public School,West Ryde ,2114,Primary School
Rye Park Public School,Rye Park ,2586,Primary School
Rylstone Public School,RYLSTONE,2849,Primary School
St Johns Park Public School,St Johns Park ,2176,Primary School
St Marys Public School,St Marys ,2760,Primary School
St Peters Public School,St Peters ,2044,Primary School
Salt Ash Public School,SALT ASH,2318,Primary School
Sans Souci Public School,Sans Souci ,2219,Primary School
Savernake Public School,Savernake,2646,Primary School
Sawtell Public School,Sawtell ,2452,Primary School
Scarborough Public School,Scarborough ,2515,Primary School
Schofields Public School,Schofields ,2762,Primary School
Seaham Public School,Seaham ,2324,Primary School
Seven Hills North Public School,Seven Hills ,2147,Primary School
Shellharbour Public School,Shellharbour ,2529,Primary School
Shortland Public School,Shortland ,2307,Primary School
Singleton Public School,Singleton ,2330,Primary School
Smithfield Public School,Smithfield ,2164,Primary School
Smithtown Public School,Smithtown ,2440,Primary School
Sofala Public School,Sofala ,2795,Primary School
Somersby Public School,Gosford ,2250,Primary School
Somerton Public School,Somerton ,2340,Primary School
South West Rocks Public School,SOUTH WEST ROCKS,2431,Primary School
Spring Hill Public School,Spring Hill ,2800,Primary School
Spring Ridge Public School,Spring Ridge ,2343,Primary School
Spring Terrace Public School,Spring Terrace,2798,Primary School
Springwood Public School,Springwood ,2777,Primary School
Stanwell Park Public School,Stanwell Park ,2508,Primary School
Warrawong Public School,WARRAWONG,2502,Primary School
Stockinbingal Public School,Stockinbingal ,2725,Primary School
Stockton Public School,Stockton ,2295,Primary School
Stokers Siding Public School,Stokers Siding ,2484,Primary School
Stratford Public School,Stratford ,2422,Primary School
Stratheden Public School,Stratheden ,2470,Primary School
Strathfield North Public School,North Strathfield ,2137,Primary School
Strathfield South Public School,STRATHFIELD,2135,Primary School
Stroud Public School,Stroud ,2425,Primary School
Stroud Road Public School,Stroud Road ,2415,Primary School
Stuart Town Public School,Stuart Town ,2820,Primary School
Summer Hill Public School,Summer Hill ,2130,Primary School
Sutherland Public School,Sutherland,2232,Primary School
Sutton Public School,Sutton ,2620,Primary School
Swansea Public School,Swansea ,2281,Primary School
Sylvania Public School,Sylvania ,2224,Primary School
Tabulam Public School,Tabulam,2469,Primary School
Tacoma Public School,Tacoma ,2259,Primary School
Tahmoor Public School,Tahmoor ,2573,Primary School
Tallimba Public School,Tallimba ,2669,Primary School
Tallong Public School,TALLONG,2579,Primary School
Tambar Springs Public School,Tambar Springs ,2381,Primary School
Tamworth Public School,Tamworth ,2340,Primary School
Tamworth West Public School,West Tamworth ,2340,Primary School
Tanja Public School,Tanja ,2550,Primary School
Tarago Public School,Tarago ,2580,Primary School
Taralga Public School,Taralga ,2580,Primary School
Tarcutta Public School,Tarcutta ,2652,Primary School
Taree Public School,Taree ,2430,Primary School
Taren Point Public School,Taren Point,2229,Primary School
Tathra Public School,Tathra ,2550,Primary School
Tea Gardens Public School,Tea Gardens ,2324,Primary School
Telegraph Point Public School,Telegraph Point ,2441,Primary School
Temora Public School,Temora ,2666,Primary School
Tenambit Public School,Tenambit ,2323,Primary School
The Sir Henry Parkes Memorial Public School,TENTERFIELD,2372,Primary School
Teralba Public School,Teralba ,2284,Primary School
Terara Public School,Terara ,2540,Primary School
Terranora Public School,Terranora ,2486,Primary School
Terrey Hills Public School,Terrey Hills ,2084,Primary School
Terrigal Public School,Terrigal ,2260,Primary School
Tharbogang Public School,Tharbogang ,2680,Primary School
Thirlmere Public School,Thirlmere ,2572,Primary School
Thirroul Public School,Thirroul,2515,Primary School
Thornton Public School,Thornton ,2322,Primary School
Thurgoona Public School,Thurgoona ,2640,Primary School
Tibooburra Outback Public School,Tibooburra ,2880,Primary School
Tighes Hill Public School,Tighes Hill ,2297,Primary School
Central Tilba Public School,Central Tilba ,2546,Primary School
Tingha Public School,Tingha ,2369,Primary School
Tinonee Public School,Tinonee ,2430,Primary School
Tintinhull Public School,Kootingal ,2352,Primary School
Tirranna Public School,Goulburn ,2580,Primary School
Tocumwal Public School,Tocumwal,2714,Primary School
Tomerong Public School,Tomerong ,2540,Primary School
Tooleybuc Central School,Tooleybuc ,2736,Central/Community School
Main Arm Upper Public School,Upper Main Arm,2482,Primary School
Toomelah Public School,Boggabilla ,2409,Primary School
Toongabbie Public School,Toongabbie ,2146,Primary School
Tooraweenah Public School,Tooraweenah ,2831,Primary School
Toronto Public School,Toronto ,2283,Primary School
Tottenham Central School,Tottenham ,2873,Central/Community School
Toukley Public School,Toukley ,2263,Primary School
Towamba Public School,Towamba ,2550,Primary School
Trangie Central School,Trangie ,2823,Central/Community School
Tregeagle Public School,TREGEAGLE,2480,Primary School
Trundle Central School,Trundle ,2875,Central/Community School
Trunkey Public School,Trunkey Creek,2795,Primary School
Tucabia Public School,Tucabia ,2462,Primary School
Tuggerah Public School,Tuggerah,2259,Primary School
Tullamore Central School,TULLAMORE,2874,Central/Community School
Tullibigeal Central School,Tullibigeal ,2669,Central/Community School
Tumbarumba Public School,Tumbarumba ,2653,Primary School
Tumbulgum Public School,Tumbulgum ,2490,Primary School
Tumut Public School,Tumut,2720,Primary School
Tuntable Creek Public School,Tuntable Creek ,2480,Primary School
Turramurra North Public School,North Turramurra ,2074,Primary School
Tweed Heads Public School,Tweed Heads,2485,Primary School
Tyalgum Public School,Tyalgum ,2484,Primary School
Uki Public School,UKI,2484,Primary School
Ulan Public School,Ulan ,2850,Primary School
Ulladulla Public School,Ulladulla ,2539,Primary School
Ulmarra Public School,Ulmarra,2462,Primary School
Ulong Public School,Ulong ,2450,Primary School
Ultimo Public School,Ultimo ,2007,Primary School
Unanderra Public School,Cordeaux Heights ,2526,Primary School
Undercliffe Public School,Earlwood ,2206,Primary School
Ungarie Central School,UNGARIE,2669,Central/Community School
Urana Public School,Urana ,2645,Primary School
Urbenville Public School,Urbenville ,2475,Primary School
Urunga Public School,Urunga ,2455,Primary School
Vacy Public School,Vacy ,2421,Primary School
Vaucluse Public School,Vaucluse ,2030,Primary School
Carramar Public School,Carramar ,2163,Primary School
Vineyard Public School,Vineyard ,2765,Primary School
Wagga Wagga Public School,Wagga Wagga ,2650,Primary School
North Wagga Public School,Wagga Wagga,2650,Primary School
South Wagga Public School,WAGGA WAGGA,2650,Primary School
Waitara Public School,Wahroonga ,2077,Primary School
Wakool Burraboi Public School,Wakool,2710,Primary School
Walbundrie Public School,Walbundrie ,2642,Primary School
Walcha Central School,Walcha ,2354,Central/Community School
Walgett Community College - Primary School,Walgett ,2832,Primary School
Walhallow Public School,CAROONA,2343,Primary School
Wallabadah Public School,Wallabadah,2343,Primary School
Wallacia Public School,Wallacia,2745,Primary School
Walla Walla Public School,Walla Walla ,2659,Primary School
Wallendbeen Public School,Wallendbeen ,2588,Primary School
Wallerawang Public School,Wallerawang ,2845,Primary School
Wallsend Public School,WALLSEND,2287,Primary School
West Wallsend Public School,West Wallsend ,2286,Primary School
Wamoon Public School,Wamoon,2705,Primary School
Wanaaring Public School,Wanaaring ,2840,Primary School
Wangi Wangi Public School,Wangi Wangi ,2267,Primary School
Waratah Public School,WARATAH,2298,Primary School
Wardell Public School,Wardell ,2477,Primary School
Warialda Public School,Warialda ,2402,Primary School
Warners Bay Public School,WARNERS BAY,2282,Primary School
Warrawee Public School,Turramurra,2074,Primary School
Warren Central School,WARREN,2824,Central/Community School
Waterfall Public School,Waterfall ,2233,Primary School
Wattle Flat Public School,Wattle Flat ,2795,Primary School
Wauchope Public School,Wauchope ,2446,Primary School
Wee Jasper Public School,Wee Jasper ,2582,Primary School
Weethalle Public School,Weethalle ,2669,Primary School
Wee Waa Public School,Wee Waa ,2388,Primary School
Wellington Public School,Wellington ,2820,Primary School
Wentworth Public School,WENTWORTH,2648,Primary School
Wentworth Falls Public School,Wentworth Falls ,2782,Primary School
Wentworthville Public School,WENTWORTHVILLE,2145,Primary School
Werris Creek Public School,WERRIS CREEK,2341,Primary School
Westdale Public School,Westdale ,2340,Primary School
Weston Public School,WESTON,2326,Primary School
White Cliffs Public School,White Cliffs ,2836,Primary School
Whitton-Murrami Public School,Whitton ,2705,Primary School
Wiangaree Public School,WIANGAREE,2474,Primary School
Wilberforce Public School,Wilberforce ,2756,Primary School
Wilcannia Central School,Wilcannia ,2836,Central/Community School
Willawarrin Public School,Willawarrin,2440,Primary School
Willoughby Public School,WILLOUGHBY,2068,Primary School
Willow Tree Public School,WILLOW TREE,2339,Primary School
Athelstane Public School,Arncliffe ,2205,Primary School
Wilsons Creek Public School,Mullumbimby ,2482,Primary School
Windellama Public School,Goulburn,2580,Primary School
Windsor Public School,Windsor ,2756,Primary School
Wingello Public School,Wingello ,2579,Primary School
Wisemans Ferry Public School,Wisemans Ferry ,2775,Primary School
Wollar Public School,Wollar ,2850,Primary School
Wollongbar Public School,Wollongbar ,2477,Primary School
Wollongong West Public School,Wollongong ,2500,Primary School
Wolumla Public School,WOLUMLA,2550,Primary School
Wombat Public School,Wombat ,2587,Primary School
Wongarbon Public School,WONGARBON,2831,Primary School
Woodburn Public School,Woodburn ,2472,Primary School
Woodenbong Central School,Woodenbong ,2476,Central/Community School
Woodstock Public School,Woodstock ,2793,Primary School
Woolbrook Public School,Woolbrook ,2354,Primary School
Woolgoolga Public School,Woolgoolga ,2456,Primary School
Borenore Public School,BORENORE,2800,Primary School
Woolomin Public School,Woolomin ,2340,Primary School
Woonona Public School,Woonona ,2517,Primary School
Wyalong Public School,Wyalong ,2671,Primary School
West Wyalong Public School,West Wyalong ,2671,Primary School
Wyangala Dam Public School,WYANGALA,2808,Primary School
Wyee Public School,Wyee ,2259,Primary School
Wyndham Public School,Wyndham ,2550,Primary School
Wyong Public School,Wyong ,2259,Primary School
Wyong Creek Public School,WYONG CREEK,2259,Primary School
Wyrallah Public School,Wyrallah ,2480,Primary School
Yamba Public School,Yamba ,2464,Primary School
Table Top Public School,Table Top ,2640,Primary School
Yanco Public School,Yanco ,2703,Primary School
Yanderra Public School,Yanderra ,2574,Primary School
Yarrowitch Public School,Yarrowitch ,2354,Primary School
Yass Public School,Yass ,2582,Primary School
Yenda Public School,Yenda ,2681,Primary School
Yeoval Central School,Yeoval,2868,Central/Community School
Yerong Creek Public School,Yerong Creek ,2642,Primary School
Yetman Public School,Yetman ,2410,Primary School
Yoogali Public School,Yoogali ,2680,Primary School
Young Public School,Young ,2594,Primary School
Edgeworth Public School,Edgeworth,2285,Primary School
Zig Zag Public School,Lithgow ,2790,Primary School
Pottsville Beach Public School,Pottsville ,2489,Primary School
Rowena Public School,Rowena ,2387,Primary School
Dubbo West Public School,Dubbo ,2830,Primary School
Oyster Bay Public School,Oyster Bay ,2225,Primary School
Louth Public School,Louth ,2840,Primary School
Kemps Creek Public School,Kemps Creek ,2171,Primary School
Enngonia Public School,Enngonia ,2840,Primary School
Fairfield Heights Public School,FAIRFIELD,2165,Primary School
Scotts Head Public School,Scotts Head ,2447,Primary School
Afterlee Public School,AFTERLEE,2474,Primary School
Stuarts Point Public School,Stuarts Point ,2441,Primary School
Sussex Inlet Public School,Sussex Inlet,2540,Primary School
Cronulla South Public School,Cronulla ,2230,Primary School
St Georges Basin Public School,Basin View ,2540,Primary School
Warwick Farm Public School,Warwick Farm,2170,Primary School
Oxley Vale Public School,Tamworth,2340,Primary School
Soldiers Point Public School,Soldiers Point,2317,Primary School
Chester Hill Public School,Chester Hill ,2162,Primary School
Georges Hall Public School,Georges Hall ,2198,Primary School
South Coogee Public School,South Coogee,2034,Primary School
Croppa Creek Public School,Croppa Creek ,2411,Primary School
Annangrove Public School,Annangrove ,2156,Primary School
Woronora River Public School,WORONORA,2232,Primary School
Balgowlah Heights Public School,Balgowlah ,2093,Primary School
Goulburn West Public School,Goulburn ,2580,Primary School
Riverwood Public School,Riverwood ,2210,Primary School
Warragamba Public School,WARRAGAMBA,2752,Primary School
Belrose Public School,Belrose ,2085,Primary School
Upper Coopers Creek Public School,Upper Coopers Creek ,2480,Primary School
Wiripaang Public School,Gateshead ,2290,Primary School
Bundeena Public School,Bundeena,2230,Primary School
Pymble Public School,Pymble,2073,Primary School
Condell Park Public School,CONDELL PARK,2200,Primary School
Avalon Public School,Avalon Beach,2107,Primary School
Bald Face Public School,Blakehurst ,2221,Primary School
Hamilton South Public School,Merewether ,2291,Primary School
Lugarno Public School,Lugarno ,2210,Primary School
Oatley West Public School,Oatley,2223,Primary School
New Lambton South Public School,New Lambton ,2305,Primary School
Chullora Public School,Greenacre ,2190,Primary School
Tarrawanna Public School,Tarrawanna ,2518,Primary School
Sutherland North Public School,Sutherland ,2232,Primary School
Bathurst West Public School,Bathurst ,2795,Primary School
Gwynneville Public School,Gwynneville ,2500,Primary School
Narraweena Public School,NARRAWEENA,2099,Primary School
Jannali Public School,JANNALI,2226,Primary School
Ramsgate Public School,Ramsgate ,2217,Primary School
Chalmers Road School,Strathfield ,2135,Schools for Specific Purposes
Wahroonga Public School,Wahroonga ,2076,Primary School
Parramatta East Public School,Parramatta ,2150,Primary School
Melrose Park Public School,West Ryde ,2114,Primary School
Bathurst South Public School,Bathurst ,2795,Primary School
Wallsend South Public School,Wallsend ,2287,Primary School
Hazelbrook Public School,Hazelbrook ,2779,Primary School
Turramurra Public School,Turramurra ,2074,Primary School
Wyrallah Road Public School,Lismore ,2480,Primary School
Oak Flats Public School,Oak Flats ,2529,Primary School
Denistone East Public School,Eastwood ,2122,Primary School
Meadowbank Public School,Ryde ,2112,Primary School
Uralla Central School,Uralla ,2358,Central/Community School
Towradgi Public School,Fairy Meadow,2519,Primary School
Lake Illawarra South Public School,LAKE ILLAWARRA,2528,Primary School
Yagoona Public School,Yagoona ,2199,Primary School
Wattle Grove Public School,Wattle Grove ,2173,Primary School
Greenwell Point Public School,Greenwell Point ,2540,Primary School
Dobroyd Point Public School,HABERFIELD,2045,Primary School
Kahibah Public School,Kahibah ,2290,Primary School
Narwee Public School,Narwee ,2209,Primary School
Muswellbrook South Public School,Muswellbrook ,2333,Primary School
Corrimal East Public School,East Corrimal,2518,Primary School
Mount St Thomas Public School,Wollongong ,2500,Primary School
Tamworth South Public School,Tamworth ,2340,Primary School
Westmead Public School,Westmead ,2145,Primary School
Mount Colah Public School,Mount Colah ,2079,Primary School
McCallums Hill Public School,Roselands,2196,Primary School
Cooma North Public School,Cooma North ,2630,Primary School
Windale Public School,Windale ,2306,Primary School
Cardiff South Public School,Cardiff South,2285,Primary School
Como West Public School,Como ,2226,Primary School
Hamilton North Public School,Broadmeadow ,2292,Primary School
Marks Point Public School,Marks Point ,2280,Primary School
Glen Alice Public School,Glen Alice ,2849,Primary School
Argenton Public School,Argenton ,2284,Primary School
Pagewood Public School,Botany ,2019,Primary School
Narrabeen North Public School,NORTH NARRABEEN,2101,Primary School
Lane Cove West Public School,Lane Cove,2066,Primary School
Taree West Public School,Taree ,2430,Primary School
Palinyewah Public School,ELLERSLIE,2648,Primary School
Grays Point Public School,Grays Point ,2232,Primary School
Killara Public School,Killara ,2071,Primary School
Castle Cove Public School,Castle Cove ,2069,Primary School
Albury North Public School,Albury ,2640,Primary School
Kapooka Public School,Kapooka ,2661,Primary School
East Hills Public School,Panania ,2213,Primary School
Curl Curl North Public School,North Curl Curl ,2099,Primary School
Belmont North Public School,Belmont ,2280,Primary School
Cabramurra Public School,Cabramurra ,2630,Primary School
Seven Hills Public School,SEVEN HILLS,2147,Primary School
Waratah West Public School,Waratah West ,2298,Primary School
Crown Street Public School,Surry Hills ,2010,Primary School
Mount Hutton Public School,Mount Hutton ,2290,Primary School
Gordon West Public School,Pymble,2073,Primary School
Beverly Hills North Public School,Beverly Hills ,2209,Primary School
Finley Public School,Finley ,2713,Primary School
Maclean Public School,Maclean ,2463,Primary School
Quirindi Public School,Quirindi ,2343,Primary School
Tempe Public School,Tempe ,2044,Primary School
Maitland Public School,MAITLAND,2320,Primary School
Manly Village Public School,Manly ,2095,Primary School
Marrickville West Public School,Marrickville ,2204,Primary School
Marrickville Public School,Marrickville ,2204,Primary School
Waverley Public School,Waverley ,2024,Primary School
Wollongong Public School,Wollongong,2500,Primary School
Beaumont Road Public School,Killara ,2071,Primary School
Woolooware Public School,Cronulla ,2230,Primary School
Padstow Heights Public School,Padstow ,2211,Primary School
Waniora Public School,Bulli ,2516,Primary School
Figtree Public School,FIGTREE,2525,Primary School
Blackalls Park Public School,Blackalls Park ,2283,Primary School
Speers Point Public School,Speers Point ,2284,Primary School
Collaroy Plateau Public School,Collaroy Plateau ,2097,Primary School
Beacon Hill Public School,Beacon Hill ,2100,Primary School
Caringbah North Public School,Caringbah ,2229,Primary School
Russell Vale Public School,Russell Vale ,2517,Primary School
Farmborough Road Public School,Unanderra ,2526,Primary School
Villawood East Public School,Villawood ,2163,Primary School
Bellambi Public School,Bellambi ,2518,Primary School
