Name,Suburb,Postcode,School Level
Boree Creek Public School,Boree Creek ,2652,Primary School
Boronia Park Public School,HUNTERS HILL,2110,Primary School
Bossley Park Public School,Bossley Park ,2176,Primary School
Botany Public School,Botany ,2019,Primary School
Bourke Public School,BOURKE,2840,Primary School
Norfolk Island Central School,Norfolk Island,2899,Central/Community School
Bowning Public School,Bowning ,2582,Primary School
Bowral Public School,BOWRAL,2576,Primary School
Bowraville Central School,BOWRAVILLE,2449,Central/Community School
Braidwood Central School,Braidwood ,2622,Central/Community School
Branxton Public School,BRANXTON,2335,Primary School
Breadalbane Public School,BREADALBANE,2581,Primary School
Colo Heights Public School,Colo Heights,2756,Primary School
Bredbo Public School,Bredbo ,2626,Primary School
Brewarrina Central School,BREWARRINA,2839,Central/Community School
Bribbaree Public School,Bribbaree ,2594,Primary School
Brighton-Le-Sands Public School,BRIGHTON-LE-SANDS,2216,Primary School
Bringelly Public School,BRINGELLY,2556,Primary School
Broadwater Public School,Broadwater ,2472,Primary School
Brocklesby Public School,Brocklesby,2642,Primary School
Broke Public School,Broke ,2330,Primary School
Broken Hill Public School,Broken Hill ,2880,Primary School
Broken Hill North Public School,Broken Hill ,2880,Primary School
Bronte Public School,Bronte ,2024,Primary School
Brooklyn Public School,Brooklyn ,2083,Primary School
Brookvale Public School,Brookvale ,2100,Primary School
Brungle Public School,Brungle ,2722,Primary School
Brunswick Heads Public School,Brunswick Heads ,2483,Primary School
Bulahdelah Central School,Bulahdelah ,2423,Central/Community School
Bulli Public School,Bulli ,2516,Primary School
Bundanoon Public School,Bundanoon ,2578,Primary School
Bundarra Central School,BUNDARRA,2359,Central/Community School
Bungendore Public School,Bungendore ,2621,Primary School
Bungwahl Public School,BUNGWAHL,2423,Primary School
Bunnaloo Public School,Bunnaloo,2731,Primary School
Burke Ward Public School,Broken Hill ,2880,Primary School
Burnside Public School,North Parramatta ,2151,Primary School
Burrawang Public School,Burrawang ,2577,Primary School
Burren Junction Public School,Burren Junction ,2386,Primary School
Burringbar Public School,Burringbar ,2483,Primary School
Burrumbuttock Public School,Burrumbuttock ,2642,Primary School
Burwood Public School,BURWOOD,2134,Primary School
Buxton Public School,Buxton ,2571,Primary School
Byron Bay Public School,Byron Bay ,2481,Primary School
Cabbage Tree Island Public School,Cabbage Tree Island,2477,Primary School
Cabramatta Public School,Cabramatta ,2166,Primary School
Cambewarra Public School,Cambewarra ,2540,Primary School
Camden Public School,Camden ,2570,Primary School
Camdenville Public School,Newtown ,2042,Primary School
Cammeray Public School,Cammeray ,2062,Primary School
Campbelltown Public School,Campbelltown ,2560,Primary School
Campsie Public School,Campsie,2194,Primary School
Candelo Public School,Candelo ,2550,Primary School
Caniaba Public School,Lismore ,2480,Primary School
Canley Vale Public School,Canley Vale ,2166,Primary School
Canobolas Public School,Orange ,2800,Primary School
Canterbury Public School,Canterbury ,2193,Primary School
Brisbania Public School,Saratoga,2251,Primary School
Uranquinty Public School,URANQUINTY,2652,Primary School
Capertee Public School,Capertee ,2846,Primary School
Captains Flat Public School,Captains Flat,2623,Primary School
Caragabal Public School,Caragabal ,2810,Primary School
Carcoar Public School,Carcoar ,2791,Primary School
Cardiff Public School,Cardiff ,2285,Primary School
Cargo Public School,Cargo ,2800,Primary School
Carinda Public School,Carinda ,2831,Primary School
Caringbah Public School,Caringbah ,2229,Primary School
Carlton Public School,Bexley ,2207,Primary School
Carlton South Public School,Carlton ,2218,Primary School
Carool Public School,Carool,2486,Primary School
Carrathool Public School,Carrathool,2711,Primary School
Carrington Public School,Carrington ,2294,Primary School
Carroll Public School,Carroll ,2340,Primary School
Casino Public School,Casino ,2470,Primary School
Cassilis Public School,Cassilis,2329,Primary School
Castle Hill Public School,Castle Hill ,2154,Primary School
Cattai Public School,Cattai ,2756,Primary School
Cawdor Public School,Camden ,2570,Primary School
Cessnock Public School,Cessnock ,2325,Primary School
Cessnock East Public School,Cessnock ,2325,Primary School
Cessnock West Public School,Cessnock ,2325,Primary School
Chandler Public School,Wollomombi,2350,Primary School
The Channon Public School,The Channon ,2480,Primary School
Charlestown Public School,Charlestown ,2290,Primary School
Pacific Palms Public School,Boomerang Beach ,2428,Primary School
Chatsworth Island Public School,CHATSWORTH,2469,Primary School
Chillingham Public School,Chillingham ,2484,Primary School
Chipping Norton Public School,Chipping Norton ,2170,Primary School
Clarence Town Public School,Clarence Town ,2321,Primary School
Clemton Park Public School,Earlwood,2206,Primary School
Clovelly Public School,Waverley ,2024,Primary School
Clunes Public School,Clunes ,2480,Primary School
Cobar Public School,Cobar ,2835,Primary School
Cobargo Public School,Cobargo,2550,Primary School
Cobbitty Public School,Cobbitty ,2570,Primary School
Coffee Camp Public School,Coffee Camp ,2480,Primary School
Coffs Harbour Public School,COFFS HARBOUR,2450,Primary School
Coledale Public School,Coledale ,2515,Primary School
Collarenebri Central School,COLLARENEBRI,2833,Central/Community School
Collector Public School,Collector,2581,Primary School
Collins Creek Public School,Collins Creek ,2474,Primary School
Colyton Public School,Mount Druitt ,2770,Primary School
Comboyne Public School,Comboyne ,2429,Primary School
Comleroy Road Public School,Kurrajong,2758,Primary School
Como Public School,Como ,2226,Primary School
Conargo Public School,Conargo ,2710,Primary School
Concord Public School,Concord ,2137,Primary School
Concord West Public School,Concord West ,2138,Primary School
Condobolin Public School,CONDOBOLIN,2877,Primary School
Condong Public School,Condong ,2484,Primary School
Coniston Public School,Coniston ,2500,Primary School
Connells Point Public School,SOUTH HURSTVILLE,2221,Primary School
Cooerwull Public School,Lithgow ,2790,Primary School
Coogee Public School,Coogee ,2034,Primary School
Coolah Central School,Coolah ,2843,Central/Community School
Coolamon Central School,Coolamon ,2701,Central/Community School
Shoalhaven Heads Public School,Shoalhaven Heads,2535,Primary School
Coolongolook Public School,Coolongolook ,2423,Primary School
Cooma Public School,Cooma ,2630,Primary School
Coonabarabran Public School,Coonabarabran ,2357,Primary School
Coonamble Public School,COONAMBLE,2829,Primary School
Coopernook Public School,Coopernook ,2426,Primary School
Coorabell Public School,Coorabell ,2479,Primary School
Cooranbong Public School,Cooranbong ,2265,Primary School
Cootamundra Public School,Cootamundra,2590,Primary School
Copmanhurst Public School,Copmanhurst ,2460,Primary School
Coraki Public School,Coraki ,2471,Primary School
Coramba Public School,Coramba ,2450,Primary School
Corindi Public School,Corindi Beach ,2456,Primary School
Corndale Public School,Corndale ,2480,Primary School
Corowa Public School,Corowa ,2646,Primary School
Corowa South Public School,Corowa ,2646,Primary School
Corrimal Public School,Corrimal,2518,Primary School
Coutts Crossing Public School,COUTTS CROSSING,2460,Primary School
Cowan Public School,Cowan ,2081,Primary School
Cowper Public School,Cowper ,2460,Primary School
Cowra Public School,Cowra ,2794,Primary School
Crabbes Creek Public School,Crabbes Creek ,2483,Primary School
Crescent Head Public School,Crescent Head ,2440,Primary School
Cronulla Public School,Cronulla ,2230,Primary School
Crookwell Public School,Crookwell ,2583,Primary School
Crossmaglen Public School,Crossmaglen,2441,Primary School
Buronga Public School,Buronga ,2739,Primary School
Crystal Creek Public School,CRYSTAL CREEK,2484,Primary School
Cudal Public School,Cudal ,2864,Primary School
Cudgen Public School,Cudgen ,2487,Primary School
Culcairn Public School,Culcairn ,2660,Primary School
Cullen Bullen Public School,Cullen Bullen ,2790,Primary School
Cumnock Public School,Cumnock,2867,Primary School
Cundletown Public School,Cundletown ,2430,Primary School
Curlewis Public School,Curlewis ,2381,Primary School
Currabubula Public School,Currabubula ,2342,Primary School
Dalgety Public School,Dalgety,2628,Primary School
Dalton Public School,Dalton ,2581,Primary School
Dapto Public School,HORSLEY,2530,Primary School
Dareton Public School,Dareton ,2717,Primary School
Darlington Public School,Chippendale ,2008,Primary School
Darlington Point Public School,Darlington Point ,2706,Primary School
Leeville Public School,Leeville ,2470,Primary School
Deepwater Public School,Deepwater ,2371,Primary School
Dee Why Public School,Dee Why ,2099,Primary School
Delegate Public School,Delegate ,2633,Primary School
Delungra Public School,Delungra ,2403,Primary School
Denman Public School,Denman ,2328,Primary School
Doonside Public School,Doonside,2767,Primary School
Dora Creek Public School,Dora Creek ,2264,Primary School
Double Bay Public School,Double Bay ,2028,Primary School
Doubtful Creek Public School,Doubtful Creek,2470,Primary School
Douglas Park Public School,Douglas Park ,2569,Primary School
Drake Public School,Drake,2469,Primary School
Drummoyne Public School,Drummoyne ,2047,Primary School
Dubbo Public School,Dubbo ,2830,Primary School
Dubbo North Public School,Dubbo ,2830,Primary School
Dudley Public School,Dudley ,2290,Primary School
Lismore Public School,Lismore ,2480,Primary School
Dundurrabin Public School,Dundurrabin,2453,Primary School
Dunedoo Central School,Dunedoo ,2844,Central/Community School
Dungay Public School,Dungay,2484,Primary School
Dungog Public School,Dungog ,2420,Primary School
Dungowan Public School,Dungowan,2340,Primary School
Dunoon Public School,Dunoon ,2480,Primary School
Dural Public School,Dural ,2158,Primary School
Duranbah Public School,Duranbah ,2487,Primary School
Duri Public School,Duri ,2344,Primary School
Durrumbul Public School,Durrumbul ,2482,Primary School
Earlwood Public School,Earlwood ,2206,Primary School
Eastern Creek Public School,EASTERN CREEK,2766,Primary School
Panania Public School,PANANIA,2213,Primary School
Dubbo South Public School,Dubbo ,2830,Primary School
Ebenezer Public School,Ebenezer ,2756,Primary School
Ebor Public School,Ebor ,2453,Primary School
Eden Public School,Eden ,2551,Primary School
Congewai Public School,CONGEWAI,2325,Primary School
Eglinton Public School,Eglinton ,2795,Primary School
Elands Public School,Elands ,2429,Primary School
Ellalong Public School,ELLALONG,2325,Primary School
Ellerston Public School,Ellerston,2337,Primary School
Eltham Public School,Eltham ,2480,Primary School
Emmaville Central School,Emmaville ,2371,Central/Community School
Empire Bay Public School,Empire Bay ,2256,Primary School
Empire Vale Public School,Empire Vale ,2478,Primary School
Emu Plains Public School,Emu Plains ,2750,Primary School
Enfield Public School,Enfield ,2136,Primary School
Engadine Public School,Engadine ,2233,Primary School
The Entrance Public School,The Entrance ,2261,Primary School
Epping Public School,EPPING,2121,Primary School
Epping West Public School,Epping ,2121,Primary School
Erina Heights Public School,Erina Heights ,2260,Primary School
Woodport Public School,Erina ,2250,Primary School
Ermington Public School,West Ryde ,2114,Primary School
Ettalong Public School,Ettalong Beach ,2257,Primary School
Euabalong West Public School,EUABALONG WEST,2877,Primary School
Euchareena Public School,Euchareena ,2866,Primary School
Eugowra Public School,Eugowra ,2806,Primary School
Eumungerie Public School,Eumungerie ,2831,Primary School
Eungai Public School,Eungai Creek ,2441,Primary School
Eureka Public School,Eureka ,2480,Primary School
Eurongilly Public School,EURONGILLY,2663,Primary School
Euston Public School,Euston ,2737,Primary School
Evans River Community School,EVANS HEAD,2473,Central/Community School
Excelsior Public School,Castle Hill ,2154,Primary School
Exeter Public School,Exeter ,2579,Primary School
Fairfax Public School,Maules Creek,2382,Primary School
