Name,School Level,Suburb,Postcode
Wantirna Primary School,Primary,Wantirna,3152
Wonthaggi North Primary School,Primary,Wonthaggi,3995
Melton South Primary School,Primary,Melton South,3338
Chelsea Primary School,Primary,Chelsea,3196
Nowa Nowa Primary School,Primary,Nowa Nowa,3887
Hampton Primary School,Primary,Hampton,3188
Victorian College For The Deaf,Special,Melbourne,3004
Balliang East Primary School,Primary,Balliang East,3340
Edithvale Primary School,Primary,Edithvale,3196
Orrvale Primary School,Primary,Orrvale,3631
Penders Grove Primary School,Primary,Thornbury,3071
Underbool Primary School,Primary,Underbool,3509
Caulfield Junior College,Primary,Caulfield North,3161
Seaford Primary School,Primary,Seaford,3198
Wattle Park Primary School,Primary,Burwood,3125
Murrabit Group School,Primary,Murrabit,3579
Preston West Primary School,Primary,Preston,3072
Thornbury Primary School,Primary,Thornbury,3071
Footscray West Primary School,Primary,West Footscray,3012
Wandin North Primary School,Primary,Wandin North,3139
Gardenvale Primary School,Primary,Brighton East,3187
Beaumaris Primary School,Primary,Beaumaris,3193
Currawa Primary School,Primary,Dookie Campus,3647
Echuca West Primary School,Primary,Echuca,3564
Cann River P-12 College,Pri/Sec,Cann River,3890
Altona Primary School,Primary,Altona,3018
Devon Meadows Primary School,Primary,Devon Meadows,3977
Upper Ferntree Gully Primary School,Primary,Upper Ferntree Gully,3156
Eildon Primary School,Primary,Eildon,3713
Bittern Primary School,Primary,Bittern,3918
Colbinabbin Primary School,Primary,Colbinabbin,3559
Stanhope Primary School,Primary,Stanhope,3623
Hurstbridge Primary School,Primary,Hurstbridge,3099
Coburg West Primary School,Primary,Coburg,3058
Elwood Primary School,Primary,Elwood,3184
Mont Albert Primary School,Primary,Mont Albert,3127
Dhurringile Primary School,Primary,Dhurringile,3610
Strathewen Primary School,Primary,Strathewen,3099
Don Valley Primary School,Primary,Don Valley,3139
Reservoir Primary School,Primary,Reservoir,3073
Yallourn North Primary School,Primary,Yallourn North,3825
Toorloo Arm Primary School,Primary,Lake Tyers Beach,3909
Girgarre Primary School,Primary,Girgarre,3624
Yaapeet Primary School,Primary,Yaapeet,3424
Gladysdale Primary School,Primary,Gladysdale,3797
Mildura West Primary School,Primary,Mildura,3500
Moonee Ponds Primary School,Primary,Moonee Ponds,3039
Kingsville Primary School,Primary,Yarraville,3013
Kallista Primary School,Primary,Kallista,3791
Essendon North Primary School,Primary,Essendon North,3041
Ascot Vale West Primary School,Primary,Ascot Vale,3032
Welton Primary School,Primary,Torrumbarry,3562
Hartwell Primary School,Primary,Camberwell,3124
Red Cliffs Primary School,Primary,Red Cliffs,3496
Wattle Glen Primary School,Primary,Wattle Glen,3096
Hampton Park Primary School,Primary,Hampton Park,3976
Colac West Primary School,Primary,Colac,3250
Ripponlea Primary School,Primary,St Kilda East,3183
Noojee Primary School,Primary,Noojee,3833
Montmorency Primary School,Primary,Montmorency,3094
Moriac Primary School,Primary,Moriac,3240
Ringwood North Primary School,Primary,Ringwood North,3134
Red Cliffs East Primary School,Primary,Red Cliffs,3496
Lloyd Street Primary School,Primary,Malvern East,3145
Bayswater North Primary School,Primary,Bayswater North,3153
Westbreen Primary School,Primary,Pascoe Vale,3044
Point Cook Prep - Year 9 College,Pri/Sec,Point Cook,3030
Footscray North Primary School,Primary,Footscray,3011
Airly Primary School,Primary,Airly,3851
Camberwell South Primary School,Primary,Glen Iris,3146
Parkdale Primary School,Primary,Parkdale,3195
Hughesdale Primary School,Primary,Hughesdale,3166
Westgarth Primary School,Primary,Northcote,3070
Auburn South Primary School,Primary,Hawthorn East,3123
Aspendale Primary School,Primary,Aspendale,3195
Eltham North Primary School,Primary,Eltham North,3095
Merrivale Primary School,Primary,Warrnambool,3280
Dandenong West Primary School,Primary,Dandenong,3175
Yarra Road Primary School,Primary,Croydon,3136
Aberfeldie Primary School,Primary,Essendon,3040
Manifold Heights Primary School,Primary,Manifold Heights,3218
Nungurner Primary School,Primary,Nungurner,3909
Dingley Primary School,Primary,Dingley Village,3172
Cardross Primary School,Primary,Cardross,3496
Albion Primary School,Primary,Albion,3020
Lemnos Primary School,Primary,Lemnos,3631
Tarwin Lower Primary School,Primary,Tarwin Lower,3956
Nepean Special School,Special,Seaford,3198
Brunswick South West Primary School,Primary,Brunswick West,3055
Bell Primary School,Primary,Preston,3072
Chatham Primary School,Primary,Surrey Hills,3127
Caulfield South Primary School,Primary,Caulfield South,3162
Ashburton Primary School,Primary,Ashburton,3147
Bentleigh West Primary School,Primary,Bentleigh,3204
Seaspray Primary School,Primary,Seaspray,3851
Anglesea Primary School,Primary,Anglesea,3230
Briar Hill Primary School,Primary,Briar Hill,3088
Zeerust Primary School,Primary,Zeerust,3634
Mckinnon Primary School,Primary,Ormond,3204
Clayton South Primary School,Primary,Clayton South,3169
Ivanhoe East Primary School,Primary,Ivanhoe East,3079
Cobains Primary School,Primary,Cobains,3851
Mildura South Primary School,Primary,Mildura South,3501
Tate Street Primary School Geelong,Primary,Geelong East,3219
Brunswick North West Primary School,Primary,Brunswick West,3055
Katandra West Primary School,Primary,Katandra West,3634
Fleetwood Primary School,Primary,Narre Warren,3805
Sunnycliffs Primary School,Primary,Sunnycliffs,3496
Sandringham East Primary School,Primary,Sandringham,3191
Seaholme Primary School,Primary,Seaholme,3018
Somers Primary School,Primary,Somers,3927
Travancore School,Special,TRAVANCORE,3032
Upwey Primary School,Primary,Upwey,3158
Coburg North Primary School,Primary,Coburg,3058
Rosanna Primary School,Primary,Rosanna,3084
Wantirna South Primary School,Primary,Wantirna South,3152
Strathmore Primary School,Primary,Strathmore,3041
Balwyn North Primary School,Primary,Balwyn North,3104
Solway Primary School,Primary,Ashburton,3147
Wangaratta West Primary School,Primary,Wangaratta,3677
Mount Beauty Primary School,Primary,Mount Beauty,3699
Newlands Primary School,Primary,Preston,3072
Somers School Camp,Primary,Somers,3927
Newborough Primary School,Primary,Newborough,3825
Traralgon (Stockdale Road) Primary School,Primary,Traralgon,3844
Gowrie Street Primary School Shepparton,Primary,Shepparton,3630
Tootgarook Primary School,Primary,Tootgarook,3941
Moe (South Street) Primary School,Primary,Moe,3825
Roslyn Primary School,Primary,Belmont,3216
Newport Gardens Primary School,Primary,Newport,3015
St Georges Road Primary School Shepparton,Primary,Shepparton,3630
Malvern Valley Primary School,Primary,Malvern East,3145
Newborough East Primary School,Primary,Newborough,3825
Belmore School,Special,Balwyn,3103
Croxton Special School,Special,Northcote,3070
Herne Hill Primary School,Primary,Hamlyn Heights,3218
Frankston East Primary School,Primary,Frankston,3199
Selby Primary School,Primary,Selby,3159
Reservoir East Primary School,Primary,Reservoir,3073
Tucker Road Bentleigh Primary School,Primary,Bentleigh,3204
Katunga Primary School,Primary,Katunga,3640
Ballarat North Primary School,Primary,Ballarat,3350
Bandiana Primary School,Primary,Bandiana,3694
Greythorn Primary School,Primary,Balwyn North,3104
Warragul North Primary School,Primary,Warragul,3820
Horsham West and Haven Primary School,Primary,Horsham,3400
Traralgon (Kosciuszko Street) Primary School,Primary,Traralgon,3844
Traralgon (Liddiard Road) Primary School,Primary,Traralgon,3844
Eastwood Primary School,Primary,Ringwood East,3135
Pascoe Vale South Primary School,Primary,Pascoe Vale South,3044
Lalor Primary School,Primary,Lalor,3075
Reservoir West Primary School,Primary,Reservoir,3073
Coatesville Primary School,Primary,Bentleigh East,3165
Old Orchard Primary School,Primary,Blackburn North,3130
Huntingdale Primary School,Primary,Oakleigh South,3167
Box Hill North Primary School,Primary,Box Hill North,3129
Ferntree Gully North Primary School,Primary,Ferntree Gully,3156
Ararat West Primary School,Primary,Ararat,3377
Oak Park Primary School,Primary,Oak Park,3046
Dandenong North Primary School,Primary,Dandenong,3175
Bairnsdale West Primary School,Primary,Bairnsdale,3875
Kalianna Special School,Special,Bendigo,3550
Harrisfield Primary School,Primary,Noble Park,3174
Pascoe Vale North Primary School,Primary,Pascoe Vale,3044
Belle Vue Primary School,Primary,Balwyn North,3104
Oberon Primary School,Primary,Belmont,3216
Moe Primary School,Primary,Moe,3825
St Albans East Primary School,Primary,St Albans,3021
Bourchier Street Primary School Shepparton,Primary,Shepparton,3630
Swan Hill North Primary School,Primary,Swan Hill,3585
Sunshine Heights Primary School,Primary,Sunshine,3020
Sunshine North Primary School,Primary,Sunshine North,3020
Banyule Primary School,Primary,Rosanna,3084
Portland South Primary School,Primary,Portland,3305
Rosanna Golf Links Primary School,Primary,Rosanna,3084
Cheltenham East Primary School,Primary,Cheltenham,3192
Cranbourne South Primary School,Primary,Cranbourne South,3977
Yarrunga Primary School,Primary,Wangaratta,3677
Ballarat Specialist School,Special,Lake Gardens,3355
Preston North East Primary School,Primary,East Preston,3072
Orbost North Primary School,Primary,Orbost,3888
Nelson Park School,Special,Bell Park,3215
Craigieburn Primary School,Primary,Craigieburn,3064
Warrnambool East Primary School,Primary,Warrnambool,3280
Colac South West Primary School,Primary,Colac,3250
George Street Primary School - Hamilton,Primary,Hamilton,3300
Valkstone Primary School,Primary,Bentleigh East,3165
Overport Primary School,Primary,Frankston,3199
Wembley Primary School,Primary,Yarraville,3013
Rosamond Special School,Special,Braybrook,3019
Bonbeach Primary School,Primary,Bonbeach,3196
Heatherhill Primary School,Primary,Springvale,3171
Beaumaris North Primary School,Primary,Beaumaris,3193
Hamlyn Banks Primary School,Primary,Hamlyn Heights,3215
Yarraman Oaks Primary School,Primary,Noble Park,3174
Mount Pleasant Road Nunawading Primary School,Primary,Nunawading,3131
Glenroy West Primary School,Primary,Glenroy,3046
Dandenong South Primary School,Primary,Dandenong,3175
St Albans North Primary School,Primary,St Albans,3021
Avondale Primary School,Primary,Avondale Heights,3034
Beverley Hills Primary School,Primary,Doncaster East,3109
Wodonga West Primary School,Primary,Wodonga,3690
Frankston Heights Primary School,Primary,Frankston,3199
Kerrimuir Primary School,Primary,Box Hill North,3129
Heathmont East Primary School,Primary,Heathmont,3135
Strathmore North Primary School,Primary,Strathmore,3041
Oakleigh South Primary School,Primary,Oakleigh South,3167
Thomastown East Primary School,Primary,Thomastown,3074
Mount Waverley Heights Primary School,Primary,Mount Waverley,3149
East Bentleigh Primary School,Primary,East Bentleigh,3165
Watsonia Primary School,Primary,Watsonia,3087
Parktone Primary School,Primary,Parkdale,3195
Antonio Park Primary School,Primary,Mitcham,3132
Kingsbury Primary School,Primary,Kingsbury,3083
Katandra School,Special,Ormond,3204
Ardeer Primary School,Primary,Ardeer,3022
Westall Primary School,Primary,Clayton South,3169
Tullamarine Primary School,Primary,Tullamarine,3043
Guthridge Primary School,Primary,Sale,3850
Park Orchards Primary School,Primary,Park Orchards,3114
Albion North Primary School,Primary,Sunshine North,3020
Blackburn Lake Primary School,Primary,Blackburn,3130
Laburnum Primary School,Primary,Blackburn,3130
Rollins Primary School,Primary,Bell Post Hill,3215
Heatherwood School,Special,Donvale,3111
Bellaire Primary School,Primary,Highton,3216
Pinewood Primary School,Primary,Mount Waverley,3149
Broadmeadows Primary School,Primary,Broadmeadows,3047
Moomba Park Primary School,Primary,Fawkner,3060
Keilor Heights Primary School,Primary,Keilor East,3033
Ainslie Parklands Primary School,Primary,Croydon,3136
Parkmore Primary School,Primary,Forest Hill,3131
Lara Primary School,Primary,Lara,3212
Mullum Primary School,Primary,Ringwood,3134
Cranbourne Park Primary School,Primary,Cranbourne,3977
Viewbank Primary School,Primary,Viewbank,3084
Greenhills Primary School,Primary,Greensborough,3088
Upwey South Primary School,Primary,Upwey,3158
Simpson Primary School,Primary,Simpson,3266
Invergordon Primary School,Primary,Invergordon,3636
Eltham East Primary School,Primary,Eltham,3095
Belvedere Park Primary School,Primary,Seaford,3198
Essex Heights Primary School,Primary,Mount Waverley,3149
Mountain Gate Primary School,Primary,Ferntree Gully,3156
Fairhills Primary School,Primary,Ferntree Gully,3156
Boronia West Primary School,Primary,Boronia,3155
Southmoor Primary School,Primary,Moorabbin,3189
Ringwood Heights Primary School,Primary,Ringwood North,3134
Glenroy Specialist School,Special,Glenroy,3046
Ruskin Park Primary School,Primary,Croydon,3136
Emerson School,Special,Dandenong,3175
Fyans Park Primary School,Primary,Newtown,3220
Karingal Primary School,Primary,Frankston,3199
Mount View Primary School,Primary,Glen Waverley,3150
Syndal South Primary School,Primary,Mount Waverley,3149
Montmorency South Primary School,Primary,Montmorency,3094
Berendale School,Special,Hampton East,3188
Altona North Primary School,Primary,Altona North,3025
Burwood Heights Primary School,Primary,Burwood East,3151
Stawell West Primary School,Primary,Stawell,3380
Watsonia Heights Primary School,Primary,Greensborough,3088
Forest Street Primary School,Primary,Wendouree,3355
Pembroke Primary School,Primary,Mooroolbark,3138
Mahogany Rise Primary School,Primary,Frankston North,3200
Wilmot Road Primary School Shepparton,Primary,Shepparton,3630
Bundoora Primary School,Primary,Bundoora,3083
University Park Primary School,Primary,St Albans,3021
St Albans Heights Primary School,Primary,St Albans,3021
Kerang South Primary School,Primary,Kerang,3579
Hume Valley School,Special,Broadmeadows,3047
Mentone Park Primary School,Primary,Mentone,3194
Donvale Primary School,Primary,Donvale,3111
Bell Park North Primary School,Primary,Bell Park,3215
Boronia Heights Primary School,Primary,Boronia,3155
Glenallen School,Special,Glen Waverley,3150
Churchill Primary School,Primary,Churchill,3842
Montpellier Primary School,Primary,Highton,3216
Bayswater South Primary School,Primary,Bayswater,3153
Seaford North Primary School,Primary,Seaford,3198
Morwell Park Primary School,Primary,Morwell,3840
Lalor East Primary School,Primary,Thomastown,3074
Jackson School,Special,St Albans,3021
Carlton Primary School,Primary,Carlton,3053
Oberon South Primary School,Primary,Belmont,3216
Templestowe Valley Primary School,Primary,Lower Templestowe,3107
Highvale Primary School,Primary,Glen Waverley,3150
Watsonia North Primary School,Primary,Watsonia North,3087
Wooranna Park Primary School,Primary,Dandenong,3175
Knox Park Primary School,Primary,Knoxfield,3180
Birralee Primary School,Primary,Doncaster,3108
Echuca South Primary School,Primary,Echuca,3564
Ararat North Primary School,Primary,Ararat,3377
Derinya Primary School,Primary,Frankston South,3199
Thomastown West Primary School,Primary,Thomastown,3074
Rowville Primary School,Primary,Rowville,3178
Mossfiel Primary School,Primary,Hoppers Crossing,3029
Templestowe Heights Primary School,Primary,Templestowe Lower,3107
Ballam Park Primary School,Primary,Frankston,3199
Sunbury West Primary School,Primary,Sunbury,3429
Gladstone Park Primary School,Primary,Gladstone Park,3043
Manchester Primary School,Primary,Mooroolbark,3138
Glendal Primary School,Primary,Glen Waverley,3150
Bimbadeen Heights Primary School,Primary,Mooroolbark,3138
Wattle View Primary School,Primary,Ferntree Gully,3156
Sherbourne Primary School,Primary,Briar Hill,3088
Donburn Primary School,Primary,Doncaster East,3109
Guthrie Street Primary School Shepparton,Primary,Shepparton,3630
Araluen Primary School,Primary,Sale,3850
Royal Childrens Hospital Education Institute,Special,Parkville,3052
Vermont South Special School,Special,Vermont South,3133
Concord School,Special,Bundoora,3083
Deer Park West Primary School,Primary,Deer Park,3023
Campbellfield Heights Primary School,Primary,Campbellfield,3061
Lalor North Primary School,Primary,Lalor,3075
Melton West Primary School,Primary,Melton,3337
Diamond Creek East Primary School,Primary,Diamond Creek,3089
Brandon Park Primary School,Primary,Wheelers Hill,3150
Bayswater West Primary School,Primary,Bayswater,3153
Mornington Park Primary School,Primary,Mornington,3931
Wodonga South Primary School,Primary,Wodonga,3690
Aldercourt Primary School,Primary,Frankston North,3200
Richmond West Primary School,Primary,Richmond,3121
Marlborough Primary School,Primary,Heathmont,3135
Stevensville Primary School,Primary,St Albans,3021
Birmingham Primary School,Primary,Mount Evelyn,3796
Woodville Primary School,Primary,Hoppers Crossing,3029
Glengala/Sunshine West Primary School,Primary,Sunshine West,3020
Karingal Heights Primary School,Primary,Frankston,3199
Wallarano Primary School,Primary,Noble Park,3174
Lilydale West Primary School,Primary,Lilydale,3140
Mooroolbark East Primary School,Primary,Mooroolbark,3138
Ardeer South Primary School,Primary,Sunshine West,3020
Gladesville Primary School,Primary,Kilsyth,3137
Falls Creek Primary School,Primary,Falls Creek,3699
Debney Meadows Primary School,Primary,Flemington,3031
Fountain Gate Primary School,Primary,Narre Warren,3805
Tinternvale Primary School,Primary,Ringwood East,3135
Grovedale West Primary School,Primary,Grovedale,3216
Baringa Special School,Special,Moe,3825
Naranga Special School,Special,Frankston,3199
Kent Park Primary School,Primary,Ferntree Gully,3156
Deer Park North Primary School,Primary,Deer Park,3023
Rosewood Downs Primary School,Primary,Dandenong North,3175
Mooroopna Park Primary School,Primary,Mooroopna,3629
Coburn Primary School,Primary,Melton South,3338
Manorvale Primary School,Primary,Werribee,3030
Gladstone Views Primary School,Primary,Gladstone Park,3043
Wheelers Hill Primary School,Primary,Wheelers Hill,3150
Ashwood School,Special,Ashwood,3147
Broadmeadows Valley Primary School,Primary,Broadmeadows,3047
Bulleen Heights School,Special,Bulleen,3105
Kingston Heath Primary School,Primary,Cheltenham,3192
Andersons Creek Primary School,Primary,Warrandyte,3113
Waverley Meadows Primary School,Primary,Wheelers Hill,3150
Kingswood Primary School,Primary,Dingley Village,3172
Ascot Vale Special School,Special,Ascot Vale,3032
Camelot Rise Primary School,Primary,Glen Waverley,3150
Livingstone Primary School,Primary,Vermont South,3133
Churchill North Primary School,Primary,Churchill,3842
St Albans Meadows Primary School,Primary,St Albans,3021
Silverton Primary School,Primary,Noble Park North,3174
Kalinda Primary School,Primary,Ringwood,3134
Whittington Primary School,Primary,Whittington,3219
Coldstream Primary School,Primary,Coldstream,3770
Templestowe Park Primary School,Primary,Templestowe,3106
River Gum Primary School,Primary,Hampton Park,3976
Regency Park Primary School,Primary,Wantirna,3152
Dorset Primary School,Primary,Croydon,3136
Eastbourne Primary School,Primary,Capel Sound,3940
Thomastown Meadows Primary School,Primary,Thomastown,3074
Kingsley Park Primary School,Primary,Frankston,3199
James Cook Primary School,Primary,Endeavour Hills,3802
Movelle Primary School,Primary,KINGS PARK,3021
Mount Eliza North Primary School,Primary,Mount Eliza,3930
Melrose Primary School,Primary,West Wodonga,3690
Yarrabah School,Special,Aspendale,3195
Frankston Special Developmental School,Special,Frankston,3199
Waratah Special Developmental School,Special,Bellfield,3081
Port Phillip Specialist School,Special,Port Melbourne,3207
Cobram and District Specialist School,Special,Cobram,3644
Monash Special Developmental School,Special,Wheelers Hill,3150
Iramoo Primary School,Primary,Wyndham Vale,3024
Verney Road School,Special,Shepparton,3630
Weeden Heights Primary School,Primary,Vermont South,3133
Mill Park Primary School,Primary,Mill Park,3082
Diamond Valley Special Developmental School,Special,Greensborough,3088
Melton Specialist School,Special,Melton,3337
Springvale Park Special Developmental School,Special,Springvale,3171
Warringa Park School,Special,Hoppers Crossing,3029
Serpell Primary School,Primary,Templestowe,3106
Mount Martha Primary School,Primary,Mount Martha,3934
Altona Meadows Primary School,Primary,Altona Meadows,3028
The Patch Primary School,Primary,The Patch,3792
Sale and District Specialist School,Special,Sale,3850
Jells Park Primary School,Primary,Wheelers Hill,3150
Albanvale Primary School,Primary,Albanvale,3021
Kismet Park Primary School,Primary,Sunbury,3429
Sovereign Hill School,Camp,Ballarat,3350
Kunyung Primary School,Primary,Mount Eliza,3930
Apollo Parkways Primary School,Primary,Greensborough,3088
Mandama Primary School,Primary,Grovedale,3216
Bethal Primary School,Primary,Meadow Heights,3048
Cranbourne West Primary School,Primary,Cranbourne,3977
Patterson Lakes Primary School,Primary,Patterson Lakes,3197
Seaford Park Primary School,Primary,Seaford,3198
Billanook Primary School,Primary,Montrose,3765
Chirnside Park Primary School,Primary,Chirnside Park,3116
Bass Valley Primary School,Primary,Corinella,3984
Templeton Primary School,Primary,Wantirna,3152
Sunbury Heights Primary School,Primary,Sunbury,3429
Darley Primary School,Primary,Bacchus Marsh,3340
Delacombe Primary School,Primary,Delacombe,3356
Wallaroo Primary School,Primary,Hastings,3915
Mossgiel Park Primary School,Primary,Endeavour Hills,3802
Wedge Park Primary School,Primary,Melton West,3337
Appin Park Primary School,Primary,Wangaratta,3677
Croydon Special Developmental School,Special,Croydon South,3136
Milgate Primary School,Primary,Doncaster East,3109
Berwick Lodge Primary School,Primary,Berwick,3806
Furlong Park School For Deaf Children,Special,Sunshine North,3020
Jennings Street School,Special,Laverton,3028
Sunbury And Macedon Ranges Specialist School,Special,Sunbury,3429
Northern School For Autism,Special,Reservoir,3073
Latrobe Special Developmental School,Special,Traralgon,3844
Belvoir Wodonga Special Developmental School,Special,West Wodonga,3690
Burwood East Special Developmental School,Special,Burwood East,3151
Wangaratta District Specialist School,Special,Wangaratta,3677
Meadow Heights Primary School,Primary,Meadow Heights,3048
Bundarra Primary School,Primary,Portland,3305
Peninsula Specialist College,Special,Dromana,3936
Chalcot Lodge Primary School,Primary,Endeavour Hills,3802
Rangebank Primary School,Primary,Cranbourne,3977
Knox Gardens Primary School,Primary,Wantirna South,3152
Southern Cross Primary School,Primary,Endeavour Hills,3802
Kings Park Primary School,Primary,St Albans,3021
Dandenong Valley Special Developmental School,Special,Narre Warren,3805
Mornington Special Developmental School,Special,Mornington,3931
Bayside Special Developmental School,Special,Moorabbin,3189
Rolling Hills Primary School,Primary,Mooroolbark,3138
Craigieburn South Primary School,Primary,Craigieburn,3064
Findon Primary School,Primary,Mill Park,3082
Loch Sport Primary School,Primary,Loch Sport,3851
Yarra Ranges Special Developmental School,Special,Mount Evelyn,3796
Colac Specialist School,Special,Colac,3250
Goonawarra Primary School,Primary,Sunbury,3429
Mildura Specialist School,Special,Mildura,3500
Southern Autistic School,Special,East Bentleigh,3165
Bellbridge Primary School,Primary,Hoppers Crossing,3029
Croydon Hills Primary School,Primary,Croydon Hills,3136
Kurunjang Primary School,Primary,Melton,3337
Langwarrin Park Primary School,Primary,Langwarrin,3910
Taylors Lakes Primary School,Primary,Taylors Lakes,3038
Glen Katherine Primary School,Primary,Eltham North,3095
Coburg Special Developmental School,Special,Coburg,3058
Broadmeadows Special Developmental School,Special,Broadmeadows,3047
Sunshine Special Developmental School,Special,Sunshine,3020
Swan Hill Specialist School,Special,Swan Hill,3585
Richmond Primary School,Primary,Richmond,3121
Yarra Primary School,Primary,Richmond,3121
Skene Street School Stawell,Special,Stawell,3380
Horsham Special School,Special,Horsham,3400
Hampden Specialist School,Special,Cobden,3266
Warrnambool Special Developmental School,Special,Warrnambool,3280
Yarraville Special Developmental School,Special,Yarraville,3013
Clifton Springs Primary School,Primary,Clifton Springs,3222
Park Ridge Primary School,Primary,Rowville,3178
Portland Bay School,Special,Portland,3305
Hamilton Parklands School,Special,Hamilton,3300
Merriang Special Developmental School,Special,Lalor,3075
Orchard Grove Primary School,Primary,Blackburn South,3130
Meadowglen Primary School,Primary,Epping,3076
Altona Green Primary School,Primary,Altona Meadows,3028
Boroondara Park Primary School,Primary,Balwyn North,3104
Warragul & District Specialist School,Special,Warragul,3820
Western Autistic School,Special,Laverton,3028
Warracknabeal Special Developmental School,Special,Warracknabeal,3393
Coral Park Primary School,Primary,Hampton Park,3976
Maramba Primary School,Primary,Narre Warren,3805
Thomas Mitchell Primary School,Primary,Endeavour Hills,3802
Karoo Primary School,Primary,Rowville,3178
Mackellar Primary School,Primary,Delahey,3037
Bendigo Special Developmental School,Special,Kangaroo Flat,3555
Echuca Specialist School,Special,Echuca,3564
Aspendale Gardens Primary School,Primary,Aspendale Gardens,3195
Berwick Fields Primary School,Primary,Berwick,3806
Brentwood Park Primary School,Primary,Berwick,3806
Eastern Ranges School,Special,Ferntree Gully,3156
Cambridge Primary School,Primary,Hoppers Crossing,3029
Rowellyn Park Primary School,Primary,Carrum Downs,3201
Baden Powell P-9 College,Pri/Sec,Hoppers Crossing,3029
Woodlands Primary School,Primary,Langwarrin,3910
Mill Park Heights Primary School,Primary,Mill Park,3082
Monmia Primary School,Primary,Keilor Downs,3038
Seabrook Primary School,Primary,Seabrook,3028
Willmott Park Primary School,Primary,Craigieburn,3064
Thomas Chirnside Primary School,Primary,Werribee,3030
Heany Park Primary School,Primary,Rowville,3178
Ranfurly Primary School,Primary,Mildura,3500
Kilberry Valley Primary School,Primary,Hampton Park,3976
Killara Primary School,Primary,Sunbury,3429
Surfside Primary School,Primary,Ocean Grove,3226
Oatlands Primary School,Primary,Narre Warren,3805
Westgrove Primary School,Primary,Werribee,3030
Peranbin Primary College,Primary,Violet Town,3669
Barwon Valley School,Special,Belmont,3216
Pentland Primary School,Primary,Bacchus Marsh,3340
Pakenham Hills Primary School,Primary,Pakenham,3810
Courtenay Gardens Primary School,Primary,Cranbourne North,3977
Somerville Rise Primary School,Primary,Somerville,3912
Derrinallum P-12 College,Pri/Sec,Derrinallum,3325
Mortlake P-12 College,Pri/Sec,Mortlake,3272
Branxholme-Wallacedale Community School,Primary,Branxholme,3302
Mount Duneed Regional Primary School,Primary,Mount Duneed,3217
Grasmere Primary School,Primary,Grasmere,3281
Narrawong District Primary School,Primary,Narrawong,3285
Canadian Lead Primary School,Primary,Ballarat East,3350
Caledonian Primary School,Primary,Brown Hill,3350
Tempy Primary School,Primary,Tempy,3489
Rawson Primary School,Primary,Rawson,3825
Bundalaguah Primary School,Primary,Bundalaguah,3851
Lardner and District Primary School,Primary,Lardner,3821
Neerim District Rural Primary School,Primary,Nayook,3832
Nambrok Denison Primary School,Primary,Nambrok,3847
Welshpool and District Primary School,Primary,Welshpool,3966
Whitfield District Primary School,Primary,Whitfield,3733
Greta Valley Primary School,Primary,Greta South,3675
Everton Primary School,Primary,Everton,3678
Waaia Yalca South Primary School,Primary,Waaia,3637
Nangiloc Colignan and District Primary School,Primary,Nangiloc,3494
Tyrrell College,Pri/Sec,Sea Lake,3533
Harcourt Valley Primary School,Primary,Harcourt,3453
Beverford District Primary School,Primary,Beverford,3590
Niddrie Primary School,Primary,Niddrie,3042
Toolern Vale and District Primary School,Primary,Toolern Vale,3337
Parkhill Primary School,Primary,Ashwood,3147
Kananook Primary School,Primary,Seaford,3198
Roberts McCubbin Primary School,Primary,Box Hill South,3128
Tarwin Valley Primary School,Primary,Meeniyan,3956
Bayles Regional Primary School,Primary,Bayles,3981
Le Page Primary School,Primary,Cheltenham,3192
Powlett River Primary School,Primary,Dalyston,3992
Glen Waverley Primary School,Primary,Glen Waverley,3150
Carrington Primary School,Primary,Knoxfield,3180
Albany Rise Primary School,Primary,Mulgrave,3170
Amsleigh Park Primary School,Primary,Oakleigh East,3166
Knox Central Primary School,Primary,Boronia,3155
Mount Waverley North Primary School,Primary,Mount Waverley,3149
Rangeview Primary School,Primary,Mitcham,3132
Edenhope College,Pri/Sec,Edenhope,3318
Murrayville Community College,Pri/Sec,Murrayville,3512
Hawkesdale P12 College,Pri/Sec,Hawkesdale,3287
Carwatha College P-12,Pri/Sec,Noble Park,3174
Glen Waverley South Primary School,Primary,Glen Waverley,3150
Streeton Primary School,Primary,Yallambie,3085
Woorinen District Primary School,Primary,Woorinen South,3588
Woady Yaloak Primary School,Primary,Smythesdale,3351
Millwarra Primary School,Primary,Millgrove,3799
Gormandale And District Primary School,Primary,Gormandale,3873
Roxburgh Homestead Primary School,Primary,Roxburgh Park,3064
Newcomb Park Primary School,Primary,Newcomb,3219
Dinjerra Primary School,Primary,Braybrook,3019
Belle Vue Park Primary School,Primary,Glenroy,3046
Doncaster Gardens Primary School,Primary,Doncaster East,3109
Nyah District Primary School,Primary,Nyah West,3595
Strathaird Primary School,Primary,Narre Warren South,3805
Marnebek School Cranbourne,Special,Cranbourne East,3977
Great Ryrie Primary School,Primary,Heathmont,3135
Timbarra P-9 College,Pri/Sec,Berwick,3806
Parkwood Green Primary School,Primary,Hillside,3037
Hillsmeade Primary School,Primary,Narre Warren South,3805
Roxburgh Park Primary School,Primary,Roxburgh Park,3064
Carranballac P-9 College,Pri/Sec,Point Cook,3030
Benton Junior College,Primary,Mornington,3931
Caulfield Primary School,Primary,Caulfield South,3162
East Gippsland Specialist School,Special,Bairnsdale,3875
