Name,Suburb,Postcode,School Level
Pooraka Primary School,Pooraka,5095,Primary Schools
Port Augusta West Primary School,Port Augusta West,5700,Primary Schools
Port Elliot Primary School,Port Elliot,5212,Primary Schools
Port Lincoln Primary School,Port Lincoln,5606,Primary Schools
Port Neill Primary School,Port Neill,5604,Primary Schools
Port Noarlunga Primary School,Port Noarlunga,5167,Primary Schools
Port Pirie West Primary School,Port Pirie,5540,Primary Schools
Port Wakefield Primary School,Port Wakefield,5550,Primary Schools
Prospect Primary School,Prospect,5082,Primary Schools
Ramco Primary School,Ramco,5322,Primary Schools
Rendelsham Primary School,Rendelsham,5280,Primary Schools
Renmark Primary School,Renmark,5341,Primary Schools
Renmark North Primary School,Renmark North,5341,Primary Schools
Renmark West Primary School,Renmark,5341,Primary Schools
Reynella Primary School,Old Reynella,5161,Primary Schools
Richmond Primary School,Keswick,5035,Primary Schools
Riverton Primary School,Riverton,5412,Primary Schools
Robe Primary School,Robe,5276,Primary Schools
Robertstown Primary School,Robertstown,5381,Primary Schools
Roseworthy Primary School,Roseworthy,5371,Primary Schools
Saddleworth Primary School,Saddleworth,5413,Primary Schools
St Leonards Primary School,Glenelg North,5045,Primary Schools
Sandy Creek Primary School,Cockatoo Valley,5351,Primary Schools
Scott Creek Primary School,Scott Creek,5153,Primary Schools
Seaton Park Primary School,Seaton,5023,Primary Schools
Solomontown Primary School,Port Pirie,5540,Primary Schools
Spalding Primary School,Spalding,5454,Primary Schools
Springton Primary School,Springton,5235,Primary Schools
Stansbury Primary School,Stansbury,5582,Primary Schools
Stirling East Primary School,Stirling,5152,Primary Schools
Eastern Fleurieu Strathalbyn R-6 Campus,Strathalbyn,5255,Primary Schools
Athelstone School,Athelstone,5076,Primary Schools
Suttontown Primary School,Suttontown,5291,Primary Schools
Swan Reach Area School,Swan Reach,5354,Area Schools
Tailem Bend Primary School,Tailem Bend,5260,Primary Schools
Auburn Primary School,Auburn,5451,Primary Schools
Tantanoola Primary School,Tantanoola,5280,Primary Schools
Tanunda Primary School,Tanunda,5352,Primary Schools
Tarlee Primary School,Tarlee,5411,Primary Schools
Tea Tree Gully Primary School,Tea Tree Gully,5091,Primary Schools
Tintinara Area School,Tintinara,5266,Area Schools
Truro Primary School,Truro,5356,Primary Schools
Two Wells Primary School,Two Wells,5501,Primary Schools
Ungarra Primary School,Ungarra,5607,Primary Schools
Unley Primary School,Unley,5061,Primary Schools
Upper Sturt Primary School,Upper Sturt,5156,Primary Schools
Uraidla Primary School,Uraidla,5142,Primary Schools
Victor Harbor R-7 School,Victor Harbor,5211,Primary Schools
Virginia Primary School,Virginia,5120,Primary Schools
Waikerie Primary School,Waikerie,5330,Primary Schools
Walkerville Primary School,Walkerville,5081,Primary Schools
Wallaroo Primary School,Wallaroo,5556,Primary Schools
Wallaroo Mines Primary School,Kadina,5554,Primary Schools
Warooka Primary School,Warooka,5577,Primary Schools
Wasleys Primary School,Wasleys,5400,Primary Schools
Watervale Primary School,Watervale,5452,Primary Schools
Allenby Gardens Primary School,Allenby Gardens,5009,Primary Schools
Trinity Gardens School,Trinity Gardens,5068,Primary Schools
Westbourne Park Primary School,Westbourne Park,5041,Primary Schools
Adelaide North Special School,Munno Para,5115,Primary/Secondary Special Schools
Balaklava Primary School,Balaklava,5461,Primary Schools
Whyalla Town Primary School,Whyalla,5600,Primary Schools
Memorial Oval Primary School,Whyalla,5600,Primary Schools
Williamstown Primary School,Williamstown,5351,Primary Schools
