Local Government Area,State/Territory,Age Group,Population
Adelaide,SA,0 - 4,391
Adelaide,SA,5 - 9,260
Adelaide,SA,10 - 14,300
Adelaide,SA,15 - 19,1199
Adelaide,SA,20 - 24,3512
Adelaide,SA,25 - 29,2402
Adelaide,SA,30 - 34,1624
Adelaide,SA,35 - 39,1151
Adelaide,SA,40 - 44,1029
Adelaide,SA,45 - 49,914
Adelaide,SA,50 - 54,948
Adelaide,SA,55 - 59,1072
Adelaide,SA,60 - 64,738
Adelaide,SA,65 - 69,570
Adelaide,SA,70 - 74,348
Adelaide,SA,75 - 79,372
Adelaide,SA,80 - 84,319
Adelaide,SA,85 and over,330
Adelaide Hills,SA,0 - 4,2281
Adelaide Hills,SA,5 - 9,2536
Adelaide Hills,SA,10 - 14,2921
Adelaide Hills,SA,15 - 19,2999
Adelaide Hills,SA,20 - 24,2046
Adelaide Hills,SA,25 - 29,1543
Adelaide Hills,SA,30 - 34,2208
Adelaide Hills,SA,35 - 39,2845
Adelaide Hills,SA,40 - 44,3183
Adelaide Hills,SA,45 - 49,3449
Adelaide Hills,SA,50 - 54,3316
Adelaide Hills,SA,55 - 59,3253
Adelaide Hills,SA,60 - 64,2244
Adelaide Hills,SA,65 - 69,1468
Adelaide Hills,SA,70 - 74,1046
Adelaide Hills,SA,75 - 79,775
Adelaide Hills,SA,80 - 84,549
Adelaide Hills,SA,85 and over,503
Albany,WA,0 - 4,1991
Albany,WA,5 - 9,2225
Albany,WA,10 - 14,2497
Albany,WA,15 - 19,2521
Albany,WA,20 - 24,1661
Albany,WA,25 - 29,1643
Albany,WA,30 - 34,1952
Albany,WA,35 - 39,2208
Albany,WA,40 - 44,2418
Albany,WA,45 - 49,2553
Albany,WA,50 - 54,2352
Albany,WA,55 - 59,2132
Albany,WA,60 - 64,1715
Albany,WA,65 - 69,1540
Albany,WA,70 - 74,1299
Albany,WA,75 - 79,1097
Albany,WA,80 - 84,803
Albany,WA,85 and over,564
Albury,NSW,0 - 4,3102
Albury,NSW,5 - 9,3143
Albury,NSW,10 - 14,3457
Albury,NSW,15 - 19,3682
Albury,NSW,20 - 24,3681
Albury,NSW,25 - 29,3094
Albury,NSW,30 - 34,2989
Albury,NSW,35 - 39,3215
Albury,NSW,40 - 44,3219
Albury,NSW,45 - 49,3483
Albury,NSW,50 - 54,3197
Albury,NSW,55 - 59,2849
Albury,NSW,60 - 64,2113
Albury,NSW,65 - 69,1734
Albury,NSW,70 - 74,1410
Albury,NSW,75 - 79,1364
Albury,NSW,80 - 84,1012
Albury,NSW,85 and over,822
Alexandrina,SA,0 - 4,1137
Alexandrina,SA,5 - 9,1282
Alexandrina,SA,10 - 14,1398
Alexandrina,SA,15 - 19,1288
Alexandrina,SA,20 - 24,824
Alexandrina,SA,25 - 29,820
Alexandrina,SA,30 - 34,1066
Alexandrina,SA,35 - 39,1290
Alexandrina,SA,40 - 44,1432
Alexandrina,SA,45 - 49,1595
Alexandrina,SA,50 - 54,1481
Alexandrina,SA,55 - 59,1761
Alexandrina,SA,60 - 64,1596
Alexandrina,SA,65 - 69,1365
Alexandrina,SA,70 - 74,1045
Alexandrina,SA,75 - 79,877
Alexandrina,SA,80 - 84,550
Alexandrina,SA,85 and over,401
Alice Springs,NT,0 - 4,1943
Alice Springs,NT,5 - 9,1955
Alice Springs,NT,10 - 14,2077
Alice Springs,NT,15 - 19,1909
Alice Springs,NT,20 - 24,1900
Alice Springs,NT,25 - 29,2109
Alice Springs,NT,30 - 34,2173
Alice Springs,NT,35 - 39,2295
Alice Springs,NT,40 - 44,2334
Alice Springs,NT,45 - 49,2207
Alice Springs,NT,50 - 54,1997
Alice Springs,NT,55 - 59,1490
Alice Springs,NT,60 - 64,969
Alice Springs,NT,65 - 69,554
Alice Springs,NT,70 - 74,293
Alice Springs,NT,75 - 79,257
Alice Springs,NT,80 - 84,131
Alice Springs,NT,85 and over,107
Alpine,VIC,0 - 4,621
Alpine,VIC,5 - 9,767
Alpine,VIC,10 - 14,793
Alpine,VIC,15 - 19,767
Alpine,VIC,20 - 24,425
Alpine,VIC,25 - 29,468
Alpine,VIC,30 - 34,651
Alpine,VIC,35 - 39,755
Alpine,VIC,40 - 44,919
Alpine,VIC,45 - 49,1022
Alpine,VIC,50 - 54,976
Alpine,VIC,55 - 59,917
Alpine,VIC,60 - 64,865
Alpine,VIC,65 - 69,690
Alpine,VIC,70 - 74,544
Alpine,VIC,75 - 79,476
Alpine,VIC,80 - 84,342
Alpine,VIC,85 and over,262
Anangu Pitjantjatjara,SA,0 - 4,211
Anangu Pitjantjatjara,SA,5 - 9,197
Anangu Pitjantjatjara,SA,10 - 14,213
Anangu Pitjantjatjara,SA,15 - 19,224
Anangu Pitjantjatjara,SA,20 - 24,218
Anangu Pitjantjatjara,SA,25 - 29,208
Anangu Pitjantjatjara,SA,30 - 34,207
Anangu Pitjantjatjara,SA,35 - 39,196
Anangu Pitjantjatjara,SA,40 - 44,128
Anangu Pitjantjatjara,SA,45 - 49,111
Anangu Pitjantjatjara,SA,50 - 54,128
Anangu Pitjantjatjara,SA,55 - 59,90
Anangu Pitjantjatjara,SA,60 - 64,58
Anangu Pitjantjatjara,SA,65 - 69,49
Anangu Pitjantjatjara,SA,70 - 74,37
Anangu Pitjantjatjara,SA,75 - 79,18
Anangu Pitjantjatjara,SA,80 - 84,6
Anangu Pitjantjatjara,SA,85 and over,11
