Local Government Area,State/Territory,Age Group,Population
Adelaide,SA,0 - 4,530
Adelaide,SA,5 - 9,322
Adelaide,SA,10 - 14,326
Adelaide,SA,15 - 19,1349
Adelaide,SA,20 - 24,4095
Adelaide,SA,25 - 29,2788
Adelaide,SA,30 - 34,1772
Adelaide,SA,35 - 39,1318
Adelaide,SA,40 - 44,1049
Adelaide,SA,45 - 49,1046
Adelaide,SA,50 - 54,1042
Adelaide,SA,55 - 59,1065
Adelaide,SA,60 - 64,1063
Adelaide,SA,65 - 69,643
Adelaide,SA,70 - 74,477
Adelaide,SA,75 - 79,344
Adelaide,SA,80 - 84,324
Adelaide,SA,85 and over,361
Adelaide Hills,SA,0 - 4,2328
Adelaide Hills,SA,5 - 9,2576
Adelaide Hills,SA,10 - 14,2750
Adelaide Hills,SA,15 - 19,2956
Adelaide Hills,SA,20 - 24,2175
Adelaide Hills,SA,25 - 29,1537
Adelaide Hills,SA,30 - 34,1879
Adelaide Hills,SA,35 - 39,2777
Adelaide Hills,SA,40 - 44,3030
Adelaide Hills,SA,45 - 49,3372
Adelaide Hills,SA,50 - 54,3278
Adelaide Hills,SA,55 - 59,3157
Adelaide Hills,SA,60 - 64,2761
Adelaide Hills,SA,65 - 69,1728
Adelaide Hills,SA,70 - 74,1167
Adelaide Hills,SA,75 - 79,834
Adelaide Hills,SA,80 - 84,581
Adelaide Hills,SA,85 and over,538
Albany,WA,0 - 4,2120
Albany,WA,5 - 9,2189
Albany,WA,10 - 14,2568
Albany,WA,15 - 19,2425
Albany,WA,20 - 24,1825
Albany,WA,25 - 29,1702
Albany,WA,30 - 34,1900
Albany,WA,35 - 39,2230
Albany,WA,40 - 44,2363
Albany,WA,45 - 49,2516
Albany,WA,50 - 54,2439
Albany,WA,55 - 59,2275
Albany,WA,60 - 64,1903
Albany,WA,65 - 69,1610
Albany,WA,70 - 74,1425
Albany,WA,75 - 79,1124
Albany,WA,80 - 84,875
Albany,WA,85 and over,675
Albury,NSW,0 - 4,3287
Albury,NSW,5 - 9,3041
Albury,NSW,10 - 14,3307
Albury,NSW,15 - 19,3759
Albury,NSW,20 - 24,3771
Albury,NSW,25 - 29,3265
Albury,NSW,30 - 34,3018
Albury,NSW,35 - 39,3252
Albury,NSW,40 - 44,3084
Albury,NSW,45 - 49,3418
Albury,NSW,50 - 54,3238
Albury,NSW,55 - 59,2942
Albury,NSW,60 - 64,2532
Albury,NSW,65 - 69,1948
Albury,NSW,70 - 74,1576
Albury,NSW,75 - 79,1367
Albury,NSW,80 - 84,1061
Albury,NSW,85 and over,948
Alexandrina,SA,0 - 4,1309
Alexandrina,SA,5 - 9,1268
Alexandrina,SA,10 - 14,1380
Alexandrina,SA,15 - 19,1461
Alexandrina,SA,20 - 24,896
Alexandrina,SA,25 - 29,930
Alexandrina,SA,30 - 34,1034
Alexandrina,SA,35 - 39,1413
Alexandrina,SA,40 - 44,1364
Alexandrina,SA,45 - 49,1627
Alexandrina,SA,50 - 54,1680
Alexandrina,SA,55 - 59,1750
Alexandrina,SA,60 - 64,1918
Alexandrina,SA,65 - 69,1646
Alexandrina,SA,70 - 74,1223
Alexandrina,SA,75 - 79,966
Alexandrina,SA,80 - 84,657
Alexandrina,SA,85 and over,505
Alice Springs,NT,0 - 4,2105
Alice Springs,NT,5 - 9,2007
Alice Springs,NT,10 - 14,1964
Alice Springs,NT,15 - 19,1998
Alice Springs,NT,20 - 24,2052
Alice Springs,NT,25 - 29,2366
Alice Springs,NT,30 - 34,2324
Alice Springs,NT,35 - 39,2361
Alice Springs,NT,40 - 44,2198
Alice Springs,NT,45 - 49,2263
Alice Springs,NT,50 - 54,2133
Alice Springs,NT,55 - 59,1679
Alice Springs,NT,60 - 64,1060
Alice Springs,NT,65 - 69,697
Alice Springs,NT,70 - 74,355
Alice Springs,NT,75 - 79,237
Alice Springs,NT,80 - 84,165
Alice Springs,NT,85 and over,104
Alpine,VIC,0 - 4,634
Alpine,VIC,5 - 9,686
Alpine,VIC,10 - 14,774
Alpine,VIC,15 - 19,727
Alpine,VIC,20 - 24,512
Alpine,VIC,25 - 29,433
Alpine,VIC,30 - 34,542
Alpine,VIC,35 - 39,750
Alpine,VIC,40 - 44,797
Alpine,VIC,45 - 49,993
Alpine,VIC,50 - 54,971
Alpine,VIC,55 - 59,910
Alpine,VIC,60 - 64,935
Alpine,VIC,65 - 69,744
Alpine,VIC,70 - 74,606
Alpine,VIC,75 - 79,459
Alpine,VIC,80 - 84,359
Alpine,VIC,85 and over,280
Anangu Pitjantjatjara,SA,0 - 4,239
Anangu Pitjantjatjara,SA,5 - 9,223
Anangu Pitjantjatjara,SA,10 - 14,200
Anangu Pitjantjatjara,SA,15 - 19,245
Anangu Pitjantjatjara,SA,20 - 24,266
Anangu Pitjantjatjara,SA,25 - 29,259
Anangu Pitjantjatjara,SA,30 - 34,177
Anangu Pitjantjatjara,SA,35 - 39,213
Anangu Pitjantjatjara,SA,40 - 44,140
Anangu Pitjantjatjara,SA,45 - 49,114
Anangu Pitjantjatjara,SA,50 - 54,111
Anangu Pitjantjatjara,SA,55 - 59,98
Anangu Pitjantjatjara,SA,60 - 64,64
Anangu Pitjantjatjara,SA,65 - 69,42
Anangu Pitjantjatjara,SA,70 - 74,38
Anangu Pitjantjatjara,SA,75 - 79,21
Anangu Pitjantjatjara,SA,80 - 84,8
Anangu Pitjantjatjara,SA,85 and over,18
Ararat,VIC,0 - 4,662
Ararat,VIC,5 - 9,631
Ararat,VIC,10 - 14,717
Ararat,VIC,15 - 19,691
Ararat,VIC,20 - 24,545
Ararat,VIC,25 - 29,544
Ararat,VIC,30 - 34,589
Ararat,VIC,35 - 39,706
Ararat,VIC,40 - 44,742
Ararat,VIC,45 - 49,818
Ararat,VIC,50 - 54,870
Ararat,VIC,55 - 59,867
Ararat,VIC,60 - 64,782
Ararat,VIC,65 - 69,644
Ararat,VIC,70 - 74,512
Ararat,VIC,75 - 79,435
Ararat,VIC,80 - 84,331
Ararat,VIC,85 and over,246
Armadale,WA,0 - 4,4297
Armadale,WA,5 - 9,3815
Armadale,WA,10 - 14,4077
Armadale,WA,15 - 19,4590
Armadale,WA,20 - 24,4692
Armadale,WA,25 - 29,4342
Armadale,WA,30 - 34,3618
Armadale,WA,35 - 39,3946
Armadale,WA,40 - 44,3943
Armadale,WA,45 - 49,4130
Armadale,WA,50 - 54,3790
Armadale,WA,55 - 59,3597
Armadale,WA,60 - 64,3281
Armadale,WA,65 - 69,2142
Armadale,WA,70 - 74,1649
Armadale,WA,75 - 79,1160
Armadale,WA,80 - 84,812
Armadale,WA,85 and over,627
Ashburton,WA,0 - 4,767
Ashburton,WA,5 - 9,660
Ashburton,WA,10 - 14,451
Ashburton,WA,15 - 19,337
Ashburton,WA,20 - 24,685
Ashburton,WA,25 - 29,1121
Ashburton,WA,30 - 34,1050
Ashburton,WA,35 - 39,1021
Ashburton,WA,40 - 44,846
Ashburton,WA,45 - 49,696
Ashburton,WA,50 - 54,621
Ashburton,WA,55 - 59,414
Ashburton,WA,60 - 64,203
Ashburton,WA,65 - 69,75
Ashburton,WA,70 - 74,38
Ashburton,WA,75 - 79,12
Ashburton,WA,80 - 84,2
Ashburton,WA,85 and over,5
Augusta-Margaret River,WA,0 - 4,795
Augusta-Margaret River,WA,5 - 9,811
Augusta-Margaret River,WA,10 - 14,776
Augusta-Margaret River,WA,15 - 19,681
Augusta-Margaret River,WA,20 - 24,532
Augusta-Margaret River,WA,25 - 29,723
Augusta-Margaret River,WA,30 - 34,849
Augusta-Margaret River,WA,35 - 39,1033
Augusta-Margaret River,WA,40 - 44,923
Augusta-Margaret River,WA,45 - 49,936
Augusta-Margaret River,WA,50 - 54,924
Augusta-Margaret River,WA,55 - 59,776
Augusta-Margaret River,WA,60 - 64,614
Augusta-Margaret River,WA,65 - 69,429
Augusta-Margaret River,WA,70 - 74,357
Augusta-Margaret River,WA,75 - 79,258
Augusta-Margaret River,WA,80 - 84,177
Augusta-Margaret River,WA,85 and over,172
Aurukun,QLD,0 - 4,154
Aurukun,QLD,5 - 9,146
Aurukun,QLD,10 - 14,104
Aurukun,QLD,15 - 19,113
Aurukun,QLD,20 - 24,111
Aurukun,QLD,25 - 29,101
Aurukun,QLD,30 - 34,120
Aurukun,QLD,35 - 39,112
Aurukun,QLD,40 - 44,82
Aurukun,QLD,45 - 49,77
Aurukun,QLD,50 - 54,59
Aurukun,QLD,55 - 59,53
Aurukun,QLD,60 - 64,37
Aurukun,QLD,65 - 69,17
Aurukun,QLD,70 - 74,4
Aurukun,QLD,75 - 79,11
Aurukun,QLD,80 - 84,12
Aurukun,QLD,85 and over,2
Ballarat,VIC,0 - 4,6015
Ballarat,VIC,5 - 9,5614
Ballarat,VIC,10 - 14,6069
Ballarat,VIC,15 - 19,7133
Ballarat,VIC,20 - 24,7306
Ballarat,VIC,25 - 29,6189
Ballarat,VIC,30 - 34,5586
Ballarat,VIC,35 - 39,6065
Ballarat,VIC,40 - 44,5909
Ballarat,VIC,45 - 49,6179
Ballarat,VIC,50 - 54,5965
Ballarat,VIC,55 - 59,5375
Ballarat,VIC,60 - 64,4767
Ballarat,VIC,65 - 69,3667
Ballarat,VIC,70 - 74,3021
Ballarat,VIC,75 - 79,2616
Ballarat,VIC,80 - 84,2119
Ballarat,VIC,85 and over,1795
Ballina,NSW,0 - 4,2160
Ballina,NSW,5 - 9,2440
Ballina,NSW,10 - 14,2612
Ballina,NSW,15 - 19,2538
Ballina,NSW,20 - 24,1861
Ballina,NSW,25 - 29,1828
Ballina,NSW,30 - 34,1929
Ballina,NSW,35 - 39,2404
Ballina,NSW,40 - 44,2645
Ballina,NSW,45 - 49,3046
Ballina,NSW,50 - 54,3032
Ballina,NSW,55 - 59,2988
Ballina,NSW,60 - 64,2674
Ballina,NSW,65 - 69,2097
Ballina,NSW,70 - 74,1767
Ballina,NSW,75 - 79,1570
Ballina,NSW,80 - 84,1450
Ballina,NSW,85 and over,1254
Balonne,QLD,0 - 4,458
Balonne,QLD,5 - 9,425
Balonne,QLD,10 - 14,356
Balonne,QLD,15 - 19,253
Balonne,QLD,20 - 24,253
Balonne,QLD,25 - 29,319
Balonne,QLD,30 - 34,318
Balonne,QLD,35 - 39,389
Balonne,QLD,40 - 44,360
Balonne,QLD,45 - 49,360
Balonne,QLD,50 - 54,301
Balonne,QLD,55 - 59,266
Balonne,QLD,60 - 64,243
Balonne,QLD,65 - 69,168
Balonne,QLD,70 - 74,125
Balonne,QLD,75 - 79,109
Balonne,QLD,80 - 84,61
Balonne,QLD,85 and over,49
Balranald,NSW,0 - 4,165
Balranald,NSW,5 - 9,164
Balranald,NSW,10 - 14,144
Balranald,NSW,15 - 19,147
Balranald,NSW,20 - 24,135
Balranald,NSW,25 - 29,124
Balranald,NSW,30 - 34,145
Balranald,NSW,35 - 39,176
Balranald,NSW,40 - 44,149
Balranald,NSW,45 - 49,210
Balranald,NSW,50 - 54,197
Balranald,NSW,55 - 59,169
Balranald,NSW,60 - 64,134
Balranald,NSW,65 - 69,105
Balranald,NSW,70 - 74,80
Balranald,NSW,75 - 79,76
Balranald,NSW,80 - 84,46
Balranald,NSW,85 and over,38
Banana,QLD,0 - 4,1232
Banana,QLD,5 - 9,1143
Banana,QLD,10 - 14,1066
Banana,QLD,15 - 19,928
Banana,QLD,20 - 24,918
Banana,QLD,25 - 29,1148
Banana,QLD,30 - 34,1014
Banana,QLD,35 - 39,1117
Banana,QLD,40 - 44,994
Banana,QLD,45 - 49,1165
Banana,QLD,50 - 54,992
Banana,QLD,55 - 59,839
Banana,QLD,60 - 64,686
Banana,QLD,65 - 69,547
Banana,QLD,70 - 74,448
Banana,QLD,75 - 79,307
Banana,QLD,80 - 84,226
Banana,QLD,85 and over,171
Banyule,VIC,0 - 4,7628
Banyule,VIC,5 - 9,6816
Banyule,VIC,10 - 14,6836
Banyule,VIC,15 - 19,7859
Banyule,VIC,20 - 24,9015
Banyule,VIC,25 - 29,8578
Banyule,VIC,30 - 34,8478
Banyule,VIC,35 - 39,9114
Banyule,VIC,40 - 44,8430
Banyule,VIC,45 - 49,8476
Banyule,VIC,50 - 54,8207
Banyule,VIC,55 - 59,7513
Banyule,VIC,60 - 64,6975
Banyule,VIC,65 - 69,5158
Banyule,VIC,70 - 74,4007
Banyule,VIC,75 - 79,3481
Banyule,VIC,80 - 84,2983
Banyule,VIC,85 and over,2694
Barcaldine,QLD,0 - 4,264
Barcaldine,QLD,5 - 9,242
Barcaldine,QLD,10 - 14,202
Barcaldine,QLD,15 - 19,192
Barcaldine,QLD,20 - 24,194
Barcaldine,QLD,25 - 29,229
Barcaldine,QLD,30 - 34,188
Barcaldine,QLD,35 - 39,225
Barcaldine,QLD,40 - 44,261
Barcaldine,QLD,45 - 49,244
Barcaldine,QLD,50 - 54,237
Barcaldine,QLD,55 - 59,202
Barcaldine,QLD,60 - 64,163
Barcaldine,QLD,65 - 69,162
Barcaldine,QLD,70 - 74,110
Barcaldine,QLD,75 - 79,95
Barcaldine,QLD,80 - 84,51
Barcaldine,QLD,85 and over,42
Barcoo,QLD,0 - 4,8
Barcoo,QLD,5 - 9,23
Barcoo,QLD,10 - 14,23
Barcoo,QLD,15 - 19,15
Barcoo,QLD,20 - 24,35
Barcoo,QLD,25 - 29,28
Barcoo,QLD,30 - 34,22
Barcoo,QLD,35 - 39,24
Barcoo,QLD,40 - 44,30
Barcoo,QLD,45 - 49,31
Barcoo,QLD,50 - 54,26
Barcoo,QLD,55 - 59,27
Barcoo,QLD,60 - 64,22
Barcoo,QLD,65 - 69,19
Barcoo,QLD,70 - 74,15
Barcoo,QLD,75 - 79,3
Barcoo,QLD,80 - 84,7
Barcoo,QLD,85 and over,2
Barkly,NT,0 - 4,812
Barkly,NT,5 - 9,723
Barkly,NT,10 - 14,612
Barkly,NT,15 - 19,703
Barkly,NT,20 - 24,755
Barkly,NT,25 - 29,694
Barkly,NT,30 - 34,588
Barkly,NT,35 - 39,533
Barkly,NT,40 - 44,485
Barkly,NT,45 - 49,470
Barkly,NT,50 - 54,420
Barkly,NT,55 - 59,386
Barkly,NT,60 - 64,279
Barkly,NT,65 - 69,172
Barkly,NT,70 - 74,115
Barkly,NT,75 - 79,48
Barkly,NT,80 - 84,23
Barkly,NT,85 and over,24
Barossa,SA,0 - 4,1285
Barossa,SA,5 - 9,1367
Barossa,SA,10 - 14,1425
Barossa,SA,15 - 19,1442
Barossa,SA,20 - 24,1152
Barossa,SA,25 - 29,1107
Barossa,SA,30 - 34,1187
Barossa,SA,35 - 39,1472
Barossa,SA,40 - 44,1514
Barossa,SA,45 - 49,1677
Barossa,SA,50 - 54,1678
Barossa,SA,55 - 59,1606
Barossa,SA,60 - 64,1387
Barossa,SA,65 - 69,1049
Barossa,SA,70 - 74,819
Barossa,SA,75 - 79,673
Barossa,SA,80 - 84,526
Barossa,SA,85 and over,523
Barunga West,SA,0 - 4,139
Barunga West,SA,5 - 9,111
Barunga West,SA,10 - 14,178
Barunga West,SA,15 - 19,128
Barunga West,SA,20 - 24,91
Barunga West,SA,25 - 29,83
Barunga West,SA,30 - 34,97
Barunga West,SA,35 - 39,150
Barunga West,SA,40 - 44,171
Barunga West,SA,45 - 49,199
Barunga West,SA,50 - 54,176
Barunga West,SA,55 - 59,209
Barunga West,SA,60 - 64,233
Barunga West,SA,65 - 69,160
Barunga West,SA,70 - 74,137
Barunga West,SA,75 - 79,131
Barunga West,SA,80 - 84,86
Barunga West,SA,85 and over,81
Bass Coast,VIC,0 - 4,1573
Bass Coast,VIC,5 - 9,1591
Bass Coast,VIC,10 - 14,1603
Bass Coast,VIC,15 - 19,1644
Bass Coast,VIC,20 - 24,1274
Bass Coast,VIC,25 - 29,1282
Bass Coast,VIC,30 - 34,1339
Bass Coast,VIC,35 - 39,1741
Bass Coast,VIC,40 - 44,1731
Bass Coast,VIC,45 - 49,1907
Bass Coast,VIC,50 - 54,1990
Bass Coast,VIC,55 - 59,2110
Bass Coast,VIC,60 - 64,2254
Bass Coast,VIC,65 - 69,1935
Bass Coast,VIC,70 - 74,1558
Bass Coast,VIC,75 - 79,1287
Bass Coast,VIC,80 - 84,992
Bass Coast,VIC,85 and over,750
Bassendean,WA,0 - 4,945
Bassendean,WA,5 - 9,800
Bassendean,WA,10 - 14,871
Bassendean,WA,15 - 19,934
Bassendean,WA,20 - 24,1025
Bassendean,WA,25 - 29,998
Bassendean,WA,30 - 34,1016
Bassendean,WA,35 - 39,1173
Bassendean,WA,40 - 44,1068
Bassendean,WA,45 - 49,1076
Bassendean,WA,50 - 54,993
Bassendean,WA,55 - 59,923
Bassendean,WA,60 - 64,785
Bassendean,WA,65 - 69,543
Bassendean,WA,70 - 74,464
Bassendean,WA,75 - 79,434
Bassendean,WA,80 - 84,320
Bassendean,WA,85 and over,258
Bathurst Regional,NSW,0 - 4,2699
Bathurst Regional,NSW,5 - 9,2577
Bathurst Regional,NSW,10 - 14,2683
Bathurst Regional,NSW,15 - 19,3262
Bathurst Regional,NSW,20 - 24,3387
Bathurst Regional,NSW,25 - 29,2521
Bathurst Regional,NSW,30 - 34,2202
Bathurst Regional,NSW,35 - 39,2628
Bathurst Regional,NSW,40 - 44,2446
Bathurst Regional,NSW,45 - 49,2675
Bathurst Regional,NSW,50 - 54,2482
Bathurst Regional,NSW,55 - 59,2247
Bathurst Regional,NSW,60 - 64,2041
Bathurst Regional,NSW,65 - 69,1526
Bathurst Regional,NSW,70 - 74,1164
Bathurst Regional,NSW,75 - 79,930
Bathurst Regional,NSW,80 - 84,773
Bathurst Regional,NSW,85 and over,605
Baw Baw,VIC,0 - 4,2574
Baw Baw,VIC,5 - 9,2585
Baw Baw,VIC,10 - 14,2972
Baw Baw,VIC,15 - 19,3058
Baw Baw,VIC,20 - 24,2456
Baw Baw,VIC,25 - 29,2054
Baw Baw,VIC,30 - 34,2055
Baw Baw,VIC,35 - 39,2527
Baw Baw,VIC,40 - 44,2689
Baw Baw,VIC,45 - 49,3008
Baw Baw,VIC,50 - 54,2962
Baw Baw,VIC,55 - 59,2743
Baw Baw,VIC,60 - 64,2485
Baw Baw,VIC,65 - 69,1999
Baw Baw,VIC,70 - 74,1568
Baw Baw,VIC,75 - 79,1119
Baw Baw,VIC,80 - 84,904
Baw Baw,VIC,85 and over,758
Bayside,VIC,0 - 4,9386
Bayside,VIC,0 - 4,5966
Bayside,VIC,5 - 9,7773
Bayside,VIC,5 - 9,6309
Bayside,VIC,10 - 14,7294
Bayside,VIC,10 - 14,5840
Bayside,VIC,15 - 19,7958
Bayside,VIC,15 - 19,6093
Bayside,VIC,20 - 24,10979
Bayside,VIC,20 - 24,5291
