Local Government Area,State/Territory,Age Group,Population
Adelaide,SA,0 - 4,665
Adelaide,SA,5 - 9,378
Adelaide,SA,10 - 14,338
Adelaide,SA,15 - 19,1541
Adelaide,SA,20 - 24,4685
Adelaide,SA,25 - 29,3159
Adelaide,SA,30 - 34,2029
Adelaide,SA,35 - 39,1324
Adelaide,SA,40 - 44,1138
Adelaide,SA,45 - 49,1053
Adelaide,SA,50 - 54,1077
Adelaide,SA,55 - 59,1037
Adelaide,SA,60 - 64,1098
Adelaide,SA,65 - 69,970
Adelaide,SA,70 - 74,578
Adelaide,SA,75 - 79,400
Adelaide,SA,80 - 84,283
Adelaide,SA,85 and over,390
Adelaide Hills,SA,0 - 4,2197
Adelaide Hills,SA,5 - 9,2640
Adelaide Hills,SA,10 - 14,2816
Adelaide Hills,SA,15 - 19,2782
Adelaide Hills,SA,20 - 24,2261
Adelaide Hills,SA,25 - 29,1529
Adelaide Hills,SA,30 - 34,1742
Adelaide Hills,SA,35 - 39,2265
Adelaide Hills,SA,40 - 44,3169
Adelaide Hills,SA,45 - 49,3110
Adelaide Hills,SA,50 - 54,3282
Adelaide Hills,SA,55 - 59,3097
Adelaide Hills,SA,60 - 64,2895
Adelaide Hills,SA,65 - 69,2344
Adelaide Hills,SA,70 - 74,1423
Adelaide Hills,SA,75 - 79,907
Adelaide Hills,SA,80 - 84,648
Adelaide Hills,SA,85 and over,580
Albany,WA,0 - 4,2101
Albany,WA,5 - 9,2447
Albany,WA,10 - 14,2538
Albany,WA,15 - 19,2488
Albany,WA,20 - 24,1965
Albany,WA,25 - 29,2133
Albany,WA,30 - 34,1951
Albany,WA,35 - 39,2116
Albany,WA,40 - 44,2459
Albany,WA,45 - 49,2392
Albany,WA,50 - 54,2671
Albany,WA,55 - 59,2409
Albany,WA,60 - 64,2319
Albany,WA,65 - 69,1867
Albany,WA,70 - 74,1569
Albany,WA,75 - 79,1198
Albany,WA,80 - 84,899
Albany,WA,85 and over,796
Albury,NSW,0 - 4,3279
Albury,NSW,5 - 9,3163
Albury,NSW,10 - 14,3133
Albury,NSW,15 - 19,3536
Albury,NSW,20 - 24,3690
Albury,NSW,25 - 29,3427
Albury,NSW,30 - 34,3167
Albury,NSW,35 - 39,3087
Albury,NSW,40 - 44,3337
Albury,NSW,45 - 49,3075
Albury,NSW,50 - 54,3456
Albury,NSW,55 - 59,3088
Albury,NSW,60 - 64,2763
Albury,NSW,65 - 69,2456
Albury,NSW,70 - 74,1894
Albury,NSW,75 - 79,1468
Albury,NSW,80 - 84,1175
Albury,NSW,85 and over,1144
Alexandrina,SA,0 - 4,1303
Alexandrina,SA,5 - 9,1417
Alexandrina,SA,10 - 14,1439
Alexandrina,SA,15 - 19,1376
Alexandrina,SA,20 - 24,1155
Alexandrina,SA,25 - 29,985
Alexandrina,SA,30 - 34,1055
Alexandrina,SA,35 - 39,1263
Alexandrina,SA,40 - 44,1596
Alexandrina,SA,45 - 49,1516
Alexandrina,SA,50 - 54,1845
Alexandrina,SA,55 - 59,1855
Alexandrina,SA,60 - 64,2099
Alexandrina,SA,65 - 69,2115
Alexandrina,SA,70 - 74,1621
Alexandrina,SA,75 - 79,1114
Alexandrina,SA,80 - 84,795
Alexandrina,SA,85 and over,654
Alice Springs,NT,0 - 4,2257
Alice Springs,NT,5 - 9,1893
Alice Springs,NT,10 - 14,1880
Alice Springs,NT,15 - 19,1675
Alice Springs,NT,20 - 24,2009
