Local Government Area,State/Territory,Age Group,Population
Adelaide,SA,0 - 4,342
Adelaide,SA,5 - 9,252
Adelaide,SA,10 - 14,263
Adelaide,SA,15 - 19,1075
Adelaide,SA,20 - 24,2236
Adelaide,SA,25 - 29,1603
Adelaide,SA,30 - 34,1295
Adelaide,SA,35 - 39,939
Adelaide,SA,40 - 44,840
Adelaide,SA,45 - 49,819
Adelaide,SA,50 - 54,1012
Adelaide,SA,55 - 59,835
Adelaide,SA,60 - 64,580
Adelaide,SA,65 - 69,384
Adelaide,SA,70 - 74,399
Adelaide,SA,75 - 79,376
Adelaide,SA,80 - 84,294
Adelaide,SA,85 and over,313
Adelaide Hills,SA,0 - 4,2316
Adelaide Hills,SA,5 - 9,2681
Adelaide Hills,SA,10 - 14,3111
Adelaide Hills,SA,15 - 19,2881
Adelaide Hills,SA,20 - 24,2018
Adelaide Hills,SA,25 - 29,1907
Adelaide Hills,SA,30 - 34,2503
Adelaide Hills,SA,35 - 39,2838
Adelaide Hills,SA,40 - 44,3420
Adelaide Hills,SA,45 - 49,3405
Adelaide Hills,SA,50 - 54,3373
Adelaide Hills,SA,55 - 59,2655
Adelaide Hills,SA,60 - 64,1756
Adelaide Hills,SA,65 - 69,1182
Adelaide Hills,SA,70 - 74,992
Adelaide Hills,SA,75 - 79,756
Adelaide Hills,SA,80 - 84,506
Adelaide Hills,SA,85 and over,381
Albany,WA,0 - 4,2037
Albany,WA,5 - 9,2320
Albany,WA,10 - 14,2542
Albany,WA,15 - 19,2342
Albany,WA,20 - 24,1621
Albany,WA,25 - 29,1729
Albany,WA,30 - 34,2052
Albany,WA,35 - 39,2227
Albany,WA,40 - 44,2519
Albany,WA,45 - 49,2279
Albany,WA,50 - 54,2142
Albany,WA,55 - 59,1760
Albany,WA,60 - 64,1548
Albany,WA,65 - 69,1325
Albany,WA,70 - 74,1182
Albany,WA,75 - 79,941
Albany,WA,80 - 84,636
Albany,WA,85 and over,511
Albury,NSW,0 - 4,3070
Albury,NSW,5 - 9,3415
Albury,NSW,10 - 14,3391
Albury,NSW,15 - 19,3565
Albury,NSW,20 - 24,3317
Albury,NSW,25 - 29,2884
Albury,NSW,30 - 34,3194
Albury,NSW,35 - 39,3058
Albury,NSW,40 - 44,3562
Albury,NSW,45 - 49,3250
Albury,NSW,50 - 54,2898
Albury,NSW,55 - 59,2378
Albury,NSW,60 - 64,1836
Albury,NSW,65 - 69,1575
Albury,NSW,70 - 74,1511
Albury,NSW,75 - 79,1280
Albury,NSW,80 - 84,872
Albury,NSW,85 and over,760
Alexandrina,SA,0 - 4,990
Alexandrina,SA,5 - 9,1176
Alexandrina,SA,10 - 14,1394
Alexandrina,SA,15 - 19,1117
Alexandrina,SA,20 - 24,691
Alexandrina,SA,25 - 29,735
Alexandrina,SA,30 - 34,1041
Alexandrina,SA,35 - 39,1255
Alexandrina,SA,40 - 44,1508
Alexandrina,SA,45 - 49,1345
Alexandrina,SA,50 - 54,1458
Alexandrina,SA,55 - 59,1357
Alexandrina,SA,60 - 64,1229
Alexandrina,SA,65 - 69,1021
Alexandrina,SA,70 - 74,968
Alexandrina,SA,75 - 79,692
Alexandrina,SA,80 - 84,400
Alexandrina,SA,85 and over,312
Alice Springs,NT,0 - 4,2152
Alice Springs,NT,5 - 9,2132
Alice Springs,NT,10 - 14,2197
Alice Springs,NT,15 - 19,1858
Alice Springs,NT,20 - 24,1852
Alice Springs,NT,25 - 29,2179
Alice Springs,NT,30 - 34,2490
Alice Springs,NT,35 - 39,2498
Alice Springs,NT,40 - 44,2461
Alice Springs,NT,45 - 49,2117
Alice Springs,NT,50 - 54,1749
Alice Springs,NT,55 - 59,1223
Alice Springs,NT,60 - 64,750
Alice Springs,NT,65 - 69,414
Alice Springs,NT,70 - 74,307
Alice Springs,NT,75 - 79,185
Alice Springs,NT,80 - 84,124
Alice Springs,NT,85 and over,87
Alpine,VIC,0 - 4,725
Alpine,VIC,5 - 9,870
Alpine,VIC,10 - 14,931
Alpine,VIC,15 - 19,773
Alpine,VIC,20 - 24,475
Alpine,VIC,25 - 29,593
Alpine,VIC,30 - 34,763
Alpine,VIC,35 - 39,867
Alpine,VIC,40 - 44,1060
Alpine,VIC,45 - 49,1017
Alpine,VIC,50 - 54,877
Alpine,VIC,55 - 59,850
Alpine,VIC,60 - 64,725
Alpine,VIC,65 - 69,601
Alpine,VIC,70 - 74,560
Alpine,VIC,75 - 79,456
Alpine,VIC,80 - 84,281
Alpine,VIC,85 and over,231
Anangu Pitjantjatjara,SA,0 - 4,213
Anangu Pitjantjatjara,SA,5 - 9,282
Anangu Pitjantjatjara,SA,10 - 14,220
Anangu Pitjantjatjara,SA,15 - 19,257
Anangu Pitjantjatjara,SA,20 - 24,254
Anangu Pitjantjatjara,SA,25 - 29,282
Anangu Pitjantjatjara,SA,30 - 34,229
Anangu Pitjantjatjara,SA,35 - 39,175
Anangu Pitjantjatjara,SA,40 - 44,136
Anangu Pitjantjatjara,SA,45 - 49,131
Anangu Pitjantjatjara,SA,50 - 54,134
Anangu Pitjantjatjara,SA,55 - 59,96
Anangu Pitjantjatjara,SA,60 - 64,70
Anangu Pitjantjatjara,SA,65 - 69,46
Anangu Pitjantjatjara,SA,70 - 74,33
Anangu Pitjantjatjara,SA,75 - 79,12
Anangu Pitjantjatjara,SA,80 - 84,23
Anangu Pitjantjatjara,SA,85 and over,6
Ararat,VIC,0 - 4,639
Ararat,VIC,5 - 9,785
Ararat,VIC,10 - 14,835
Ararat,VIC,15 - 19,711
Ararat,VIC,20 - 24,459
Ararat,VIC,25 - 29,584
Ararat,VIC,30 - 34,695
Ararat,VIC,35 - 39,755
Ararat,VIC,40 - 44,858
Ararat,VIC,45 - 49,891
Ararat,VIC,50 - 54,868
Ararat,VIC,55 - 59,789
Ararat,VIC,60 - 64,686
Ararat,VIC,65 - 69,559
Ararat,VIC,70 - 74,549
Ararat,VIC,75 - 79,445
Ararat,VIC,80 - 84,236
Ararat,VIC,85 and over,222
Armadale,WA,0 - 4,3622
Armadale,WA,5 - 9,4055
Armadale,WA,10 - 14,4307
Armadale,WA,15 - 19,4264
Armadale,WA,20 - 24,3556
Armadale,WA,25 - 29,3242
Armadale,WA,30 - 34,3536
Armadale,WA,35 - 39,3629
Armadale,WA,40 - 44,3933
Armadale,WA,45 - 49,3809
Armadale,WA,50 - 54,3844
Armadale,WA,55 - 59,3102
Armadale,WA,60 - 64,2199
Armadale,WA,65 - 69,1655
Armadale,WA,70 - 74,1395
Armadale,WA,75 - 79,973
Armadale,WA,80 - 84,632
Armadale,WA,85 and over,451
Ashburton,WA,0 - 4,617
Ashburton,WA,5 - 9,656
Ashburton,WA,10 - 14,468
Ashburton,WA,15 - 19,319
Ashburton,WA,20 - 24,369
Ashburton,WA,25 - 29,575
Ashburton,WA,30 - 34,750
Ashburton,WA,35 - 39,657
Ashburton,WA,40 - 44,615
Ashburton,WA,45 - 49,398
Ashburton,WA,50 - 54,317
Ashburton,WA,55 - 59,181
Ashburton,WA,60 - 64,103
Ashburton,WA,65 - 69,49
Ashburton,WA,70 - 74,25
Ashburton,WA,75 - 79,21
Ashburton,WA,80 - 84,12
Ashburton,WA,85 and over,6
Augusta-Margaret River,WA,0 - 4,675
Augusta-Margaret River,WA,5 - 9,789
Augusta-Margaret River,WA,10 - 14,813
Augusta-Margaret River,WA,15 - 19,640
Augusta-Margaret River,WA,20 - 24,565
Augusta-Margaret River,WA,25 - 29,717
Augusta-Margaret River,WA,30 - 34,832
Augusta-Margaret River,WA,35 - 39,863
Augusta-Margaret River,WA,40 - 44,960
Augusta-Margaret River,WA,45 - 49,835
Augusta-Margaret River,WA,50 - 54,646
Augusta-Margaret River,WA,55 - 59,465
Augusta-Margaret River,WA,60 - 64,399
Augusta-Margaret River,WA,65 - 69,331
Augusta-Margaret River,WA,70 - 74,303
Augusta-Margaret River,WA,75 - 79,233
Augusta-Margaret River,WA,80 - 84,154
Augusta-Margaret River,WA,85 and over,126
Aurukun,QLD,0 - 4,111
Aurukun,QLD,5 - 9,115
Aurukun,QLD,10 - 14,98
Aurukun,QLD,15 - 19,104
Aurukun,QLD,20 - 24,101
Aurukun,QLD,25 - 29,90
Aurukun,QLD,30 - 34,103
Aurukun,QLD,35 - 39,93
Aurukun,QLD,40 - 44,65
Aurukun,QLD,45 - 49,55
Aurukun,QLD,50 - 54,64
Aurukun,QLD,55 - 59,42
Aurukun,QLD,60 - 64,30
Aurukun,QLD,65 - 69,12
Aurukun,QLD,70 - 74,11
Aurukun,QLD,75 - 79,7
Aurukun,QLD,80 - 84,8
Aurukun,QLD,85 and over,0
Ballarat,VIC,0 - 4,5512
Ballarat,VIC,5 - 9,5799
Ballarat,VIC,10 - 14,6189
Ballarat,VIC,15 - 19,6700
Ballarat,VIC,20 - 24,6272
Ballarat,VIC,25 - 29,5496
Ballarat,VIC,30 - 34,5758
Ballarat,VIC,35 - 39,5691
Ballarat,VIC,40 - 44,5981
Ballarat,VIC,45 - 49,5555
Ballarat,VIC,50 - 54,5156
Ballarat,VIC,55 - 59,4128
Ballarat,VIC,60 - 64,3330
Ballarat,VIC,65 - 69,3009
Ballarat,VIC,70 - 74,2929
Ballarat,VIC,75 - 79,2589
Ballarat,VIC,80 - 84,1653
Ballarat,VIC,85 and over,1421
Ballina,NSW,0 - 4,2210
Ballina,NSW,5 - 9,2541
Ballina,NSW,10 - 14,2785
Ballina,NSW,15 - 19,2616
Ballina,NSW,20 - 24,1708
Ballina,NSW,25 - 29,1776
Ballina,NSW,30 - 34,2116
Ballina,NSW,35 - 39,2503
Ballina,NSW,40 - 44,2940
Ballina,NSW,45 - 49,3014
Ballina,NSW,50 - 54,2841
Ballina,NSW,55 - 59,2277
Ballina,NSW,60 - 64,1897
Ballina,NSW,65 - 69,1735
Ballina,NSW,70 - 74,1822
Ballina,NSW,75 - 79,1692
Ballina,NSW,80 - 84,1125
Ballina,NSW,85 and over,819
Balonne,QLD,0 - 4,561
Balonne,QLD,5 - 9,478
Balonne,QLD,10 - 14,358
Balonne,QLD,15 - 19,282
Balonne,QLD,20 - 24,358
Balonne,QLD,25 - 29,438
Balonne,QLD,30 - 34,483
Balonne,QLD,35 - 39,451
Balonne,QLD,40 - 44,420
Balonne,QLD,45 - 49,316
Balonne,QLD,50 - 54,327
Balonne,QLD,55 - 59,263
Balonne,QLD,60 - 64,175
Balonne,QLD,65 - 69,146
Balonne,QLD,70 - 74,113
Balonne,QLD,75 - 79,82
Balonne,QLD,80 - 84,48
Balonne,QLD,85 and over,37
Balranald,NSW,0 - 4,200
Balranald,NSW,5 - 9,215
Balranald,NSW,10 - 14,218
Balranald,NSW,15 - 19,168
Balranald,NSW,20 - 24,153
Balranald,NSW,25 - 29,162
Balranald,NSW,30 - 34,207
Balranald,NSW,35 - 39,196
Balranald,NSW,40 - 44,228
Balranald,NSW,45 - 49,208
Balranald,NSW,50 - 54,168
Balranald,NSW,55 - 59,131
Balranald,NSW,60 - 64,112
Balranald,NSW,65 - 69,106
Balranald,NSW,70 - 74,92
Balranald,NSW,75 - 79,74
Balranald,NSW,80 - 84,42
Balranald,NSW,85 and over,23
Banana,QLD,0 - 4,1211
Banana,QLD,5 - 9,1227
Banana,QLD,10 - 14,1241
Banana,QLD,15 - 19,994
Banana,QLD,20 - 24,964
Banana,QLD,25 - 29,1026
Banana,QLD,30 - 34,1152
Banana,QLD,35 - 39,1215
Banana,QLD,40 - 44,1304
Banana,QLD,45 - 49,1091
Banana,QLD,50 - 54,961
Banana,QLD,55 - 59,791
Banana,QLD,60 - 64,692
Banana,QLD,65 - 69,534
Banana,QLD,70 - 74,365
Banana,QLD,75 - 79,274
Banana,QLD,80 - 84,159
Banana,QLD,85 and over,127
Banyule,VIC,0 - 4,6849
Banyule,VIC,5 - 9,7083
Banyule,VIC,10 - 14,7577
Banyule,VIC,15 - 19,7874
Banyule,VIC,20 - 24,8432
Banyule,VIC,25 - 29,8222
Banyule,VIC,30 - 34,8745
Banyule,VIC,35 - 39,8465
Banyule,VIC,40 - 44,8638
Banyule,VIC,45 - 49,8418
Banyule,VIC,50 - 54,8151
Banyule,VIC,55 - 59,7046
Banyule,VIC,60 - 64,5251
Banyule,VIC,65 - 69,4390
Banyule,VIC,70 - 74,4153
Banyule,VIC,75 - 79,3857
Banyule,VIC,80 - 84,2511
Banyule,VIC,85 and over,1897
Barcaldine,QLD,0 - 4,289
Barcaldine,QLD,5 - 9,276
Barcaldine,QLD,10 - 14,245
Barcaldine,QLD,15 - 19,195
Barcaldine,QLD,20 - 24,193
Barcaldine,QLD,25 - 29,255
Barcaldine,QLD,30 - 34,295
Barcaldine,QLD,35 - 39,291
Barcaldine,QLD,40 - 44,240
Barcaldine,QLD,45 - 49,215
Barcaldine,QLD,50 - 54,199
Barcaldine,QLD,55 - 59,189
Barcaldine,QLD,60 - 64,168
Barcaldine,QLD,65 - 69,133
Barcaldine,QLD,70 - 74,117
Barcaldine,QLD,75 - 79,84
Barcaldine,QLD,80 - 84,54
Barcaldine,QLD,85 and over,44
Barcoo,QLD,0 - 4,30
Barcoo,QLD,5 - 9,38
Barcoo,QLD,10 - 14,16
Barcoo,QLD,15 - 19,34
Barcoo,QLD,20 - 24,35
Barcoo,QLD,25 - 29,37
Barcoo,QLD,30 - 34,40
Barcoo,QLD,35 - 39,37
Barcoo,QLD,40 - 44,37
Barcoo,QLD,45 - 49,33
Barcoo,QLD,50 - 54,29
Barcoo,QLD,55 - 59,23
Barcoo,QLD,60 - 64,19
Barcoo,QLD,65 - 69,11
Barcoo,QLD,70 - 74,8
Barcoo,QLD,75 - 79,6
Barcoo,QLD,80 - 84,2
Barcoo,QLD,85 and over,2
Barkly,NT,0 - 4,770
Barkly,NT,5 - 9,778
Barkly,NT,10 - 14,679
Barkly,NT,15 - 19,671
Barkly,NT,20 - 24,691
Barkly,NT,25 - 29,644
Barkly,NT,30 - 34,627
Barkly,NT,35 - 39,504
Barkly,NT,40 - 44,473
Barkly,NT,45 - 49,411
Barkly,NT,50 - 54,387
Barkly,NT,55 - 59,241
Barkly,NT,60 - 64,196
Barkly,NT,65 - 69,93
Barkly,NT,70 - 74,78
Barkly,NT,75 - 79,41
Barkly,NT,80 - 84,30
Barkly,NT,85 and over,32
Barossa,SA,0 - 4,1202
Barossa,SA,5 - 9,1256
Barossa,SA,10 - 14,1447
Barossa,SA,15 - 19,1351
Barossa,SA,20 - 24,891
Barossa,SA,25 - 29,1055
Barossa,SA,30 - 34,1249
Barossa,SA,35 - 39,1489
Barossa,SA,40 - 44,1656
Barossa,SA,45 - 49,1518
Barossa,SA,50 - 54,1445
Barossa,SA,55 - 59,1222
Barossa,SA,60 - 64,911
Barossa,SA,65 - 69,791
Barossa,SA,70 - 74,690
Barossa,SA,75 - 79,615
Barossa,SA,80 - 84,446
Barossa,SA,85 and over,385
Barunga West,SA,0 - 4,161
Barunga West,SA,5 - 9,164
Barunga West,SA,10 - 14,168
Barunga West,SA,15 - 19,119
Barunga West,SA,20 - 24,83
Barunga West,SA,25 - 29,125
Barunga West,SA,30 - 34,138
Barunga West,SA,35 - 39,164
Barunga West,SA,40 - 44,185
Barunga West,SA,45 - 49,173
Barunga West,SA,50 - 54,209
Barunga West,SA,55 - 59,211
Barunga West,SA,60 - 64,148
Barunga West,SA,65 - 69,153
Barunga West,SA,70 - 74,148
Barunga West,SA,75 - 79,124
Barunga West,SA,80 - 84,82
Barunga West,SA,85 and over,45
Bass Coast,VIC,0 - 4,1418
Bass Coast,VIC,5 - 9,1600
Bass Coast,VIC,10 - 14,1681
Bass Coast,VIC,15 - 19,1406
Bass Coast,VIC,20 - 24,981
Bass Coast,VIC,25 - 29,1161
Bass Coast,VIC,30 - 34,1501
Bass Coast,VIC,35 - 39,1579
Bass Coast,VIC,40 - 44,1759
Bass Coast,VIC,45 - 49,1753
Bass Coast,VIC,50 - 54,1796
Bass Coast,VIC,55 - 59,1830
Bass Coast,VIC,60 - 64,1671
Bass Coast,VIC,65 - 69,1587
Bass Coast,VIC,70 - 74,1625
Bass Coast,VIC,75 - 79,1213
Bass Coast,VIC,80 - 84,752
Bass Coast,VIC,85 and over,496
Bassendean,WA,0 - 4,872
Bassendean,WA,5 - 9,895
Bassendean,WA,10 - 14,851
Bassendean,WA,15 - 19,918
Bassendean,WA,20 - 24,849
Bassendean,WA,25 - 29,964
Bassendean,WA,30 - 34,1088
Bassendean,WA,35 - 39,1108
Bassendean,WA,40 - 44,1137
Bassendean,WA,45 - 49,1071
Bassendean,WA,50 - 54,957
Bassendean,WA,55 - 59,770
Bassendean,WA,60 - 64,663
Bassendean,WA,65 - 69,577
Bassendean,WA,70 - 74,537
Bassendean,WA,75 - 79,422
Bassendean,WA,80 - 84,267
Bassendean,WA,85 and over,219
Bathurst Regional,NSW,0 - 4,2401
Bathurst Regional,NSW,5 - 9,2439
Bathurst Regional,NSW,10 - 14,2806
Bathurst Regional,NSW,15 - 19,3407
Bathurst Regional,NSW,20 - 24,2797
Bathurst Regional,NSW,25 - 29,2238
Bathurst Regional,NSW,30 - 34,2462
Bathurst Regional,NSW,35 - 39,2422
Bathurst Regional,NSW,40 - 44,2741
