Local Government Area,State/Territory,Age Group,Population
Adelaide,SA,0 - 4,371
Adelaide,SA,5 - 9,256
Adelaide,SA,10 - 14,262
Adelaide,SA,15 - 19,1108
Adelaide,SA,20 - 24,2525
Adelaide,SA,25 - 29,1682
Adelaide,SA,30 - 34,1354
Adelaide,SA,35 - 39,1000
Adelaide,SA,40 - 44,864
Adelaide,SA,45 - 49,844
Adelaide,SA,50 - 54,966
Adelaide,SA,55 - 59,925
Adelaide,SA,60 - 64,600
Adelaide,SA,65 - 69,424
Adelaide,SA,70 - 74,366
Adelaide,SA,75 - 79,379
Adelaide,SA,80 - 84,290
Adelaide,SA,85 and over,317
Adelaide Hills,SA,0 - 4,2303
Adelaide Hills,SA,5 - 9,2620
Adelaide Hills,SA,10 - 14,3099
Adelaide Hills,SA,15 - 19,2942
Adelaide Hills,SA,20 - 24,1974
Adelaide Hills,SA,25 - 29,1799
Adelaide Hills,SA,30 - 34,2498
Adelaide Hills,SA,35 - 39,2774
Adelaide Hills,SA,40 - 44,3417
Adelaide Hills,SA,45 - 49,3377
Adelaide Hills,SA,50 - 54,3368
Adelaide Hills,SA,55 - 59,2874
Adelaide Hills,SA,60 - 64,1835
Adelaide Hills,SA,65 - 69,1266
Adelaide Hills,SA,70 - 74,998
Adelaide Hills,SA,75 - 79,757
Adelaide Hills,SA,80 - 84,519
Adelaide Hills,SA,85 and over,409
Albany,WA,0 - 4,1982
Albany,WA,5 - 9,2284
Albany,WA,10 - 14,2496
Albany,WA,15 - 19,2388
Albany,WA,20 - 24,1627
Albany,WA,25 - 29,1718
Albany,WA,30 - 34,2026
Albany,WA,35 - 39,2183
Albany,WA,40 - 44,2543
Albany,WA,45 - 49,2317
Albany,WA,50 - 54,2201
Albany,WA,55 - 59,1803
Albany,WA,60 - 64,1611
Albany,WA,65 - 69,1409
Albany,WA,70 - 74,1224
Albany,WA,75 - 79,987
Albany,WA,80 - 84,700
Albany,WA,85 and over,521
Albury,NSW,0 - 4,3027
Albury,NSW,5 - 9,3361
Albury,NSW,10 - 14,3434
Albury,NSW,15 - 19,3613
Albury,NSW,20 - 24,3407
Albury,NSW,25 - 29,2902
Albury,NSW,30 - 34,3224
Albury,NSW,35 - 39,2999
Albury,NSW,40 - 44,3493
Albury,NSW,45 - 49,3295
Albury,NSW,50 - 54,2933
Albury,NSW,55 - 59,2521
Albury,NSW,60 - 64,1912
Albury,NSW,65 - 69,1603
Albury,NSW,70 - 74,1509
Albury,NSW,75 - 79,1304
Albury,NSW,80 - 84,879
Albury,NSW,85 and over,764
Alexandrina,SA,0 - 4,1034
Alexandrina,SA,5 - 9,1162
Alexandrina,SA,10 - 14,1387
Alexandrina,SA,15 - 19,1182
Alexandrina,SA,20 - 24,740
Alexandrina,SA,25 - 29,754
Alexandrina,SA,30 - 34,1064
Alexandrina,SA,35 - 39,1179
Alexandrina,SA,40 - 44,1558
Alexandrina,SA,45 - 49,1433
Alexandrina,SA,50 - 54,1459
Alexandrina,SA,55 - 59,1486
Alexandrina,SA,60 - 64,1277
Alexandrina,SA,65 - 69,1094
Alexandrina,SA,70 - 74,985
Alexandrina,SA,75 - 79,751
Alexandrina,SA,80 - 84,430
Alexandrina,SA,85 and over,322
Alice Springs,NT,0 - 4,2085
Alice Springs,NT,5 - 9,2094
Alice Springs,NT,10 - 14,2224
Alice Springs,NT,15 - 19,1818
Alice Springs,NT,20 - 24,1810
Alice Springs,NT,25 - 29,2107
Alice Springs,NT,30 - 34,2429
Alice Springs,NT,35 - 39,2380
Alice Springs,NT,40 - 44,2478
Alice Springs,NT,45 - 49,2156
Alice Springs,NT,50 - 54,1806
Alice Springs,NT,55 - 59,1290
Alice Springs,NT,60 - 64,804
Alice Springs,NT,65 - 69,442
Alice Springs,NT,70 - 74,317
Alice Springs,NT,75 - 79,207
Alice Springs,NT,80 - 84,123
Alice Springs,NT,85 and over,95
Alpine,VIC,0 - 4,704
Alpine,VIC,5 - 9,833
Alpine,VIC,10 - 14,898
Alpine,VIC,15 - 19,786
Alpine,VIC,20 - 24,443
Alpine,VIC,25 - 29,559
Alpine,VIC,30 - 34,761
Alpine,VIC,35 - 39,827
Alpine,VIC,40 - 44,1045
Alpine,VIC,45 - 49,1017
Alpine,VIC,50 - 54,896
Alpine,VIC,55 - 59,893
Alpine,VIC,60 - 64,751
Alpine,VIC,65 - 69,620
Alpine,VIC,70 - 74,565
Alpine,VIC,75 - 79,443
Alpine,VIC,80 - 84,305
Alpine,VIC,85 and over,235
Anangu Pitjantjatjara,SA,0 - 4,186
Anangu Pitjantjatjara,SA,5 - 9,260
Anangu Pitjantjatjara,SA,10 - 14,223
Anangu Pitjantjatjara,SA,15 - 19,248
Anangu Pitjantjatjara,SA,20 - 24,254
Anangu Pitjantjatjara,SA,25 - 29,277
Anangu Pitjantjatjara,SA,30 - 34,224
Anangu Pitjantjatjara,SA,35 - 39,184
Anangu Pitjantjatjara,SA,40 - 44,134
Anangu Pitjantjatjara,SA,45 - 49,130
Anangu Pitjantjatjara,SA,50 - 54,132
Anangu Pitjantjatjara,SA,55 - 59,97
Anangu Pitjantjatjara,SA,60 - 64,65
Anangu Pitjantjatjara,SA,65 - 69,54
Anangu Pitjantjatjara,SA,70 - 74,34
Anangu Pitjantjatjara,SA,75 - 79,14
Anangu Pitjantjatjara,SA,80 - 84,18
Anangu Pitjantjatjara,SA,85 and over,9
Ararat,VIC,0 - 4,620
Ararat,VIC,5 - 9,775
Ararat,VIC,10 - 14,839
Ararat,VIC,15 - 19,713
Ararat,VIC,20 - 24,474
Ararat,VIC,25 - 29,563
Ararat,VIC,30 - 34,699
Ararat,VIC,35 - 39,728
Ararat,VIC,40 - 44,834
Ararat,VIC,45 - 49,896
Ararat,VIC,50 - 54,868
Ararat,VIC,55 - 59,828
Ararat,VIC,60 - 64,676
Ararat,VIC,65 - 69,558
Ararat,VIC,70 - 74,530
Ararat,VIC,75 - 79,446
Ararat,VIC,80 - 84,267
Ararat,VIC,85 and over,222
Armadale,WA,0 - 4,3547
Armadale,WA,5 - 9,3933
Armadale,WA,10 - 14,4268
Armadale,WA,15 - 19,4261
Armadale,WA,20 - 24,3563
Armadale,WA,25 - 29,3132
Armadale,WA,30 - 34,3525
Armadale,WA,35 - 39,3517
Armadale,WA,40 - 44,3892
Armadale,WA,45 - 49,3787
Armadale,WA,50 - 54,3762
Armadale,WA,55 - 59,3336
Armadale,WA,60 - 64,2269
Armadale,WA,65 - 69,1744
Armadale,WA,70 - 74,1383
Armadale,WA,75 - 79,1012
Armadale,WA,80 - 84,654
Armadale,WA,85 and over,464
Ashburton,WA,0 - 4,646
Ashburton,WA,5 - 9,685
Ashburton,WA,10 - 14,471
Ashburton,WA,15 - 19,337
Ashburton,WA,20 - 24,391
Ashburton,WA,25 - 29,621
Ashburton,WA,30 - 34,771
Ashburton,WA,35 - 39,683
Ashburton,WA,40 - 44,618
Ashburton,WA,45 - 49,444
Ashburton,WA,50 - 54,351
Ashburton,WA,55 - 59,214
Ashburton,WA,60 - 64,107
Ashburton,WA,65 - 69,59
Ashburton,WA,70 - 74,22
Ashburton,WA,75 - 79,21
Ashburton,WA,80 - 84,18
Ashburton,WA,85 and over,8
Augusta-Margaret River,WA,0 - 4,684
Augusta-Margaret River,WA,5 - 9,777
Augusta-Margaret River,WA,10 - 14,821
Augusta-Margaret River,WA,15 - 19,636
Augusta-Margaret River,WA,20 - 24,568
Augusta-Margaret River,WA,25 - 29,690
Augusta-Margaret River,WA,30 - 34,914
Augusta-Margaret River,WA,35 - 39,875
Augusta-Margaret River,WA,40 - 44,987
Augusta-Margaret River,WA,45 - 49,874
Augusta-Margaret River,WA,50 - 54,713
Augusta-Margaret River,WA,55 - 59,508
Augusta-Margaret River,WA,60 - 64,427
Augusta-Margaret River,WA,65 - 69,344
Augusta-Margaret River,WA,70 - 74,301
Augusta-Margaret River,WA,75 - 79,233
Augusta-Margaret River,WA,80 - 84,152
Augusta-Margaret River,WA,85 and over,135
Aurukun,QLD,0 - 4,117
Aurukun,QLD,5 - 9,112
Aurukun,QLD,10 - 14,103
Aurukun,QLD,15 - 19,89
Aurukun,QLD,20 - 24,97
Aurukun,QLD,25 - 29,89
Aurukun,QLD,30 - 34,105
Aurukun,QLD,35 - 39,88
Aurukun,QLD,40 - 44,72
Aurukun,QLD,45 - 49,53
Aurukun,QLD,50 - 54,63
Aurukun,QLD,55 - 59,45
Aurukun,QLD,60 - 64,21
Aurukun,QLD,65 - 69,15
Aurukun,QLD,70 - 74,14
Aurukun,QLD,75 - 79,9
Aurukun,QLD,80 - 84,7
Aurukun,QLD,85 and over,1
Ballarat,VIC,0 - 4,5485
Ballarat,VIC,5 - 9,5799
Ballarat,VIC,10 - 14,6147
Ballarat,VIC,15 - 19,6782
Ballarat,VIC,20 - 24,6449
Ballarat,VIC,25 - 29,5545
Ballarat,VIC,30 - 34,5808
Ballarat,VIC,35 - 39,5603
Ballarat,VIC,40 - 44,6054
Ballarat,VIC,45 - 49,5716
Ballarat,VIC,50 - 54,5249
Ballarat,VIC,55 - 59,4461
Ballarat,VIC,60 - 64,3406
Ballarat,VIC,65 - 69,3039
Ballarat,VIC,70 - 74,2881
Ballarat,VIC,75 - 79,2656
Ballarat,VIC,80 - 84,1737
Ballarat,VIC,85 and over,1373
Ballina,NSW,0 - 4,2225
Ballina,NSW,5 - 9,2485
Ballina,NSW,10 - 14,2842
Ballina,NSW,15 - 19,2575
Ballina,NSW,20 - 24,1807
Ballina,NSW,25 - 29,1740
Ballina,NSW,30 - 34,2143
Ballina,NSW,35 - 39,2474
Ballina,NSW,40 - 44,2940
Ballina,NSW,45 - 49,3031
Ballina,NSW,50 - 54,2899
Ballina,NSW,55 - 59,2469
Ballina,NSW,60 - 64,1943
Ballina,NSW,65 - 69,1728
Ballina,NSW,70 - 74,1786
Ballina,NSW,75 - 79,1694
Ballina,NSW,80 - 84,1203
Ballina,NSW,85 and over,886
Balonne,QLD,0 - 4,559
Balonne,QLD,5 - 9,462
Balonne,QLD,10 - 14,351
Balonne,QLD,15 - 19,261
Balonne,QLD,20 - 24,337
Balonne,QLD,25 - 29,403
Balonne,QLD,30 - 34,479
Balonne,QLD,35 - 39,411
Balonne,QLD,40 - 44,403
Balonne,QLD,45 - 49,319
Balonne,QLD,50 - 54,315
Balonne,QLD,55 - 59,264
Balonne,QLD,60 - 64,175
Balonne,QLD,65 - 69,146
Balonne,QLD,70 - 74,123
Balonne,QLD,75 - 79,81
Balonne,QLD,80 - 84,45
Balonne,QLD,85 and over,40
Balranald,NSW,0 - 4,187
Balranald,NSW,5 - 9,211
Balranald,NSW,10 - 14,205
Balranald,NSW,15 - 19,164
Balranald,NSW,20 - 24,158
Balranald,NSW,25 - 29,149
Balranald,NSW,30 - 34,203
Balranald,NSW,35 - 39,185
Balranald,NSW,40 - 44,229
Balranald,NSW,45 - 49,203
Balranald,NSW,50 - 54,191
Balranald,NSW,55 - 59,132
Balranald,NSW,60 - 64,108
Balranald,NSW,65 - 69,103
Balranald,NSW,70 - 74,93
Balranald,NSW,75 - 79,72
Balranald,NSW,80 - 84,47
Balranald,NSW,85 and over,21
Banana,QLD,0 - 4,1211
Banana,QLD,5 - 9,1222
Banana,QLD,10 - 14,1208
Banana,QLD,15 - 19,984
Banana,QLD,20 - 24,982
Banana,QLD,25 - 29,1012
Banana,QLD,30 - 34,1162
Banana,QLD,35 - 39,1143
Banana,QLD,40 - 44,1295
Banana,QLD,45 - 49,1099
Banana,QLD,50 - 54,950
Banana,QLD,55 - 59,796
Banana,QLD,60 - 64,654
Banana,QLD,65 - 69,552
Banana,QLD,70 - 74,370
Banana,QLD,75 - 79,246
Banana,QLD,80 - 84,151
Banana,QLD,85 and over,99
Banyule,VIC,0 - 4,6797
Banyule,VIC,5 - 9,6975
Banyule,VIC,10 - 14,7475
Banyule,VIC,15 - 19,7813
Banyule,VIC,20 - 24,8451
Banyule,VIC,25 - 29,8054
Banyule,VIC,30 - 34,8762
Banyule,VIC,35 - 39,8351
Banyule,VIC,40 - 44,8595
Banyule,VIC,45 - 49,8402
Banyule,VIC,50 - 54,8036
Banyule,VIC,55 - 59,7362
Banyule,VIC,60 - 64,5381
Banyule,VIC,65 - 69,4378
Banyule,VIC,70 - 74,4092
Banyule,VIC,75 - 79,3788
Banyule,VIC,80 - 84,2653
Banyule,VIC,85 and over,1948
Barcaldine,QLD,0 - 4,275
Barcaldine,QLD,5 - 9,271
Barcaldine,QLD,10 - 14,244
Barcaldine,QLD,15 - 19,186
Barcaldine,QLD,20 - 24,202
Barcaldine,QLD,25 - 29,227
Barcaldine,QLD,30 - 34,268
Barcaldine,QLD,35 - 39,288
Barcaldine,QLD,40 - 44,243
Barcaldine,QLD,45 - 49,217
Barcaldine,QLD,50 - 54,193
Barcaldine,QLD,55 - 59,185
Barcaldine,QLD,60 - 64,174
Barcaldine,QLD,65 - 69,127
Barcaldine,QLD,70 - 74,110
Barcaldine,QLD,75 - 79,78
Barcaldine,QLD,80 - 84,55
Barcaldine,QLD,85 and over,45
Barcoo,QLD,0 - 4,21
Barcoo,QLD,5 - 9,36
Barcoo,QLD,10 - 14,17
Barcoo,QLD,15 - 19,32
Barcoo,QLD,20 - 24,38
Barcoo,QLD,25 - 29,31
Barcoo,QLD,30 - 34,37
Barcoo,QLD,35 - 39,31
Barcoo,QLD,40 - 44,38
Barcoo,QLD,45 - 49,29
Barcoo,QLD,50 - 54,32
Barcoo,QLD,55 - 59,21
Barcoo,QLD,60 - 64,22
Barcoo,QLD,65 - 69,10
Barcoo,QLD,70 - 74,6
Barcoo,QLD,75 - 79,5
Barcoo,QLD,80 - 84,1
Barcoo,QLD,85 and over,1
Barkly,NT,0 - 4,772
Barkly,NT,5 - 9,748
Barkly,NT,10 - 14,661
Barkly,NT,15 - 19,666
Barkly,NT,20 - 24,706
Barkly,NT,25 - 29,626
Barkly,NT,30 - 34,613
Barkly,NT,35 - 39,510
Barkly,NT,40 - 44,489
Barkly,NT,45 - 49,423
Barkly,NT,50 - 54,382
Barkly,NT,55 - 59,273
Barkly,NT,60 - 64,186
Barkly,NT,65 - 69,98
Barkly,NT,70 - 74,82
Barkly,NT,75 - 79,35
Barkly,NT,80 - 84,30
Barkly,NT,85 and over,21
Barossa,SA,0 - 4,1191
Barossa,SA,5 - 9,1259
Barossa,SA,10 - 14,1410
Barossa,SA,15 - 19,1406
Barossa,SA,20 - 24,925
Barossa,SA,25 - 29,1048
Barossa,SA,30 - 34,1262
Barossa,SA,35 - 39,1412
