Local Government Area,State/Territory,Age Group,Population
Adelaide,SA,0 - 4,305
Adelaide,SA,5 - 9,255
Adelaide,SA,10 - 14,266
Adelaide,SA,15 - 19,1057
Adelaide,SA,20 - 24,1901
Adelaide,SA,25 - 29,1550
Adelaide,SA,30 - 34,1207
Adelaide,SA,35 - 39,918
Adelaide,SA,40 - 44,811
Adelaide,SA,45 - 49,833
Adelaide,SA,50 - 54,1020
Adelaide,SA,55 - 59,757
Adelaide,SA,60 - 64,545
Adelaide,SA,65 - 69,380
Adelaide,SA,70 - 74,413
Adelaide,SA,75 - 79,371
Adelaide,SA,80 - 84,292
Adelaide,SA,85 and over,330
Adelaide Hills,SA,0 - 4,2273
Adelaide Hills,SA,5 - 9,2837
Adelaide Hills,SA,10 - 14,3080
Adelaide Hills,SA,15 - 19,2850
Adelaide Hills,SA,20 - 24,2060
Adelaide Hills,SA,25 - 29,1948
Adelaide Hills,SA,30 - 34,2490
Adelaide Hills,SA,35 - 39,2959
Adelaide Hills,SA,40 - 44,3477
Adelaide Hills,SA,45 - 49,3358
Adelaide Hills,SA,50 - 54,3422
Adelaide Hills,SA,55 - 59,2416
Adelaide Hills,SA,60 - 64,1653
Adelaide Hills,SA,65 - 69,1170
Adelaide Hills,SA,70 - 74,968
Adelaide Hills,SA,75 - 79,751
Adelaide Hills,SA,80 - 84,471
Adelaide Hills,SA,85 and over,366
Albany,WA,0 - 4,2081
Albany,WA,5 - 9,2308
Albany,WA,10 - 14,2581
Albany,WA,15 - 19,2304
Albany,WA,20 - 24,1624
Albany,WA,25 - 29,1776
Albany,WA,30 - 34,1988
Albany,WA,35 - 39,2276
Albany,WA,40 - 44,2459
Albany,WA,45 - 49,2248
Albany,WA,50 - 54,2058
Albany,WA,55 - 59,1665
Albany,WA,60 - 64,1477
Albany,WA,65 - 69,1275
Albany,WA,70 - 74,1188
Albany,WA,75 - 79,961
Albany,WA,80 - 84,609
Albany,WA,85 and over,484
Albury,NSW,0 - 4,3163
Albury,NSW,5 - 9,3417
Albury,NSW,10 - 14,3317
Albury,NSW,15 - 19,3564
Albury,NSW,20 - 24,3226
Albury,NSW,25 - 29,2875
Albury,NSW,30 - 34,3112
Albury,NSW,35 - 39,3125
Albury,NSW,40 - 44,3493
Albury,NSW,45 - 49,3200
Albury,NSW,50 - 54,2862
Albury,NSW,55 - 59,2190
Albury,NSW,60 - 64,1823
Albury,NSW,65 - 69,1539
Albury,NSW,70 - 74,1527
Albury,NSW,75 - 79,1254
Albury,NSW,80 - 84,830
Albury,NSW,85 and over,748
Alexandrina,SA,0 - 4,953
Alexandrina,SA,5 - 9,1247
Alexandrina,SA,10 - 14,1328
Alexandrina,SA,15 - 19,1057
Alexandrina,SA,20 - 24,654
Alexandrina,SA,25 - 29,716
Alexandrina,SA,30 - 34,1018
Alexandrina,SA,35 - 39,1320
Alexandrina,SA,40 - 44,1448
Alexandrina,SA,45 - 49,1329
Alexandrina,SA,50 - 54,1404
Alexandrina,SA,55 - 59,1251
Alexandrina,SA,60 - 64,1137
Alexandrina,SA,65 - 69,985
Alexandrina,SA,70 - 74,923
Alexandrina,SA,75 - 79,655
Alexandrina,SA,80 - 84,375
Alexandrina,SA,85 and over,291
Alice Springs,NT,0 - 4,2210
Alice Springs,NT,5 - 9,2218
Alice Springs,NT,10 - 14,2192
Alice Springs,NT,15 - 19,1887
Alice Springs,NT,20 - 24,1835
Alice Springs,NT,25 - 29,2289
Alice Springs,NT,30 - 34,2527
Alice Springs,NT,35 - 39,2537
Alice Springs,NT,40 - 44,2414
Alice Springs,NT,45 - 49,2081
Alice Springs,NT,50 - 54,1730
Alice Springs,NT,55 - 59,1141
Alice Springs,NT,60 - 64,710
Alice Springs,NT,65 - 69,385
Alice Springs,NT,70 - 74,309
Alice Springs,NT,75 - 79,153
Alice Springs,NT,80 - 84,139
Alice Springs,NT,85 and over,92
Alpine,VIC,0 - 4,740
Alpine,VIC,5 - 9,886
Alpine,VIC,10 - 14,973
Alpine,VIC,15 - 19,768
Alpine,VIC,20 - 24,483
Alpine,VIC,25 - 29,635
Alpine,VIC,30 - 34,769
Alpine,VIC,35 - 39,911
Alpine,VIC,40 - 44,1065
Alpine,VIC,45 - 49,976
Alpine,VIC,50 - 54,910
Alpine,VIC,55 - 59,819
Alpine,VIC,60 - 64,686
Alpine,VIC,65 - 69,603
Alpine,VIC,70 - 74,556
Alpine,VIC,75 - 79,449
Alpine,VIC,80 - 84,268
Alpine,VIC,85 and over,212
Anangu Pitjantjatjara,SA,0 - 4,232
Anangu Pitjantjatjara,SA,5 - 9,317
Anangu Pitjantjatjara,SA,10 - 14,243
Anangu Pitjantjatjara,SA,15 - 19,243
Anangu Pitjantjatjara,SA,20 - 24,274
Anangu Pitjantjatjara,SA,25 - 29,278
Anangu Pitjantjatjara,SA,30 - 34,237
Anangu Pitjantjatjara,SA,35 - 39,165
Anangu Pitjantjatjara,SA,40 - 44,132
Anangu Pitjantjatjara,SA,45 - 49,127
Anangu Pitjantjatjara,SA,50 - 54,131
Anangu Pitjantjatjara,SA,55 - 59,103
Anangu Pitjantjatjara,SA,60 - 64,70
Anangu Pitjantjatjara,SA,65 - 69,37
Anangu Pitjantjatjara,SA,70 - 74,34
Anangu Pitjantjatjara,SA,75 - 79,11
Anangu Pitjantjatjara,SA,80 - 84,21
Anangu Pitjantjatjara,SA,85 and over,6
Ararat,VIC,0 - 4,669
Ararat,VIC,5 - 9,798
Ararat,VIC,10 - 14,846
Ararat,VIC,15 - 19,658
Ararat,VIC,20 - 24,489
Ararat,VIC,25 - 29,575
Ararat,VIC,30 - 34,693
Ararat,VIC,35 - 39,796
Ararat,VIC,40 - 44,864
Ararat,VIC,45 - 49,872
Ararat,VIC,50 - 54,879
Ararat,VIC,55 - 59,752
Ararat,VIC,60 - 64,657
Ararat,VIC,65 - 69,565
Ararat,VIC,70 - 74,550
Ararat,VIC,75 - 79,432
Ararat,VIC,80 - 84,237
Ararat,VIC,85 and over,212
Armadale,WA,0 - 4,3741
Armadale,WA,5 - 9,4200
Armadale,WA,10 - 14,4328
Armadale,WA,15 - 19,4315
Armadale,WA,20 - 24,3514
Armadale,WA,25 - 29,3394
Armadale,WA,30 - 34,3522
Armadale,WA,35 - 39,3791
Armadale,WA,40 - 44,3918
Armadale,WA,45 - 49,3874
Armadale,WA,50 - 54,3923
Armadale,WA,55 - 59,2819
Armadale,WA,60 - 64,2145
Armadale,WA,65 - 69,1583
Armadale,WA,70 - 74,1389
