Local Government Area,State/Territory,Age Group,Population
Adelaide,SA,0 - 4,437
Adelaide,SA,5 - 9,305
Adelaide,SA,10 - 14,304
Adelaide,SA,15 - 19,1263
Adelaide,SA,20 - 24,3746
Adelaide,SA,25 - 29,2524
Adelaide,SA,30 - 34,1692
Adelaide,SA,35 - 39,1243
Adelaide,SA,40 - 44,1063
Adelaide,SA,45 - 49,985
Adelaide,SA,50 - 54,977
Adelaide,SA,55 - 59,1113
Adelaide,SA,60 - 64,867
Adelaide,SA,65 - 69,587
Adelaide,SA,70 - 74,402
Adelaide,SA,75 - 79,353
Adelaide,SA,80 - 84,341
Adelaide,SA,85 and over,347
Adelaide Hills,SA,0 - 4,2297
Adelaide Hills,SA,5 - 9,2592
Adelaide Hills,SA,10 - 14,2774
Adelaide Hills,SA,15 - 19,3028
Adelaide Hills,SA,20 - 24,2092
Adelaide Hills,SA,25 - 29,1534
Adelaide Hills,SA,30 - 34,2090
Adelaide Hills,SA,35 - 39,2864
Adelaide Hills,SA,40 - 44,3081
Adelaide Hills,SA,45 - 49,3378
Adelaide Hills,SA,50 - 54,3330
Adelaide Hills,SA,55 - 59,3179
Adelaide Hills,SA,60 - 64,2462
Adelaide Hills,SA,65 - 69,1573
Adelaide Hills,SA,70 - 74,1039
Adelaide Hills,SA,75 - 79,813
Adelaide Hills,SA,80 - 84,560
Adelaide Hills,SA,85 and over,518
Albany,WA,0 - 4,2032
Albany,WA,5 - 9,2241
Albany,WA,10 - 14,2464
Albany,WA,15 - 19,2447
Albany,WA,20 - 24,1692
Albany,WA,25 - 29,1635
Albany,WA,30 - 34,1902
Albany,WA,35 - 39,2285
Albany,WA,40 - 44,2349
Albany,WA,45 - 49,2534
Albany,WA,50 - 54,2365
Albany,WA,55 - 59,2139
Albany,WA,60 - 64,1791
Albany,WA,65 - 69,1563
Albany,WA,70 - 74,1314
Albany,WA,75 - 79,1128
Albany,WA,80 - 84,829
Albany,WA,85 and over,600
Albury,NSW,0 - 4,3182
Albury,NSW,5 - 9,3116
Albury,NSW,10 - 14,3444
Albury,NSW,15 - 19,3752
Albury,NSW,20 - 24,3674
Albury,NSW,25 - 29,3148
Albury,NSW,30 - 34,2972
Albury,NSW,35 - 39,3307
Albury,NSW,40 - 44,3146
Albury,NSW,45 - 49,3550
Albury,NSW,50 - 54,3177
Albury,NSW,55 - 59,2848
Albury,NSW,60 - 64,2313
Albury,NSW,65 - 69,1793
Albury,NSW,70 - 74,1460
Albury,NSW,75 - 79,1359
Albury,NSW,80 - 84,1030
Albury,NSW,85 and over,869
Alexandrina,SA,0 - 4,1192
Alexandrina,SA,5 - 9,1307
Alexandrina,SA,10 - 14,1350
Alexandrina,SA,15 - 19,1365
Alexandrina,SA,20 - 24,869
Alexandrina,SA,25 - 29,837
Alexandrina,SA,30 - 34,1048
Alexandrina,SA,35 - 39,1352
Alexandrina,SA,40 - 44,1395
Alexandrina,SA,45 - 49,1607
Alexandrina,SA,50 - 54,1530
Alexandrina,SA,55 - 59,1772
Alexandrina,SA,60 - 64,1729
Alexandrina,SA,65 - 69,1466
Alexandrina,SA,70 - 74,1086
Alexandrina,SA,75 - 79,917
Alexandrina,SA,80 - 84,580
Alexandrina,SA,85 and over,441
Alice Springs,NT,0 - 4,1978
Alice Springs,NT,5 - 9,1975
Alice Springs,NT,10 - 14,2006
Alice Springs,NT,15 - 19,1956
Alice Springs,NT,20 - 24,1978
Alice Springs,NT,25 - 29,2128
Alice Springs,NT,30 - 34,2149
Alice Springs,NT,35 - 39,2292
Alice Springs,NT,40 - 44,2298
Alice Springs,NT,45 - 49,2201
Alice Springs,NT,50 - 54,2060
Alice Springs,NT,55 - 59,1502
Alice Springs,NT,60 - 64,1008
Alice Springs,NT,65 - 69,600
Alice Springs,NT,70 - 74,312
Alice Springs,NT,75 - 79,247
Alice Springs,NT,80 - 84,160
Alice Springs,NT,85 and over,111
Alpine,VIC,0 - 4,633
Alpine,VIC,5 - 9,716
Alpine,VIC,10 - 14,815
Alpine,VIC,15 - 19,737
Alpine,VIC,20 - 24,447
Alpine,VIC,25 - 29,453
Alpine,VIC,30 - 34,611
Alpine,VIC,35 - 39,759
Alpine,VIC,40 - 44,847
Alpine,VIC,45 - 49,1051
Alpine,VIC,50 - 54,993
Alpine,VIC,55 - 59,895
Alpine,VIC,60 - 64,881
Alpine,VIC,65 - 69,738
Alpine,VIC,70 - 74,561
Alpine,VIC,75 - 79,482
Alpine,VIC,80 - 84,340
Alpine,VIC,85 and over,268
Anangu Pitjantjatjara,SA,0 - 4,210
Anangu Pitjantjatjara,SA,5 - 9,205
Anangu Pitjantjatjara,SA,10 - 14,219
Anangu Pitjantjatjara,SA,15 - 19,226
Anangu Pitjantjatjara,SA,20 - 24,236
Anangu Pitjantjatjara,SA,25 - 29,219
Anangu Pitjantjatjara,SA,30 - 34,190
Anangu Pitjantjatjara,SA,35 - 39,203
Anangu Pitjantjatjara,SA,40 - 44,138
Anangu Pitjantjatjara,SA,45 - 49,112
Anangu Pitjantjatjara,SA,50 - 54,117
Anangu Pitjantjatjara,SA,55 - 59,100
Anangu Pitjantjatjara,SA,60 - 64,55
Anangu Pitjantjatjara,SA,65 - 69,52
Anangu Pitjantjatjara,SA,70 - 74,35
Anangu Pitjantjatjara,SA,75 - 79,19
Anangu Pitjantjatjara,SA,80 - 84,3
Anangu Pitjantjatjara,SA,85 and over,13
Ararat,VIC,0 - 4,638
Ararat,VIC,5 - 9,660
Ararat,VIC,10 - 14,776
Ararat,VIC,15 - 19,719
Ararat,VIC,20 - 24,523
Ararat,VIC,25 - 29,529
Ararat,VIC,30 - 34,611
Ararat,VIC,35 - 39,722
Ararat,VIC,40 - 44,760
Ararat,VIC,45 - 49,851
Ararat,VIC,50 - 54,878
Ararat,VIC,55 - 59,846
Ararat,VIC,60 - 64,771
Ararat,VIC,65 - 69,623
Ararat,VIC,70 - 74,475
Ararat,VIC,75 - 79,432
Ararat,VIC,80 - 84,318
Ararat,VIC,85 and over,231
Armadale,WA,0 - 4,3666
Armadale,WA,5 - 9,3615
Armadale,WA,10 - 14,4071
Armadale,WA,15 - 19,4357
Armadale,WA,20 - 24,4039
Armadale,WA,25 - 29,3448
Armadale,WA,30 - 34,3141
Armadale,WA,35 - 39,3675
Armadale,WA,40 - 44,3702
Armadale,WA,45 - 49,3871
Armadale,WA,50 - 54,3704
Armadale,WA,55 - 59,3603
Armadale,WA,60 - 64,2835
Armadale,WA,65 - 69,2012
Armadale,WA,70 - 74,1496
Armadale,WA,75 - 79,1152
Armadale,WA,80 - 84,755
Armadale,WA,85 and over,593
Ashburton,WA,0 - 4,787
Ashburton,WA,5 - 9,757
Ashburton,WA,10 - 14,433
Ashburton,WA,15 - 19,332
Ashburton,WA,20 - 24,547
Ashburton,WA,25 - 29,846
Ashburton,WA,30 - 34,949
Ashburton,WA,35 - 39,871
Ashburton,WA,40 - 44,685
Ashburton,WA,45 - 49,631
Ashburton,WA,50 - 54,495
