Local Government Area,State/Territory,Age Group,Population
Adelaide,SA,0 - 4,389
Adelaide,SA,5 - 9,269
Adelaide,SA,10 - 14,287
Adelaide,SA,15 - 19,1177
Adelaide,SA,20 - 24,3217
Adelaide,SA,25 - 29,2111
Adelaide,SA,30 - 34,1547
Adelaide,SA,35 - 39,1076
Adelaide,SA,40 - 44,978
Adelaide,SA,45 - 49,919
Adelaide,SA,50 - 54,943
Adelaide,SA,55 - 59,1055
Adelaide,SA,60 - 64,703
Adelaide,SA,65 - 69,522
Adelaide,SA,70 - 74,365
Adelaide,SA,75 - 79,374
Adelaide,SA,80 - 84,318
Adelaide,SA,85 and over,323
Adelaide Hills,SA,0 - 4,2270
Adelaide Hills,SA,5 - 9,2558
Adelaide Hills,SA,10 - 14,2982
Adelaide Hills,SA,15 - 19,2965
Adelaide Hills,SA,20 - 24,2049
Adelaide Hills,SA,25 - 29,1633
Adelaide Hills,SA,30 - 34,2301
Adelaide Hills,SA,35 - 39,2821
Adelaide Hills,SA,40 - 44,3289
Adelaide Hills,SA,45 - 49,3381
Adelaide Hills,SA,50 - 54,3355
Adelaide Hills,SA,55 - 59,3149
Adelaide Hills,SA,60 - 64,2106
Adelaide Hills,SA,65 - 69,1429
Adelaide Hills,SA,70 - 74,1004
Adelaide Hills,SA,75 - 79,756
Adelaide Hills,SA,80 - 84,563
Adelaide Hills,SA,85 and over,455
Albany,WA,0 - 4,1933
Albany,WA,5 - 9,2262
Albany,WA,10 - 14,2530
Albany,WA,15 - 19,2465
Albany,WA,20 - 24,1615
Albany,WA,25 - 29,1675
Albany,WA,30 - 34,1989
Albany,WA,35 - 39,2175
Albany,WA,40 - 44,2496
Albany,WA,45 - 49,2469
Albany,WA,50 - 54,2276
Albany,WA,55 - 59,1990
Albany,WA,60 - 64,1663
Albany,WA,65 - 69,1520
Albany,WA,70 - 74,1269
Albany,WA,75 - 79,1057
Albany,WA,80 - 84,803
Albany,WA,85 and over,539
Albury,NSW,0 - 4,3026
Albury,NSW,5 - 9,3179
Albury,NSW,10 - 14,3504
Albury,NSW,15 - 19,3625
Albury,NSW,20 - 24,3603
Albury,NSW,25 - 29,3019
Albury,NSW,30 - 34,3055
Albury,NSW,35 - 39,3075
Albury,NSW,40 - 44,3339
Albury,NSW,45 - 49,3412
Albury,NSW,50 - 54,3102
Albury,NSW,55 - 59,2742
Albury,NSW,60 - 64,2044
Albury,NSW,65 - 69,1695
Albury,NSW,70 - 74,1438
Albury,NSW,75 - 79,1365
Albury,NSW,80 - 84,977
Albury,NSW,85 and over,804
Alexandrina,SA,0 - 4,1090
Alexandrina,SA,5 - 9,1226
Alexandrina,SA,10 - 14,1418
Alexandrina,SA,15 - 19,1225
Alexandrina,SA,20 - 24,812
Alexandrina,SA,25 - 29,792
Alexandrina,SA,30 - 34,1105
Alexandrina,SA,35 - 39,1226
Alexandrina,SA,40 - 44,1443
Alexandrina,SA,45 - 49,1586
Alexandrina,SA,50 - 54,1485
Alexandrina,SA,55 - 59,1684
Alexandrina,SA,60 - 64,1486
Alexandrina,SA,65 - 69,1269
Alexandrina,SA,70 - 74,1030
Alexandrina,SA,75 - 79,860
Alexandrina,SA,80 - 84,505
Alexandrina,SA,85 and over,369
Alice Springs,NT,0 - 4,1982
Alice Springs,NT,5 - 9,1981
Alice Springs,NT,10 - 14,2156
Alice Springs,NT,15 - 19,1867
Alice Springs,NT,20 - 24,1813
Alice Springs,NT,25 - 29,2115
Alice Springs,NT,30 - 34,2274
Alice Springs,NT,35 - 39,2316
Alice Springs,NT,40 - 44,2362
Alice Springs,NT,45 - 49,2233
Alice Springs,NT,50 - 54,1919
Alice Springs,NT,55 - 59,1431
Alice Springs,NT,60 - 64,898
Alice Springs,NT,65 - 69,496
Alice Springs,NT,70 - 74,281
Alice Springs,NT,75 - 79,224
Alice Springs,NT,80 - 84,119
Alice Springs,NT,85 and over,105
Alpine,VIC,0 - 4,665
Alpine,VIC,5 - 9,772
Alpine,VIC,10 - 14,830
Alpine,VIC,15 - 19,767
Alpine,VIC,20 - 24,438
Alpine,VIC,25 - 29,493
Alpine,VIC,30 - 34,713
Alpine,VIC,35 - 39,763
Alpine,VIC,40 - 44,962
Alpine,VIC,45 - 49,1013
Alpine,VIC,50 - 54,940
Alpine,VIC,55 - 59,924
Alpine,VIC,60 - 64,820
Alpine,VIC,65 - 69,678
Alpine,VIC,70 - 74,550
Alpine,VIC,75 - 79,465
Alpine,VIC,80 - 84,341
Alpine,VIC,85 and over,238
Anangu Pitjantjatjara,SA,0 - 4,179
Anangu Pitjantjatjara,SA,5 - 9,223
Anangu Pitjantjatjara,SA,10 - 14,215
Anangu Pitjantjatjara,SA,15 - 19,234
Anangu Pitjantjatjara,SA,20 - 24,231
Anangu Pitjantjatjara,SA,25 - 29,241
Anangu Pitjantjatjara,SA,30 - 34,209
Anangu Pitjantjatjara,SA,35 - 39,192
Anangu Pitjantjatjara,SA,40 - 44,131
Anangu Pitjantjatjara,SA,45 - 49,125
Anangu Pitjantjatjara,SA,50 - 54,125
Anangu Pitjantjatjara,SA,55 - 59,91
Anangu Pitjantjatjara,SA,60 - 64,67
Anangu Pitjantjatjara,SA,65 - 69,57
Anangu Pitjantjatjara,SA,70 - 74,31
Anangu Pitjantjatjara,SA,75 - 79,24
Anangu Pitjantjatjara,SA,80 - 84,2
Anangu Pitjantjatjara,SA,85 and over,12
Ararat,VIC,0 - 4,617
Ararat,VIC,5 - 9,730
Ararat,VIC,10 - 14,841
Ararat,VIC,15 - 19,695
Ararat,VIC,20 - 24,501
Ararat,VIC,25 - 29,540
Ararat,VIC,30 - 34,641
Ararat,VIC,35 - 39,723
Ararat,VIC,40 - 44,802
Ararat,VIC,45 - 49,878
Ararat,VIC,50 - 54,853
Ararat,VIC,55 - 59,866
Ararat,VIC,60 - 64,718
Ararat,VIC,65 - 69,566
Ararat,VIC,70 - 74,496
Ararat,VIC,75 - 79,447
Ararat,VIC,80 - 84,311
Ararat,VIC,85 and over,227
Armadale,WA,0 - 4,3453
Armadale,WA,5 - 9,3654
Armadale,WA,10 - 14,4178
Armadale,WA,15 - 19,4154
Armadale,WA,20 - 24,3625
Armadale,WA,25 - 29,3113
Armadale,WA,30 - 34,3308
Armadale,WA,35 - 39,3441
Armadale,WA,40 - 44,3748
Armadale,WA,45 - 49,3765
Armadale,WA,50 - 54,3629
Armadale,WA,55 - 59,3629
Armadale,WA,60 - 64,2443
Armadale,WA,65 - 69,1925
Armadale,WA,70 - 74,1411
Armadale,WA,75 - 79,1089
Armadale,WA,80 - 84,692
Armadale,WA,85 and over,538
Ashburton,WA,0 - 4,767
Ashburton,WA,5 - 9,754
Ashburton,WA,10 - 14,461
Ashburton,WA,15 - 19,320
Ashburton,WA,20 - 24,470
Ashburton,WA,25 - 29,709
Ashburton,WA,30 - 34,883
Ashburton,WA,35 - 39,768
Ashburton,WA,40 - 44,612
Ashburton,WA,45 - 49,575
Ashburton,WA,50 - 54,436
Ashburton,WA,55 - 59,278
Ashburton,WA,60 - 64,116
Ashburton,WA,65 - 69,63
Ashburton,WA,70 - 74,24
Ashburton,WA,75 - 79,13
Ashburton,WA,80 - 84,7
Ashburton,WA,85 and over,7
Augusta-Margaret River,WA,0 - 4,677
Augusta-Margaret River,WA,5 - 9,744
Augusta-Margaret River,WA,10 - 14,821
Augusta-Margaret River,WA,15 - 19,654
Augusta-Margaret River,WA,20 - 24,563
Augusta-Margaret River,WA,25 - 29,656
Augusta-Margaret River,WA,30 - 34,915
Augusta-Margaret River,WA,35 - 39,940
Augusta-Margaret River,WA,40 - 44,935
Augusta-Margaret River,WA,45 - 49,943
Augusta-Margaret River,WA,50 - 54,770
Augusta-Margaret River,WA,55 - 59,645
Augusta-Margaret River,WA,60 - 64,445
Augusta-Margaret River,WA,65 - 69,387
Augusta-Margaret River,WA,70 - 74,294
Augusta-Margaret River,WA,75 - 79,252
Augusta-Margaret River,WA,80 - 84,155
Augusta-Margaret River,WA,85 and over,140
Aurukun,QLD,0 - 4,131
Aurukun,QLD,5 - 9,112
Aurukun,QLD,10 - 14,96
Aurukun,QLD,15 - 19,91
Aurukun,QLD,20 - 24,91
Aurukun,QLD,25 - 29,87
Aurukun,QLD,30 - 34,108
Aurukun,QLD,35 - 39,94
Aurukun,QLD,40 - 44,70
Aurukun,QLD,45 - 49,48
Aurukun,QLD,50 - 54,55
Aurukun,QLD,55 - 59,56
Aurukun,QLD,60 - 64,20
Aurukun,QLD,65 - 69,15
Aurukun,QLD,70 - 74,15
Aurukun,QLD,75 - 79,6
Aurukun,QLD,80 - 84,3
Aurukun,QLD,85 and over,0
Ballarat,VIC,0 - 4,5428
Ballarat,VIC,5 - 9,5638
Ballarat,VIC,10 - 14,6091
Ballarat,VIC,15 - 19,6862
Ballarat,VIC,20 - 24,6782
Ballarat,VIC,25 - 29,5497
Ballarat,VIC,30 - 34,5685
Ballarat,VIC,35 - 39,5678
Ballarat,VIC,40 - 44,6042
Ballarat,VIC,45 - 49,5911
Ballarat,VIC,50 - 54,5447
Ballarat,VIC,55 - 59,4915
Ballarat,VIC,60 - 64,3657
Ballarat,VIC,65 - 69,3214
Ballarat,VIC,70 - 74,2779
Ballarat,VIC,75 - 79,2649
Ballarat,VIC,80 - 84,1943
Ballarat,VIC,85 and over,1445
Ballina,NSW,0 - 4,2126
Ballina,NSW,5 - 9,2483
Ballina,NSW,10 - 14,2779
Ballina,NSW,15 - 19,2616
Ballina,NSW,20 - 24,1875
Ballina,NSW,25 - 29,1706
Ballina,NSW,30 - 34,2074
Ballina,NSW,35 - 39,2415
Ballina,NSW,40 - 44,2874
Ballina,NSW,45 - 49,3018
Ballina,NSW,50 - 54,3011
