"MEASURE","Measure","SEX_ABS","Sex","AGE","Age","LGA_2017","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","0","Australia","A","Annual","2003","2003",1269136,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","1","New South Wales","A","Annual","2003","2003",430511,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10050","Albury (C)","A","Annual","2003","2003",3027,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10130","Armidale Regional (A)","A","Annual","2003","2003",1757,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10250","Ballina (A)","A","Annual","2003","2003",2225,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10300","Balranald (A)","A","Annual","2003","2003",187,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10470","Bathurst Regional (A)","A","Annual","2003","2003",2415,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10500","Bayside (A)","A","Annual","2003","2003",8389,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10550","Bega Valley (A)","A","Annual","2003","2003",1696,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10600","Bellingen (A)","A","Annual","2003","2003",709,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10650","Berrigan (A)","A","Annual","2003","2003",476,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10750","Blacktown (C)","A","Annual","2003","2003",22586,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10800","Bland (A)","A","Annual","2003","2003",484,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10850","Blayney (A)","A","Annual","2003","2003",463,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10900","Blue Mountains (C)","A","Annual","2003","2003",4823,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10950","Bogan (A)","A","Annual","2003","2003",255,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11150","Bourke (A)","A","Annual","2003","2003",362,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11200","Brewarrina (A)","A","Annual","2003","2003",189,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11250","Broken Hill (C)","A","Annual","2003","2003",1265,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11300","Burwood (A)","A","Annual","2003","2003",1534,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11350","Byron (A)","A","Annual","2003","2003",1721,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11400","Cabonne (A)","A","Annual","2003","2003",787,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11450","Camden (A)","A","Annual","2003","2003",4131,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11500","Campbelltown (C) (NSW)","A","Annual","2003","2003",11233,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11520","Canada Bay (A)","A","Annual","2003","2003",3719,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11570","Canterbury-Bankstown (A)","A","Annual","2003","2003",21884,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11600","Carrathool (A)","A","Annual","2003","2003",254,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11650","Central Coast (C) (NSW)","A","Annual","2003","2003",19424,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11700","Central Darling (A)","A","Annual","2003","2003",164,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11720","Cessnock (C)","A","Annual","2003","2003",3251,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11730","Clarence Valley (A)","A","Annual","2003","2003",2922,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11750","Cobar (A)","A","Annual","2003","2003",470,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11800","Coffs Harbour (C)","A","Annual","2003","2003",3882,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12000","Coolamon (A)","A","Annual","2003","2003",310,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12150","Coonamble (A)","A","Annual","2003","2003",369,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12350","Cowra (A)","A","Annual","2003","2003",864,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12380","Cumberland (A)","A","Annual","2003","2003",12680,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12700","Dungog (A)","A","Annual","2003","2003",497,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12730","Edward River (A)","A","Annual","2003","2003",651,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12750","Eurobodalla (A)","A","Annual","2003","2003",1805,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12850","Fairfield (C)","A","Annual","2003","2003",12529,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12870","Federation (A)","A","Annual","2003","2003",720,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12900","Forbes (A)","A","Annual","2003","2003",665,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12930","Georges River (A)","A","Annual","2003","2003",7662,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12950","Gilgandra (A)","A","Annual","2003","2003",301,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13010","Glen Innes Severn (A)","A","Annual","2003","2003",551,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13310","Goulburn Mulwaree (A)","A","Annual","2003","2003",1705,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13340","Greater Hume Shire (A)","A","Annual","2003","2003",614,,
