Local Government Area,State/Territory,Age Group,Population
Adelaide,SA,0 - 4,656
Adelaide,SA,5 - 9,403
Adelaide,SA,10 - 14,341
Adelaide,SA,15 - 19,1617
Adelaide,SA,20 - 24,4771
Adelaide,SA,25 - 29,3196
Adelaide,SA,30 - 34,2097
Adelaide,SA,35 - 39,1337
Adelaide,SA,40 - 44,1146
Adelaide,SA,45 - 49,1041
Adelaide,SA,50 - 54,1123
Adelaide,SA,55 - 59,1076
Adelaide,SA,60 - 64,1050
Adelaide,SA,65 - 69,1047
Adelaide,SA,70 - 74,612
Adelaide,SA,75 - 79,434
Adelaide,SA,80 - 84,282
Adelaide,SA,85 and over,395
Adelaide Hills,SA,0 - 4,2176
Adelaide Hills,SA,5 - 9,2656
Adelaide Hills,SA,10 - 14,2783
Adelaide Hills,SA,15 - 19,2790
Adelaide Hills,SA,20 - 24,2237
Adelaide Hills,SA,25 - 29,1507
Adelaide Hills,SA,30 - 34,1742
Adelaide Hills,SA,35 - 39,2198
Adelaide Hills,SA,40 - 44,3054
Adelaide Hills,SA,45 - 49,3100
Adelaide Hills,SA,50 - 54,3260
Adelaide Hills,SA,55 - 59,3062
Adelaide Hills,SA,60 - 64,2900
Adelaide Hills,SA,65 - 69,2460
Adelaide Hills,SA,70 - 74,1494
Adelaide Hills,SA,75 - 79,958
Adelaide Hills,SA,80 - 84,676
Adelaide Hills,SA,85 and over,604
Albany,WA,0 - 4,2090
Albany,WA,5 - 9,2437
Albany,WA,10 - 14,2560
Albany,WA,15 - 19,2504
Albany,WA,20 - 24,1975
Albany,WA,25 - 29,2180
Albany,WA,30 - 34,2010
Albany,WA,35 - 39,2096
Albany,WA,40 - 44,2419
Albany,WA,45 - 49,2487
Albany,WA,50 - 54,2597
Albany,WA,55 - 59,2537
Albany,WA,60 - 64,2400
Albany,WA,65 - 69,1985
Albany,WA,70 - 74,1609
Albany,WA,75 - 79,1284
Albany,WA,80 - 84,896
Albany,WA,85 and over,853
Albury,NSW,0 - 4,3338
Albury,NSW,5 - 9,3248
Albury,NSW,10 - 14,3096
Albury,NSW,15 - 19,3494
Albury,NSW,20 - 24,3682
Albury,NSW,25 - 29,3463
Albury,NSW,30 - 34,3228
Albury,NSW,35 - 39,3120
Albury,NSW,40 - 44,3354
Albury,NSW,45 - 49,3095
Albury,NSW,50 - 54,3384
Albury,NSW,55 - 59,3200
Albury,NSW,60 - 64,2859
Albury,NSW,65 - 69,2527
Albury,NSW,70 - 74,1988
Albury,NSW,75 - 79,1516
Albury,NSW,80 - 84,1194
Albury,NSW,85 and over,1204
Alexandrina,SA,0 - 4,1288
Alexandrina,SA,5 - 9,1483
Alexandrina,SA,10 - 14,1454
Alexandrina,SA,15 - 19,1375
Alexandrina,SA,20 - 24,1172
Alexandrina,SA,25 - 29,990
Alexandrina,SA,30 - 34,1080
Alexandrina,SA,35 - 39,1232
