"MEASURE","Measure","SEX_ABS","Sex","AGE","Age","LGA_2017","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","0","Australia","A","Annual","2009","2009",1425684,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","1","New South Wales","A","Annual","2009","2009",465966,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10050","Albury (C)","A","Annual","2009","2009",3287,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10130","Armidale Regional (A)","A","Annual","2009","2009",1789,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10250","Ballina (A)","A","Annual","2009","2009",2160,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10300","Balranald (A)","A","Annual","2009","2009",165,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10470","Bathurst Regional (A)","A","Annual","2009","2009",2699,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10500","Bayside (A)","A","Annual","2009","2009",9386,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10550","Bega Valley (A)","A","Annual","2009","2009",1791,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10600","Bellingen (A)","A","Annual","2009","2009",679,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10650","Berrigan (A)","A","Annual","2009","2009",492,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10750","Blacktown (C)","A","Annual","2009","2009",24937,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10800","Bland (A)","A","Annual","2009","2009",431,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10850","Blayney (A)","A","Annual","2009","2009",508,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10900","Blue Mountains (C)","A","Annual","2009","2009",5043,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10950","Bogan (A)","A","Annual","2009","2009",257,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11150","Bourke (A)","A","Annual","2009","2009",281,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11200","Brewarrina (A)","A","Annual","2009","2009",210,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11250","Broken Hill (C)","A","Annual","2009","2009",1166,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11300","Burwood (A)","A","Annual","2009","2009",1593,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11350","Byron (A)","A","Annual","2009","2009",1810,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11400","Cabonne (A)","A","Annual","2009","2009",894,,
