Local Government Area,State/Territory,Age Group,Population
Adelaide,SA,0 - 4,628
Adelaide,SA,5 - 9,411
Adelaide,SA,10 - 14,348
Adelaide,SA,15 - 19,1692
Adelaide,SA,20 - 24,4870
Adelaide,SA,25 - 29,3245
Adelaide,SA,30 - 34,2177
Adelaide,SA,35 - 39,1338
Adelaide,SA,40 - 44,1136
Adelaide,SA,45 - 49,1038
Adelaide,SA,50 - 54,1161
Adelaide,SA,55 - 59,1091
Adelaide,SA,60 - 64,1046
Adelaide,SA,65 - 69,1095
Adelaide,SA,70 - 74,667
Adelaide,SA,75 - 79,469
Adelaide,SA,80 - 84,281
Adelaide,SA,85 and over,392
Adelaide Hills,SA,0 - 4,2100
Adelaide Hills,SA,5 - 9,2690
Adelaide Hills,SA,10 - 14,2745
Adelaide Hills,SA,15 - 19,2757
Adelaide Hills,SA,20 - 24,2206
Adelaide Hills,SA,25 - 29,1542
Adelaide Hills,SA,30 - 34,1744
Adelaide Hills,SA,35 - 39,2156
Adelaide Hills,SA,40 - 44,2956
Adelaide Hills,SA,45 - 49,3117
Adelaide Hills,SA,50 - 54,3199
Adelaide Hills,SA,55 - 59,3078
Adelaide Hills,SA,60 - 64,2884
Adelaide Hills,SA,65 - 69,2516
Adelaide Hills,SA,70 - 74,1614
Adelaide Hills,SA,75 - 79,1012
Adelaide Hills,SA,80 - 84,661
Adelaide Hills,SA,85 and over,653
Albany,WA,0 - 4,2070
Albany,WA,5 - 9,2460
Albany,WA,10 - 14,2552
Albany,WA,15 - 19,2475
Albany,WA,20 - 24,1937
Albany,WA,25 - 29,2191
Albany,WA,30 - 34,2042
Albany,WA,35 - 39,2066
Albany,WA,40 - 44,2372
Albany,WA,45 - 49,2476
Albany,WA,50 - 54,2595
Albany,WA,55 - 59,2591
Albany,WA,60 - 64,2423
Albany,WA,65 - 69,2123
Albany,WA,70 - 74,1668
Albany,WA,75 - 79,1311
Albany,WA,80 - 84,926
Albany,WA,85 and over,928
Albury,NSW,0 - 4,3414
Albury,NSW,5 - 9,3277
Albury,NSW,10 - 14,3147
Albury,NSW,15 - 19,3383
Albury,NSW,20 - 24,3752
Albury,NSW,25 - 29,3437
Albury,NSW,30 - 34,3308
Albury,NSW,35 - 39,3111
Albury,NSW,40 - 44,3300
Albury,NSW,45 - 49,3180
Albury,NSW,50 - 54,3281
Albury,NSW,55 - 59,3306
Albury,NSW,60 - 64,2883
Albury,NSW,65 - 69,2610
Albury,NSW,70 - 74,2088
Albury,NSW,75 - 79,1568
Albury,NSW,80 - 84,1169
Albury,NSW,85 and over,1272
Alexandrina,SA,0 - 4,1269
Alexandrina,SA,5 - 9,1505
Alexandrina,SA,10 - 14,1482
Alexandrina,SA,15 - 19,1362
Alexandrina,SA,20 - 24,1165
Alexandrina,SA,25 - 29,1053
Alexandrina,SA,30 - 34,1103
Alexandrina,SA,35 - 39,1221
Alexandrina,SA,40 - 44,1598
Alexandrina,SA,45 - 49,1552
Alexandrina,SA,50 - 54,1838
Alexandrina,SA,55 - 59,1994
Alexandrina,SA,60 - 64,2110
Alexandrina,SA,65 - 69,2297
Alexandrina,SA,70 - 74,1801
Alexandrina,SA,75 - 79,1271
Alexandrina,SA,80 - 84,808
Alexandrina,SA,85 and over,774
Alice Springs,NT,0 - 4,2074
Alice Springs,NT,5 - 9,1907
Alice Springs,NT,10 - 14,1706
Alice Springs,NT,15 - 19,1535
Alice Springs,NT,20 - 24,1740
Alice Springs,NT,25 - 29,2409
Alice Springs,NT,30 - 34,2379
Alice Springs,NT,35 - 39,1966
Alice Springs,NT,40 - 44,2013
Alice Springs,NT,45 - 49,1973
Alice Springs,NT,50 - 54,1993
Alice Springs,NT,55 - 59,1788
Alice Springs,NT,60 - 64,1376
Alice Springs,NT,65 - 69,817
Alice Springs,NT,70 - 74,551
Alice Springs,NT,75 - 79,291
Alice Springs,NT,80 - 84,197
Alice Springs,NT,85 and over,128
Alpine,VIC,0 - 4,585
Alpine,VIC,5 - 9,767
Alpine,VIC,10 - 14,700
Alpine,VIC,15 - 19,691
Alpine,VIC,20 - 24,485
Alpine,VIC,25 - 29,481
Alpine,VIC,30 - 34,500
Alpine,VIC,35 - 39,600
Alpine,VIC,40 - 44,827
Alpine,VIC,45 - 49,834
Alpine,VIC,50 - 54,1019
Alpine,VIC,55 - 59,1055
Alpine,VIC,60 - 64,978
Alpine,VIC,65 - 69,978
Alpine,VIC,70 - 74,689
Alpine,VIC,75 - 79,523
Alpine,VIC,80 - 84,356
Alpine,VIC,85 and over,361
Anangu Pitjantjatjara,SA,0 - 4,229
Anangu Pitjantjatjara,SA,5 - 9,216
Anangu Pitjantjatjara,SA,10 - 14,174
Anangu Pitjantjatjara,SA,15 - 19,241
Anangu Pitjantjatjara,SA,20 - 24,297
Anangu Pitjantjatjara,SA,25 - 29,253
Anangu Pitjantjatjara,SA,30 - 34,199
Anangu Pitjantjatjara,SA,35 - 39,187
Anangu Pitjantjatjara,SA,40 - 44,172
Anangu Pitjantjatjara,SA,45 - 49,166
Anangu Pitjantjatjara,SA,50 - 54,115
Anangu Pitjantjatjara,SA,55 - 59,101
Anangu Pitjantjatjara,SA,60 - 64,87
Anangu Pitjantjatjara,SA,65 - 69,45
Anangu Pitjantjatjara,SA,70 - 74,30
Anangu Pitjantjatjara,SA,75 - 79,25
Anangu Pitjantjatjara,SA,80 - 84,8
Anangu Pitjantjatjara,SA,85 and over,23
Ararat,VIC,0 - 4,607
Ararat,VIC,5 - 9,658
Ararat,VIC,10 - 14,612
Ararat,VIC,15 - 19,621
Ararat,VIC,20 - 24,598
Ararat,VIC,25 - 29,610
Ararat,VIC,30 - 34,654
Ararat,VIC,35 - 39,652
Ararat,VIC,40 - 44,725
Ararat,VIC,45 - 49,814
Ararat,VIC,50 - 54,815
Ararat,VIC,55 - 59,882
Ararat,VIC,60 - 64,849
Ararat,VIC,65 - 69,787
Ararat,VIC,70 - 74,626
Ararat,VIC,75 - 79,446
Ararat,VIC,80 - 84,345
Ararat,VIC,85 and over,343
Armadale,WA,0 - 4,6910
Armadale,WA,5 - 9,5723
Armadale,WA,10 - 14,4684
Armadale,WA,15 - 19,4914
Armadale,WA,20 - 24,5663
Armadale,WA,25 - 29,7005
Armadale,WA,30 - 34,7031
Armadale,WA,35 - 39,5670
Armadale,WA,40 - 44,5195
Armadale,WA,45 - 49,4818
Armadale,WA,50 - 54,4754
Armadale,WA,55 - 59,4221
Armadale,WA,60 - 64,3708
Armadale,WA,65 - 69,3205
Armadale,WA,70 - 74,2074
Armadale,WA,75 - 79,1500
Armadale,WA,80 - 84,950
Armadale,WA,85 and over,823
Ashburton,WA,0 - 4,759
Ashburton,WA,5 - 9,641
Ashburton,WA,10 - 14,403
Ashburton,WA,15 - 19,300
Ashburton,WA,20 - 24,660
Ashburton,WA,25 - 29,1705
Ashburton,WA,30 - 34,1853
Ashburton,WA,35 - 39,1531
Ashburton,WA,40 - 44,1473
Ashburton,WA,45 - 49,1188
Ashburton,WA,50 - 54,1087
Ashburton,WA,55 - 59,774
Ashburton,WA,60 - 64,401
Ashburton,WA,65 - 69,137
Ashburton,WA,70 - 74,53
Ashburton,WA,75 - 79,20
Ashburton,WA,80 - 84,14
Ashburton,WA,85 and over,3
Augusta-Margaret River,WA,0 - 4,1103
Augusta-Margaret River,WA,5 - 9,1088
Augusta-Margaret River,WA,10 - 14,981
Augusta-Margaret River,WA,15 - 19,700
Augusta-Margaret River,WA,20 - 24,551
Augusta-Margaret River,WA,25 - 29,815
Augusta-Margaret River,WA,30 - 34,1080
Augusta-Margaret River,WA,35 - 39,1153
Augusta-Margaret River,WA,40 - 44,1206
Augusta-Margaret River,WA,45 - 49,1014
Augusta-Margaret River,WA,50 - 54,919
Augusta-Margaret River,WA,55 - 59,1013
Augusta-Margaret River,WA,60 - 64,883
Augusta-Margaret River,WA,65 - 69,668
Augusta-Margaret River,WA,70 - 74,471
Augusta-Margaret River,WA,75 - 79,341
Augusta-Margaret River,WA,80 - 84,200
Augusta-Margaret River,WA,85 and over,233
Aurukun,QLD,0 - 4,115
Aurukun,QLD,5 - 9,138
Aurukun,QLD,10 - 14,106
Aurukun,QLD,15 - 19,99
Aurukun,QLD,20 - 24,140
Aurukun,QLD,25 - 29,107
Aurukun,QLD,30 - 34,111
Aurukun,QLD,35 - 39,86
Aurukun,QLD,40 - 44,106
Aurukun,QLD,45 - 49,92
Aurukun,QLD,50 - 54,83
Aurukun,QLD,55 - 59,60
Aurukun,QLD,60 - 64,40
Aurukun,QLD,65 - 69,24
Aurukun,QLD,70 - 74,10
Aurukun,QLD,75 - 79,0
Aurukun,QLD,80 - 84,1
