"MEASURE","Measure","SEX_ABS","Sex","AGE","Age","LGA_2017","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","0","Australia","A","Annual","2010","2010",1454012,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","1","New South Wales","A","Annual","2010","2010",474241,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10050","Albury (C)","A","Annual","2010","2010",3266,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10130","Armidale Regional (A)","A","Annual","2010","2010",1796,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10250","Ballina (A)","A","Annual","2010","2010",2206,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10300","Balranald (A)","A","Annual","2010","2010",165,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10470","Bathurst Regional (A)","A","Annual","2010","2010",2784,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10500","Bayside (A)","A","Annual","2010","2010",9491,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10550","Bega Valley (A)","A","Annual","2010","2010",1824,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10600","Bellingen (A)","A","Annual","2010","2010",699,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10650","Berrigan (A)","A","Annual","2010","2010",502,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10750","Blacktown (C)","A","Annual","2010","2010",25615,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10800","Bland (A)","A","Annual","2010","2010",434,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10850","Blayney (A)","A","Annual","2010","2010",522,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10900","Blue Mountains (C)","A","Annual","2010","2010",5023,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10950","Bogan (A)","A","Annual","2010","2010",258,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11150","Bourke (A)","A","Annual","2010","2010",287,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11200","Brewarrina (A)","A","Annual","2010","2010",201,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11250","Broken Hill (C)","A","Annual","2010","2010",1146,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11300","Burwood (A)","A","Annual","2010","2010",1646,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11350","Byron (A)","A","Annual","2010","2010",1797,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11400","Cabonne (A)","A","Annual","2010","2010",909,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11450","Camden (A)","A","Annual","2010","2010",4618,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11500","Campbelltown (C) (NSW)","A","Annual","2010","2010",11381,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11520","Canada Bay (A)","A","Annual","2010","2010",5358,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11570","Canterbury-Bankstown (A)","A","Annual","2010","2010",24889,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11600","Carrathool (A)","A","Annual","2010","2010",154,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11650","Central Coast (C) (NSW)","A","Annual","2010","2010",20420,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11700","Central Darling (A)","A","Annual","2010","2010",134,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11720","Cessnock (C)","A","Annual","2010","2010",3734,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11730","Clarence Valley (A)","A","Annual","2010","2010",2989,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11750","Cobar (A)","A","Annual","2010","2010",432,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11800","Coffs Harbour (C)","A","Annual","2010","2010",4279,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12000","Coolamon (A)","A","Annual","2010","2010",293,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12150","Coonamble (A)","A","Annual","2010","2010",307,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12350","Cowra (A)","A","Annual","2010","2010",745,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12380","Cumberland (A)","A","Annual","2010","2010",15901,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12700","Dungog (A)","A","Annual","2010","2010",446,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12730","Edward River (A)","A","Annual","2010","2010",592,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12750","Eurobodalla (A)","A","Annual","2010","2010",1938,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12850","Fairfield (C)","A","Annual","2010","2010",12777,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12870","Federation (A)","A","Annual","2010","2010",767,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12900","Forbes (A)","A","Annual","2010","2010",642,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12930","Georges River (A)","A","Annual","2010","2010",8450,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12950","Gilgandra (A)","A","Annual","2010","2010",299,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13010","Glen Innes Severn (A)","A","Annual","2010","2010",541,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13310","Goulburn Mulwaree (A)","A","Annual","2010","2010",1681,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13340","Greater Hume Shire (A)","A","Annual","2010","2010",635,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13450","Griffith (C)","A","Annual","2010","2010",1932,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13510","Gundagai (A)","A","Annual","2010","2010",635,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13550","Gunnedah (A)","A","Annual","2010","2010",926,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13660","Gwydir (A)","A","Annual","2010","2010",305,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13800","Hawkesbury (C)","A","Annual","2010","2010",4482,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13850","Hay (A)","A","Annual","2010","2010",198,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13910","Hilltops (A)","A","Annual","2010","2010",1308,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14000","Hornsby (A)","A","Annual","2010","2010",8892,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14100","Hunters Hill (A)","A","Annual","2010","2010",826,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14170","Inner West (A)","A","Annual","2010","2010",12172,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14200","Inverell (A)","A","Annual","2010","2010",1156,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14300","Junee (A)","A","Annual","2010","2010",405,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14350","Kempsey (A)","A","Annual","2010","2010",1879,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14400","Kiama (A)","A","Annual","2010","2010",1073,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14500","Ku-ring-gai (A)","A","Annual","2010","2010",5984,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14550","Kyogle (A)","A","Annual","2010","2010",588,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14600","Lachlan (A)","A","Annual","2010","2010",513,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14650","Lake Macquarie (C)","A","Annual","2010","2010",11778,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14700","Lane Cove (A)","A","Annual","2010","2010",2234,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14750","Leeton (A)","A","Annual","2010","2010",808,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14850","Lismore (C)","A","Annual","2010","2010",2803,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14870","Lithgow (C)","A","Annual","2010","2010",1288,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14900","Liverpool (C)","A","Annual","2010","2010",14476,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14920","Liverpool Plains (A)","A","Annual","2010","2010",474,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14950","Lockhart (A)","A","Annual","2010","2010",204,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","15050","Maitland (C)","A","Annual","2010","2010",5177,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","15240","Mid-Coast (A)","A","Annual","2010","2010",4710,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","15270","Mid-Western Regional (A)","A","Annual","2010","2010",1489,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","15300","Moree Plains (A)","A","Annual","2010","2010",1260,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","15350","Mosman (A)","A","Annual","2010","2010",1768,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","15520","Murray River (A)","A","Annual","2010","2010",588,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","15560","Murrumbidgee (A)","A","Annual","2010","2010",273,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","15650","Muswellbrook (A)","A","Annual","2010","2010",1334,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","15700","Nambucca (A)","A","Annual","2010","2010",1082,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","15750","Narrabri (A)","A","Annual","2010","2010",1078,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","15800","Narrandera (A)","A","Annual","2010","2010",496,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","15850","Narromine (A)","A","Annual","2010","2010",558,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","15900","Newcastle (C)","A","Annual","2010","2010",9509,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","15950","North Sydney (A)","A","Annual","2010","2010",3599,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","15990","Northern Beaches (A)","A","Annual","2010","2010",17535,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","16100","Oberon (A)","A","Annual","2010","2010",320,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","16150","Orange (C)","A","Annual","2010","2010",3029,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","16200","Parkes (A)","A","Annual","2010","2010",1096,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","16260","Parramatta (C)","A","Annual","2010","2010",13195,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","16350","Penrith (C)","A","Annual","2010","2010",13860,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","16380","Port Macquarie-Hastings (A)","A","Annual","2010","2010",4214,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","16400","Port Stephens (A)","A","Annual","2010","2010",4236,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","16490","Queanbeyan-Palerang Regional (A)","A","Annual","2010","2010",3669,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","16550","Randwick (C)","A","Annual","2010","2010",7899,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","16610","Richmond Valley (A)","A","Annual","2010","2010",1525,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","16700","Ryde (C)","A","Annual","2010","2010",6517,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","16900","Shellharbour (C)","A","Annual","2010","2010",4544,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","16950","Shoalhaven (C)","A","Annual","2010","2010",5404,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","17000","Singleton (A)","A","Annual","2010","2010",1699,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","17040","Snowy Monaro Regional (A)","A","Annual","2010","2010",1270,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","17080","Snowy Valleys (A)","A","Annual","2010","2010",946,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","17100","Strathfield (A)","A","Annual","2010","2010",1992,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","17150","Sutherland Shire (A)","A","Annual","2010","2010",14552,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","17200","Sydney (C)","A","Annual","2010","2010",6628,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","17310","Tamworth Regional (A)","A","Annual","2010","2010",4120,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","17350","Temora (A)","A","Annual","2010","2010",370,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","17400","Tenterfield (A)","A","Annual","2010","2010",449,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","17420","The Hills Shire (A)","A","Annual","2010","2010",9996,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","17550","Tweed (A)","A","Annual","2010","2010",5085,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","17620","Upper Hunter Shire (A)","A","Annual","2010","2010",1011,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","17640","Upper Lachlan Shire (A)","A","Annual","2010","2010",463,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","17650","Uralla (A)","A","Annual","2010","2010",409,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","17750","Wagga Wagga (C)","A","Annual","2010","2010",4427,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","17850","Walcha (A)","A","Annual","2010","2010",198,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","17900","Walgett (A)","A","Annual","2010","2010",605,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","17950","Warren (A)","A","Annual","2010","2010",252,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","18020","Warrumbungle Shire (A)","A","Annual","2010","2010",653,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","18050","Waverley (A)","A","Annual","2010","2010",4446,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","18100","Weddin (A)","A","Annual","2010","2010",241,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","18200","Wentworth (A)","A","Annual","2010","2010",426,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","18230","Western Plains Regional (A)","A","Annual","2010","2010",3745,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","18250","Willoughby (C)","A","Annual","2010","2010",5079,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","18350","Wingecarribee (A)","A","Annual","2010","2010",2725,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","18400","Wollondilly (A)","A","Annual","2010","2010",3262,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","18450","Wollongong (C)","A","Annual","2010","2010",12488,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","18500","Woollahra (A)","A","Annual","2010","2010",3255,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","18710","Yass Valley (A)","A","Annual","2010","2010",1085,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","19399","Unincorporated NSW","A","Annual","2010","2010",88,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","2","Victoria","A","Annual","2010","2010",349577,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","20110","Alpine (S)","A","Annual","2010","2010",648,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","20260","Ararat (RC)","A","Annual","2010","2010",675,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","20570","Ballarat (C)","A","Annual","2010","2010",6233,,
