Local Government Area,State/Territory,Age Group,Population
Adelaide,SA,0 - 4,561
Adelaide,SA,5 - 9,312
Adelaide,SA,10 - 14,311
Adelaide,SA,15 - 19,1404
Adelaide,SA,20 - 24,4513
Adelaide,SA,25 - 29,3094
Adelaide,SA,30 - 34,1873
Adelaide,SA,35 - 39,1287
Adelaide,SA,40 - 44,1036
Adelaide,SA,45 - 49,1038
Adelaide,SA,50 - 54,1039
Adelaide,SA,55 - 59,987
Adelaide,SA,60 - 64,1132
Adelaide,SA,65 - 69,771
Adelaide,SA,70 - 74,520
Adelaide,SA,75 - 79,351
Adelaide,SA,80 - 84,310
Adelaide,SA,85 and over,381
Adelaide Hills,SA,0 - 4,2246
Adelaide Hills,SA,5 - 9,2607
Adelaide Hills,SA,10 - 14,2807
Adelaide Hills,SA,15 - 19,2937
Adelaide Hills,SA,20 - 24,2190
Adelaide Hills,SA,25 - 29,1510
Adelaide Hills,SA,30 - 34,1757
Adelaide Hills,SA,35 - 39,2543
Adelaide Hills,SA,40 - 44,3143
Adelaide Hills,SA,45 - 49,3253
Adelaide Hills,SA,50 - 54,3371
Adelaide Hills,SA,55 - 59,3107
Adelaide Hills,SA,60 - 64,2924
Adelaide Hills,SA,65 - 69,2011
Adelaide Hills,SA,70 - 74,1271
Adelaide Hills,SA,75 - 79,845
Adelaide Hills,SA,80 - 84,616
Adelaide Hills,SA,85 and over,561
Albany,WA,0 - 4,2146
Albany,WA,5 - 9,2258
Albany,WA,10 - 14,2534
Albany,WA,15 - 19,2388
Albany,WA,20 - 24,1986
Albany,WA,25 - 29,1760
Albany,WA,30 - 34,1891
Albany,WA,35 - 39,2085
Albany,WA,40 - 44,2430
Albany,WA,45 - 49,2385
Albany,WA,50 - 54,2512
Albany,WA,55 - 59,2284
Albany,WA,60 - 64,2198
Albany,WA,65 - 69,1733
Albany,WA,70 - 74,1467
Albany,WA,75 - 79,1166
Albany,WA,80 - 84,904
Albany,WA,85 and over,746
Albury,NSW,0 - 4,3188
Albury,NSW,5 - 9,3100
Albury,NSW,10 - 14,3235
Albury,NSW,15 - 19,3668
Albury,NSW,20 - 24,3774
Albury,NSW,25 - 29,3352
Albury,NSW,30 - 34,3041
Albury,NSW,35 - 39,3092
Albury,NSW,40 - 44,3257
Albury,NSW,45 - 49,3198
Albury,NSW,50 - 54,3425
Albury,NSW,55 - 59,3029
Albury,NSW,60 - 64,2729
Albury,NSW,65 - 69,2081
Albury,NSW,70 - 74,1735
Albury,NSW,75 - 79,1363
Albury,NSW,80 - 84,1133
Albury,NSW,85 and over,1051
Alexandrina,SA,0 - 4,1276
Alexandrina,SA,5 - 9,1337
Alexandrina,SA,10 - 14,1422
Alexandrina,SA,15 - 19,1435
Alexandrina,SA,20 - 24,1030
Alexandrina,SA,25 - 29,912
Alexandrina,SA,30 - 34,1059
Alexandrina,SA,35 - 39,1329
Alexandrina,SA,40 - 44,1490
Alexandrina,SA,45 - 49,1589
Alexandrina,SA,50 - 54,1758
Alexandrina,SA,55 - 59,1720
Alexandrina,SA,60 - 64,2123
Alexandrina,SA,65 - 69,1872
Alexandrina,SA,70 - 74,1452
Alexandrina,SA,75 - 79,984
Alexandrina,SA,80 - 84,763
Alexandrina,SA,85 and over,574
Alice Springs,NT,0 - 4,2193
Alice Springs,NT,5 - 9,1995
Alice Springs,NT,10 - 14,1995
Alice Springs,NT,15 - 19,1902
Alice Springs,NT,20 - 24,2021
Alice Springs,NT,25 - 29,2512
Alice Springs,NT,30 - 34,2370
Alice Springs,NT,35 - 39,2174
Alice Springs,NT,40 - 44,2244
Alice Springs,NT,45 - 49,2234
Alice Springs,NT,50 - 54,2147
Alice Springs,NT,55 - 59,1824
Alice Springs,NT,60 - 64,1194
Alice Springs,NT,65 - 69,708
Alice Springs,NT,70 - 74,454
Alice Springs,NT,75 - 79,236
Alice Springs,NT,80 - 84,189
Alice Springs,NT,85 and over,97
Alpine,VIC,0 - 4,642
Alpine,VIC,5 - 9,660
Alpine,VIC,10 - 14,768
Alpine,VIC,15 - 19,667
Alpine,VIC,20 - 24,463
Alpine,VIC,25 - 29,437
Alpine,VIC,30 - 34,485
Alpine,VIC,35 - 39,686
Alpine,VIC,40 - 44,804
Alpine,VIC,45 - 49,915
Alpine,VIC,50 - 54,1032
Alpine,VIC,55 - 59,977
Alpine,VIC,60 - 64,954
Alpine,VIC,65 - 69,797
Alpine,VIC,70 - 74,647
Alpine,VIC,75 - 79,473
Alpine,VIC,80 - 84,362
Alpine,VIC,85 and over,299
Anangu Pitjantjatjara,SA,0 - 4,242
Anangu Pitjantjatjara,SA,5 - 9,252
Anangu Pitjantjatjara,SA,10 - 14,205
Anangu Pitjantjatjara,SA,15 - 19,257
Anangu Pitjantjatjara,SA,20 - 24,300
Anangu Pitjantjatjara,SA,25 - 29,305
Anangu Pitjantjatjara,SA,30 - 34,204
Anangu Pitjantjatjara,SA,35 - 39,180
Anangu Pitjantjatjara,SA,40 - 44,158
Anangu Pitjantjatjara,SA,45 - 49,146
Anangu Pitjantjatjara,SA,50 - 54,105
Anangu Pitjantjatjara,SA,55 - 59,97
Anangu Pitjantjatjara,SA,60 - 64,74
Anangu Pitjantjatjara,SA,65 - 69,49
Anangu Pitjantjatjara,SA,70 - 74,35
Anangu Pitjantjatjara,SA,75 - 79,17
Anangu Pitjantjatjara,SA,80 - 84,13
Anangu Pitjantjatjara,SA,85 and over,21
Ararat,VIC,0 - 4,682
Ararat,VIC,5 - 9,612
Ararat,VIC,10 - 14,707
Ararat,VIC,15 - 19,651
Ararat,VIC,20 - 24,513
Ararat,VIC,25 - 29,557
Ararat,VIC,30 - 34,593
Ararat,VIC,35 - 39,663
Ararat,VIC,40 - 44,760
Ararat,VIC,45 - 49,806
Ararat,VIC,50 - 54,824
Ararat,VIC,55 - 59,869
Ararat,VIC,60 - 64,835
Ararat,VIC,65 - 69,678
Ararat,VIC,70 - 74,535
Ararat,VIC,75 - 79,428
Ararat,VIC,80 - 84,350
Ararat,VIC,85 and over,263
Armadale,WA,0 - 4,5074
Armadale,WA,5 - 9,4378
Armadale,WA,10 - 14,4263
Armadale,WA,15 - 19,4672
Armadale,WA,20 - 24,5173
Armadale,WA,25 - 29,5307
Armadale,WA,30 - 34,4690
Armadale,WA,35 - 39,4281
Armadale,WA,40 - 44,4414
Armadale,WA,45 - 49,4413
Armadale,WA,50 - 54,4299
Armadale,WA,55 - 59,3749
Armadale,WA,60 - 64,3589
Armadale,WA,65 - 69,2425
Armadale,WA,70 - 74,1808
Armadale,WA,75 - 79,1263
Armadale,WA,80 - 84,911
Armadale,WA,85 and over,686
Ashburton,WA,0 - 4,738
Ashburton,WA,5 - 9,620
Ashburton,WA,10 - 14,476
Ashburton,WA,15 - 19,302
Ashburton,WA,20 - 24,809
Ashburton,WA,25 - 29,1357
Ashburton,WA,30 - 34,1180
Ashburton,WA,35 - 39,1139
Ashburton,WA,40 - 44,1089
Ashburton,WA,45 - 49,858
Ashburton,WA,50 - 54,756
Ashburton,WA,55 - 59,505
Ashburton,WA,60 - 64,250
Ashburton,WA,65 - 69,92
Ashburton,WA,70 - 74,34
Ashburton,WA,75 - 79,17
Ashburton,WA,80 - 84,0
Ashburton,WA,85 and over,5
Augusta-Margaret River,WA,0 - 4,922
Augusta-Margaret River,WA,5 - 9,842
Augusta-Margaret River,WA,10 - 14,793
Augusta-Margaret River,WA,15 - 19,654
Augusta-Margaret River,WA,20 - 24,478
Augusta-Margaret River,WA,25 - 29,760
Augusta-Margaret River,WA,30 - 34,903
Augusta-Margaret River,WA,35 - 39,991
Augusta-Margaret River,WA,40 - 44,1009
Augusta-Margaret River,WA,45 - 49,888
Augusta-Margaret River,WA,50 - 54,935
Augusta-Margaret River,WA,55 - 59,820
Augusta-Margaret River,WA,60 - 64,709
Augusta-Margaret River,WA,65 - 69,496
Augusta-Margaret River,WA,70 - 74,378
Augusta-Margaret River,WA,75 - 79,259
Augusta-Margaret River,WA,80 - 84,202
Augusta-Margaret River,WA,85 and over,189
Aurukun,QLD,0 - 4,143
Aurukun,QLD,5 - 9,156
Aurukun,QLD,10 - 14,116
Aurukun,QLD,15 - 19,121
Aurukun,QLD,20 - 24,152
Aurukun,QLD,25 - 29,92
Aurukun,QLD,30 - 34,126
Aurukun,QLD,35 - 39,118
Aurukun,QLD,40 - 44,112
Aurukun,QLD,45 - 49,68
Aurukun,QLD,50 - 54,65
Aurukun,QLD,55 - 59,53
Aurukun,QLD,60 - 64,26
Aurukun,QLD,65 - 69,31
Aurukun,QLD,70 - 74,3
Aurukun,QLD,75 - 79,7
Aurukun,QLD,80 - 84,5
Aurukun,QLD,85 and over,4
Ballarat,VIC,0 - 4,6445
Ballarat,VIC,5 - 9,5902
Ballarat,VIC,10 - 14,6005
Ballarat,VIC,15 - 19,7084
Ballarat,VIC,20 - 24,7883
