Local Government Area,State/Territory,Age Group,Population
Adelaide,SA,0 - 4,624
Adelaide,SA,5 - 9,345
Adelaide,SA,10 - 14,321
Adelaide,SA,15 - 19,1473
Adelaide,SA,20 - 24,4598
Adelaide,SA,25 - 29,3125
Adelaide,SA,30 - 34,1947
Adelaide,SA,35 - 39,1329
Adelaide,SA,40 - 44,1086
Adelaide,SA,45 - 49,1046
Adelaide,SA,50 - 54,1044
Adelaide,SA,55 - 59,1012
Adelaide,SA,60 - 64,1116
Adelaide,SA,65 - 69,870
Adelaide,SA,70 - 74,550
Adelaide,SA,75 - 79,367
Adelaide,SA,80 - 84,294
Adelaide,SA,85 and over,390
Adelaide Hills,SA,0 - 4,2265
Adelaide Hills,SA,5 - 9,2591
Adelaide Hills,SA,10 - 14,2855
Adelaide Hills,SA,15 - 19,2827
Adelaide Hills,SA,20 - 24,2267
Adelaide Hills,SA,25 - 29,1523
Adelaide Hills,SA,30 - 34,1732
Adelaide Hills,SA,35 - 39,2377
Adelaide Hills,SA,40 - 44,3172
Adelaide Hills,SA,45 - 49,3176
Adelaide Hills,SA,50 - 54,3297
Adelaide Hills,SA,55 - 59,3121
Adelaide Hills,SA,60 - 64,2898
Adelaide Hills,SA,65 - 69,2207
Adelaide Hills,SA,70 - 74,1346
Adelaide Hills,SA,75 - 79,855
Adelaide Hills,SA,80 - 84,638
Adelaide Hills,SA,85 and over,573
Albany,WA,0 - 4,2123
Albany,WA,5 - 9,2359
Albany,WA,10 - 14,2533
Albany,WA,15 - 19,2480
Albany,WA,20 - 24,1965
Albany,WA,25 - 29,1934
Albany,WA,30 - 34,1908
Albany,WA,35 - 39,2112
Albany,WA,40 - 44,2488
Albany,WA,45 - 49,2403
Albany,WA,50 - 54,2571
Albany,WA,55 - 59,2362
Albany,WA,60 - 64,2244
Albany,WA,65 - 69,1806
Albany,WA,70 - 74,1517
Albany,WA,75 - 79,1184
Albany,WA,80 - 84,887
Albany,WA,85 and over,767
Albury,NSW,0 - 4,3205
Albury,NSW,5 - 9,3143
Albury,NSW,10 - 14,3180
Albury,NSW,15 - 19,3598
Albury,NSW,20 - 24,3739
Albury,NSW,25 - 29,3328
Albury,NSW,30 - 34,3140
Albury,NSW,35 - 39,3039
Albury,NSW,40 - 44,3319
Albury,NSW,45 - 49,3103
Albury,NSW,50 - 54,3474
Albury,NSW,55 - 59,3043
Albury,NSW,60 - 64,2714
Albury,NSW,65 - 69,2317
Albury,NSW,70 - 74,1786
Albury,NSW,75 - 79,1410
Albury,NSW,80 - 84,1149
Albury,NSW,85 and over,1098
Alexandrina,SA,0 - 4,1305
Alexandrina,SA,5 - 9,1368
Alexandrina,SA,10 - 14,1426
Alexandrina,SA,15 - 19,1389
Alexandrina,SA,20 - 24,1114
Alexandrina,SA,25 - 29,949
Alexandrina,SA,30 - 34,1059
Alexandrina,SA,35 - 39,1295
Alexandrina,SA,40 - 44,1553
Alexandrina,SA,45 - 49,1563
Alexandrina,SA,50 - 54,1807
Alexandrina,SA,55 - 59,1774
Alexandrina,SA,60 - 64,2100
Alexandrina,SA,65 - 69,2008
Alexandrina,SA,70 - 74,1558
Alexandrina,SA,75 - 79,1036
Alexandrina,SA,80 - 84,784
Alexandrina,SA,85 and over,605
Alice Springs,NT,0 - 4,2265
Alice Springs,NT,5 - 9,1927
Alice Springs,NT,10 - 14,1928
Alice Springs,NT,15 - 19,1782
Alice Springs,NT,20 - 24,2004
Alice Springs,NT,25 - 29,2524
Alice Springs,NT,30 - 34,2387
Alice Springs,NT,35 - 39,2129
Alice Springs,NT,40 - 44,2219
Alice Springs,NT,45 - 49,2183
Alice Springs,NT,50 - 54,2101
Alice Springs,NT,55 - 59,1881
Alice Springs,NT,60 - 64,1257
Alice Springs,NT,65 - 69,759
Alice Springs,NT,70 - 74,465
Alice Springs,NT,75 - 79,242
Alice Springs,NT,80 - 84,184
Alice Springs,NT,85 and over,118
Alpine,VIC,0 - 4,641
Alpine,VIC,5 - 9,680
Alpine,VIC,10 - 14,736
Alpine,VIC,15 - 19,726
Alpine,VIC,20 - 24,458
Alpine,VIC,25 - 29,455
Alpine,VIC,30 - 34,476
Alpine,VIC,35 - 39,657
Alpine,VIC,40 - 44,814
Alpine,VIC,45 - 49,861
Alpine,VIC,50 - 54,1059
Alpine,VIC,55 - 59,1019
Alpine,VIC,60 - 64,943
Alpine,VIC,65 - 69,858
Alpine,VIC,70 - 74,649
Alpine,VIC,75 - 79,479
Alpine,VIC,80 - 84,349
Alpine,VIC,85 and over,323
Anangu Pitjantjatjara,SA,0 - 4,237
Anangu Pitjantjatjara,SA,5 - 9,237
Anangu Pitjantjatjara,SA,10 - 14,189
Anangu Pitjantjatjara,SA,15 - 19,259
Anangu Pitjantjatjara,SA,20 - 24,285
Anangu Pitjantjatjara,SA,25 - 29,294
Anangu Pitjantjatjara,SA,30 - 34,201
Anangu Pitjantjatjara,SA,35 - 39,191
Anangu Pitjantjatjara,SA,40 - 44,174
Anangu Pitjantjatjara,SA,45 - 49,150
Anangu Pitjantjatjara,SA,50 - 54,107
Anangu Pitjantjatjara,SA,55 - 59,101
Anangu Pitjantjatjara,SA,60 - 64,89
Anangu Pitjantjatjara,SA,65 - 69,42
Anangu Pitjantjatjara,SA,70 - 74,39
Anangu Pitjantjatjara,SA,75 - 79,24
Anangu Pitjantjatjara,SA,80 - 84,11
Anangu Pitjantjatjara,SA,85 and over,21
Ararat,VIC,0 - 4,668
Ararat,VIC,5 - 9,649
Ararat,VIC,10 - 14,644
Ararat,VIC,15 - 19,656
Ararat,VIC,20 - 24,562
Ararat,VIC,25 - 29,561
Ararat,VIC,30 - 34,578
Ararat,VIC,35 - 39,663
Ararat,VIC,40 - 44,784
Ararat,VIC,45 - 49,755
Ararat,VIC,50 - 54,846
Ararat,VIC,55 - 59,843
Ararat,VIC,60 - 64,854
Ararat,VIC,65 - 69,693
Ararat,VIC,70 - 74,590
Ararat,VIC,75 - 79,415
Ararat,VIC,80 - 84,355
Ararat,VIC,85 and over,284
Armadale,WA,0 - 4,5469
Armadale,WA,5 - 9,4688
Armadale,WA,10 - 14,4399
Armadale,WA,15 - 19,4786
Armadale,WA,20 - 24,5561
Armadale,WA,25 - 29,5952
Armadale,WA,30 - 34,5323
Armadale,WA,35 - 39,4484
Armadale,WA,40 - 44,4667
Armadale,WA,45 - 49,4484
Armadale,WA,50 - 54,4421
Armadale,WA,55 - 59,3873
Armadale,WA,60 - 64,3545
Armadale,WA,65 - 69,2683
Armadale,WA,70 - 74,1846
Armadale,WA,75 - 79,1304
Armadale,WA,80 - 84,925
Armadale,WA,85 and over,691
Ashburton,WA,0 - 4,758
Ashburton,WA,5 - 9,599
Ashburton,WA,10 - 14,463
Ashburton,WA,15 - 19,315
Ashburton,WA,20 - 24,820
Ashburton,WA,25 - 29,1500
Ashburton,WA,30 - 34,1392
Ashburton,WA,35 - 39,1284
Ashburton,WA,40 - 44,1199
Ashburton,WA,45 - 49,1007
Ashburton,WA,50 - 54,835
Ashburton,WA,55 - 59,570
Ashburton,WA,60 - 64,274
Ashburton,WA,65 - 69,111
Ashburton,WA,70 - 74,38
Ashburton,WA,75 - 79,19
Ashburton,WA,80 - 84,4
Ashburton,WA,85 and over,6
Augusta-Margaret River,WA,0 - 4,992
Augusta-Margaret River,WA,5 - 9,881
Augusta-Margaret River,WA,10 - 14,866
Augusta-Margaret River,WA,15 - 19,651
Augusta-Margaret River,WA,20 - 24,523
Augusta-Margaret River,WA,25 - 29,812
Augusta-Margaret River,WA,30 - 34,954
Augusta-Margaret River,WA,35 - 39,1038
Augusta-Margaret River,WA,40 - 44,1052
Augusta-Margaret River,WA,45 - 49,911
Augusta-Margaret River,WA,50 - 54,955
Augusta-Margaret River,WA,55 - 59,877
Augusta-Margaret River,WA,60 - 64,741
Augusta-Margaret River,WA,65 - 69,548
Augusta-Margaret River,WA,70 - 74,399
Augusta-Margaret River,WA,75 - 79,274
Augusta-Margaret River,WA,80 - 84,208
Augusta-Margaret River,WA,85 and over,188
Aurukun,QLD,0 - 4,138
Aurukun,QLD,5 - 9,143
Aurukun,QLD,10 - 14,114
Aurukun,QLD,15 - 19,114
Aurukun,QLD,20 - 24,150
Aurukun,QLD,25 - 29,101
Aurukun,QLD,30 - 34,120
Aurukun,QLD,35 - 39,109
Aurukun,QLD,40 - 44,114
Aurukun,QLD,45 - 49,71
Aurukun,QLD,50 - 54,72
Aurukun,QLD,55 - 59,49
Aurukun,QLD,60 - 64,33
Aurukun,QLD,65 - 69,28
Aurukun,QLD,70 - 74,6
Aurukun,QLD,75 - 79,2
Aurukun,QLD,80 - 84,3
Aurukun,QLD,85 and over,5
Ballarat,VIC,0 - 4,6547
Ballarat,VIC,5 - 9,6167
Ballarat,VIC,10 - 14,6036
Ballarat,VIC,15 - 19,6875
Ballarat,VIC,20 - 24,7935
Ballarat,VIC,25 - 29,6581
Ballarat,VIC,30 - 34,5918
Ballarat,VIC,35 - 39,5973
Ballarat,VIC,40 - 44,6391
Ballarat,VIC,45 - 49,6147
Ballarat,VIC,50 - 54,6267
Ballarat,VIC,55 - 59,5773
Ballarat,VIC,60 - 64,5291
Ballarat,VIC,65 - 69,4394
Ballarat,VIC,70 - 74,3435
Ballarat,VIC,75 - 79,2741
Ballarat,VIC,80 - 84,2197
Ballarat,VIC,85 and over,2060
Ballina,NSW,0 - 4,2225
Ballina,NSW,5 - 9,2373
Ballina,NSW,10 - 14,2658
Ballina,NSW,15 - 19,2447
Ballina,NSW,20 - 24,1821
Ballina,NSW,25 - 29,1746
Ballina,NSW,30 - 34,1878
Ballina,NSW,35 - 39,2273
Ballina,NSW,40 - 44,2707
Ballina,NSW,45 - 49,2804
Ballina,NSW,50 - 54,3152
Ballina,NSW,55 - 59,3090
Ballina,NSW,60 - 64,2951
Ballina,NSW,65 - 69,2553
Ballina,NSW,70 - 74,1934
Ballina,NSW,75 - 79,1574
Ballina,NSW,80 - 84,1430
Ballina,NSW,85 and over,1502
Balonne,QLD,0 - 4,402
Balonne,QLD,5 - 9,416
Balonne,QLD,10 - 14,357
Balonne,QLD,15 - 19,247
