Local Government Area,State/Territory,Age Group,Population
Adelaide,SA,0 - 4,488
Adelaide,SA,5 - 9,313
Adelaide,SA,10 - 14,326
Adelaide,SA,15 - 19,1302
Adelaide,SA,20 - 24,3896
Adelaide,SA,25 - 29,2651
Adelaide,SA,30 - 34,1710
Adelaide,SA,35 - 39,1293
Adelaide,SA,40 - 44,1083
Adelaide,SA,45 - 49,1006
Adelaide,SA,50 - 54,997
Adelaide,SA,55 - 59,1100
Adelaide,SA,60 - 64,968
Adelaide,SA,65 - 69,615
Adelaide,SA,70 - 74,444
Adelaide,SA,75 - 79,341
Adelaide,SA,80 - 84,330
Adelaide,SA,85 and over,354
Adelaide Hills,SA,0 - 4,2338
Adelaide Hills,SA,5 - 9,2577
Adelaide Hills,SA,10 - 14,2745
Adelaide Hills,SA,15 - 19,3000
Adelaide Hills,SA,20 - 24,2149
Adelaide Hills,SA,25 - 29,1510
Adelaide Hills,SA,30 - 34,1985
Adelaide Hills,SA,35 - 39,2857
Adelaide Hills,SA,40 - 44,3023
Adelaide Hills,SA,45 - 49,3391
Adelaide Hills,SA,50 - 54,3283
Adelaide Hills,SA,55 - 59,3153
Adelaide Hills,SA,60 - 64,2633
Adelaide Hills,SA,65 - 69,1648
Adelaide Hills,SA,70 - 74,1100
Adelaide Hills,SA,75 - 79,823
Adelaide Hills,SA,80 - 84,557
Adelaide Hills,SA,85 and over,529
Albany,WA,0 - 4,2085
Albany,WA,5 - 9,2194
Albany,WA,10 - 14,2506
Albany,WA,15 - 19,2463
Albany,WA,20 - 24,1775
Albany,WA,25 - 29,1638
Albany,WA,30 - 34,1894
Albany,WA,35 - 39,2281
Albany,WA,40 - 44,2301
Albany,WA,45 - 49,2592
Albany,WA,50 - 54,2370
Albany,WA,55 - 59,2202
Albany,WA,60 - 64,1837
Albany,WA,65 - 69,1581
Albany,WA,70 - 74,1360
Albany,WA,75 - 79,1144
Albany,WA,80 - 84,843
Albany,WA,85 and over,638
Albury,NSW,0 - 4,3232
Albury,NSW,5 - 9,3083
Albury,NSW,10 - 14,3398
Albury,NSW,15 - 19,3795
Albury,NSW,20 - 24,3716
Albury,NSW,25 - 29,3192
Albury,NSW,30 - 34,2996
Albury,NSW,35 - 39,3305
Albury,NSW,40 - 44,3088
Albury,NSW,45 - 49,3491
Albury,NSW,50 - 54,3184
Albury,NSW,55 - 59,2875
Albury,NSW,60 - 64,2451
Albury,NSW,65 - 69,1885
Albury,NSW,70 - 74,1528
Albury,NSW,75 - 79,1365
Albury,NSW,80 - 84,1027
Albury,NSW,85 and over,907
Alexandrina,SA,0 - 4,1254
Alexandrina,SA,5 - 9,1296
Alexandrina,SA,10 - 14,1344
Alexandrina,SA,15 - 19,1415
Alexandrina,SA,20 - 24,888
Alexandrina,SA,25 - 29,886
Alexandrina,SA,30 - 34,1034
Alexandrina,SA,35 - 39,1385
Alexandrina,SA,40 - 44,1346
Alexandrina,SA,45 - 49,1649
Alexandrina,SA,50 - 54,1610
Alexandrina,SA,55 - 59,1777
Alexandrina,SA,60 - 64,1857
Alexandrina,SA,65 - 69,1539
Alexandrina,SA,70 - 74,1169
Alexandrina,SA,75 - 79,934
Alexandrina,SA,80 - 84,619
Alexandrina,SA,85 and over,470
Alice Springs,NT,0 - 4,2023
Alice Springs,NT,5 - 9,2011
Alice Springs,NT,10 - 14,1981
