Local Government Area,State/Territory,Age Group,Population
Adelaide,SA,0 - 4,584
Adelaide,SA,5 - 9,436
Adelaide,SA,10 - 14,354
Adelaide,SA,15 - 19,1755
Adelaide,SA,20 - 24,4958
Adelaide,SA,25 - 29,3266
Adelaide,SA,30 - 34,2258
Adelaide,SA,35 - 39,1385
Adelaide,SA,40 - 44,1094
Adelaide,SA,45 - 49,1069
Adelaide,SA,50 - 54,1195
Adelaide,SA,55 - 59,1090
Adelaide,SA,60 - 64,1071
Adelaide,SA,65 - 69,1139
Adelaide,SA,70 - 74,733
Adelaide,SA,75 - 79,498
Adelaide,SA,80 - 84,267
Adelaide,SA,85 and over,400
Adelaide Hills,SA,0 - 4,2072
Adelaide Hills,SA,5 - 9,2649
Adelaide Hills,SA,10 - 14,2789
Adelaide Hills,SA,15 - 19,2737
Adelaide Hills,SA,20 - 24,2103
Adelaide Hills,SA,25 - 29,1580
Adelaide Hills,SA,30 - 34,1730
Adelaide Hills,SA,35 - 39,2118
Adelaide Hills,SA,40 - 44,2820
Adelaide Hills,SA,45 - 49,3189
Adelaide Hills,SA,50 - 54,3122
Adelaide Hills,SA,55 - 59,3146
Adelaide Hills,SA,60 - 64,2822
Adelaide Hills,SA,65 - 69,2649
Adelaide Hills,SA,70 - 74,1729
Adelaide Hills,SA,75 - 79,1046
Adelaide Hills,SA,80 - 84,669
Adelaide Hills,SA,85 and over,662
Albany,WA,0 - 4,2153
Albany,WA,5 - 9,2385
Albany,WA,10 - 14,2552
Albany,WA,15 - 19,2452
Albany,WA,20 - 24,1895
Albany,WA,25 - 29,2097
Albany,WA,30 - 34,2043
Albany,WA,35 - 39,2001
Albany,WA,40 - 44,2288
Albany,WA,45 - 49,2492
Albany,WA,50 - 54,2480
Albany,WA,55 - 59,2652
Albany,WA,60 - 64,2428
Albany,WA,65 - 69,2309
Albany,WA,70 - 74,1752
Albany,WA,75 - 79,1328
Albany,WA,80 - 84,950
Albany,WA,85 and over,1028
Albury,NSW,0 - 4,3505
Albury,NSW,5 - 9,3279
Albury,NSW,10 - 14,3228
Albury,NSW,15 - 19,3381
Albury,NSW,20 - 24,3744
Albury,NSW,25 - 29,3485
Albury,NSW,30 - 34,3400
Albury,NSW,35 - 39,3143
Albury,NSW,40 - 44,3206
Albury,NSW,45 - 49,3330
Albury,NSW,50 - 54,3188
Albury,NSW,55 - 59,3322
Albury,NSW,60 - 64,2987
Albury,NSW,65 - 69,2670
Albury,NSW,70 - 74,2136
Albury,NSW,75 - 79,1641
Albury,NSW,80 - 84,1209
Albury,NSW,85 and over,1317
Alexandrina,SA,0 - 4,1229
Alexandrina,SA,5 - 9,1487
Alexandrina,SA,10 - 14,1542
Alexandrina,SA,15 - 19,1355
Alexandrina,SA,20 - 24,1113
Alexandrina,SA,25 - 29,1098
Alexandrina,SA,30 - 34,1084
Alexandrina,SA,35 - 39,1194
Alexandrina,SA,40 - 44,1559
Alexandrina,SA,45 - 49,1628
Alexandrina,SA,50 - 54,1789
Alexandrina,SA,55 - 59,2018
Alexandrina,SA,60 - 64,2097
Alexandrina,SA,65 - 69,2398
Alexandrina,SA,70 - 74,1921
Alexandrina,SA,75 - 79,1384
Alexandrina,SA,80 - 84,834
Alexandrina,SA,85 and over,832
Alice Springs,NT,0 - 4,2002
Alice Springs,NT,5 - 9,1945
Alice Springs,NT,10 - 14,1657
Alice Springs,NT,15 - 19,1492
Alice Springs,NT,20 - 24,1586
Alice Springs,NT,25 - 29,2335
Alice Springs,NT,30 - 34,2383
Alice Springs,NT,35 - 39,1941
Alice Springs,NT,40 - 44,1902
Alice Springs,NT,45 - 49,1997
Alice Springs,NT,50 - 54,1953
Alice Springs,NT,55 - 59,1801
Alice Springs,NT,60 - 64,1396
Alice Springs,NT,65 - 69,878
Alice Springs,NT,70 - 74,563
Alice Springs,NT,75 - 79,335
Alice Springs,NT,80 - 84,205
Alice Springs,NT,85 and over,147
Alpine,VIC,0 - 4,587
Alpine,VIC,5 - 9,754
Alpine,VIC,10 - 14,730
Alpine,VIC,15 - 19,676
Alpine,VIC,20 - 24,470
Alpine,VIC,25 - 29,519
Alpine,VIC,30 - 34,512
Alpine,VIC,35 - 39,598
Alpine,VIC,40 - 44,822
Alpine,VIC,45 - 49,854
Alpine,VIC,50 - 54,978
Alpine,VIC,55 - 59,1088
Alpine,VIC,60 - 64,1033
Alpine,VIC,65 - 69,969
Alpine,VIC,70 - 74,743
Alpine,VIC,75 - 79,518
Alpine,VIC,80 - 84,367
Alpine,VIC,85 and over,360
Anangu Pitjantjatjara,SA,0 - 4,220
Anangu Pitjantjatjara,SA,5 - 9,209
Anangu Pitjantjatjara,SA,10 - 14,189
Anangu Pitjantjatjara,SA,15 - 19,218
Anangu Pitjantjatjara,SA,20 - 24,287
Anangu Pitjantjatjara,SA,25 - 29,259
Anangu Pitjantjatjara,SA,30 - 34,204
Anangu Pitjantjatjara,SA,35 - 39,178
Anangu Pitjantjatjara,SA,40 - 44,161
Anangu Pitjantjatjara,SA,45 - 49,170
Anangu Pitjantjatjara,SA,50 - 54,117
Anangu Pitjantjatjara,SA,55 - 59,83
Anangu Pitjantjatjara,SA,60 - 64,91
Anangu Pitjantjatjara,SA,65 - 69,52
Anangu Pitjantjatjara,SA,70 - 74,26
Anangu Pitjantjatjara,SA,75 - 79,17
Anangu Pitjantjatjara,SA,80 - 84,6
Anangu Pitjantjatjara,SA,85 and over,11
Ararat,VIC,0 - 4,607
Ararat,VIC,5 - 9,651
Ararat,VIC,10 - 14,623
Ararat,VIC,15 - 19,608
Ararat,VIC,20 - 24,573
Ararat,VIC,25 - 29,659
Ararat,VIC,30 - 34,648
Ararat,VIC,35 - 39,687
Ararat,VIC,40 - 44,700
Ararat,VIC,45 - 49,824
Ararat,VIC,50 - 54,812
Ararat,VIC,55 - 59,889
Ararat,VIC,60 - 64,869
Ararat,VIC,65 - 69,809
Ararat,VIC,70 - 74,628
Ararat,VIC,75 - 79,471
Ararat,VIC,80 - 84,344
Ararat,VIC,85 and over,343
Armadale,WA,0 - 4,7384
Armadale,WA,5 - 9,6066
Armadale,WA,10 - 14,4929
Armadale,WA,15 - 19,4848
Armadale,WA,20 - 24,5647
Armadale,WA,25 - 29,7047
Armadale,WA,30 - 34,7510
Armadale,WA,35 - 39,6212
Armadale,WA,40 - 44,5318
Armadale,WA,45 - 49,4981
Armadale,WA,50 - 54,4838
Armadale,WA,55 - 59,4351
Armadale,WA,60 - 64,3876
Armadale,WA,65 - 69,3384
Armadale,WA,70 - 74,2214
Armadale,WA,75 - 79,1575
Armadale,WA,80 - 84,968
Armadale,WA,85 and over,873
Ashburton,WA,0 - 4,745
Ashburton,WA,5 - 9,668
Ashburton,WA,10 - 14,393
Ashburton,WA,15 - 19,257
Ashburton,WA,20 - 24,615
Ashburton,WA,25 - 29,1723
Ashburton,WA,30 - 34,1881
Ashburton,WA,35 - 39,1621
Ashburton,WA,40 - 44,1444
Ashburton,WA,45 - 49,1256
Ashburton,WA,50 - 54,1128
Ashburton,WA,55 - 59,858
Ashburton,WA,60 - 64,473
Ashburton,WA,65 - 69,154
Ashburton,WA,70 - 74,51
Ashburton,WA,75 - 79,34
Ashburton,WA,80 - 84,7
Ashburton,WA,85 and over,3
Augusta-Margaret River,WA,0 - 4,1120
Augusta-Margaret River,WA,5 - 9,1141
Augusta-Margaret River,WA,10 - 14,983
