"MEASURE","Measure","SEX_ABS","Sex","AGE","Age","LGA_2017","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","0","Australia","A","Annual","2016","2016",1573626,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","1","New South Wales","A","Annual","2016","2016",501131,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10050","Albury (C)","A","Annual","2016","2016",3505,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10130","Armidale Regional (A)","A","Annual","2016","2016",1816,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10250","Ballina (A)","A","Annual","2016","2016",2272,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10300","Balranald (A)","A","Annual","2016","2016",159,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10470","Bathurst Regional (A)","A","Annual","2016","2016",2753,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10500","Bayside (A)","A","Annual","2016","2016",10337,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10550","Bega Valley (A)","A","Annual","2016","2016",1648,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10600","Bellingen (A)","A","Annual","2016","2016",664,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10650","Berrigan (A)","A","Annual","2016","2016",505,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10750","Blacktown (C)","A","Annual","2016","2016",28682,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10800","Bland (A)","A","Annual","2016","2016",382,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10850","Blayney (A)","A","Annual","2016","2016",480,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10900","Blue Mountains (C)","A","Annual","2016","2016",4577,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10950","Bogan (A)","A","Annual","2016","2016",225,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11150","Bourke (A)","A","Annual","2016","2016",241,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11200","Brewarrina (A)","A","Annual","2016","2016",137,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11250","Broken Hill (C)","A","Annual","2016","2016",1054,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11300","Burwood (A)","A","Annual","2016","2016",1820,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11350","Byron (A)","A","Annual","2016","2016",1707,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11400","Cabonne (A)","A","Annual","2016","2016",881,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11450","Camden (A)","A","Annual","2016","2016",6930,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11500","Campbelltown (C) (NSW)","A","Annual","2016","2016",12340,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11520","Canada Bay (A)","A","Annual","2016","2016",5869,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11570","Canterbury-Bankstown (A)","A","Annual","2016","2016",26734,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11600","Carrathool (A)","A","Annual","2016","2016",196,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11650","Central Coast (C) (NSW)","A","Annual","2016","2016",20802,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11700","Central Darling (A)","A","Annual","2016","2016",157,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11720","Cessnock (C)","A","Annual","2016","2016",4062,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11730","Clarence Valley (A)","A","Annual","2016","2016",2689,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11750","Cobar (A)","A","Annual","2016","2016",399,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11800","Coffs Harbour (C)","A","Annual","2016","2016",4410,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12000","Coolamon (A)","A","Annual","2016","2016",262,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12150","Coonamble (A)","A","Annual","2016","2016",294,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12350","Cowra (A)","A","Annual","2016","2016",732,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12380","Cumberland (A)","A","Annual","2016","2016",17977,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12700","Dungog (A)","A","Annual","2016","2016",517,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12730","Edward River (A)","A","Annual","2016","2016",539,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12750","Eurobodalla (A)","A","Annual","2016","2016",1660,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12850","Fairfield (C)","A","Annual","2016","2016",12937,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12870","Federation (A)","A","Annual","2016","2016",698,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12900","Forbes (A)","A","Annual","2016","2016",697,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12930","Georges River (A)","A","Annual","2016","2016",9191,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","12950","Gilgandra (A)","A","Annual","2016","2016",274,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13010","Glen Innes Severn (A)","A","Annual","2016","2016",502,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13310","Goulburn Mulwaree (A)","A","Annual","2016","2016",1874,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13340","Greater Hume Shire (A)","A","Annual","2016","2016",672,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13450","Griffith (C)","A","Annual","2016","2016",1925,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13510","Gundagai (A)","A","Annual","2016","2016",628,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13550","Gunnedah (A)","A","Annual","2016","2016",985,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13660","Gwydir (A)","A","Annual","2016","2016",362,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13800","Hawkesbury (C)","A","Annual","2016","2016",4385,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13850","Hay (A)","A","Annual","2016","2016",153,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","13910","Hilltops (A)","A","Annual","2016","2016",1187,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14000","Hornsby (A)","A","Annual","2016","2016",8971,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","14100","Hunters Hill (A)","A","Annual","2016","2016",807,,
