"MEASURE","Measure","SEX_ABS","Sex","AGE","Age","LGA_2017","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","0","Australia","A","Annual","2002","2002",1269042,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","1","New South Wales","A","Annual","2002","2002",431759,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10050","Albury (C)","A","Annual","2002","2002",3070,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10130","Armidale Regional (A)","A","Annual","2002","2002",1789,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10250","Ballina (A)","A","Annual","2002","2002",2210,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10300","Balranald (A)","A","Annual","2002","2002",200,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10470","Bathurst Regional (A)","A","Annual","2002","2002",2401,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10500","Bayside (A)","A","Annual","2002","2002",8341,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10550","Bega Valley (A)","A","Annual","2002","2002",1734,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10600","Bellingen (A)","A","Annual","2002","2002",724,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10650","Berrigan (A)","A","Annual","2002","2002",483,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10750","Blacktown (C)","A","Annual","2002","2002",22694,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10800","Bland (A)","A","Annual","2002","2002",491,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10850","Blayney (A)","A","Annual","2002","2002",471,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10900","Blue Mountains (C)","A","Annual","2002","2002",4871,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","10950","Bogan (A)","A","Annual","2002","2002",262,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11150","Bourke (A)","A","Annual","2002","2002",376,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11200","Brewarrina (A)","A","Annual","2002","2002",202,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11250","Broken Hill (C)","A","Annual","2002","2002",1309,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11300","Burwood (A)","A","Annual","2002","2002",1569,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11350","Byron (A)","A","Annual","2002","2002",1704,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11400","Cabonne (A)","A","Annual","2002","2002",791,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11450","Camden (A)","A","Annual","2002","2002",4142,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11500","Campbelltown (C) (NSW)","A","Annual","2002","2002",11512,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11520","Canada Bay (A)","A","Annual","2002","2002",3664,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11570","Canterbury-Bankstown (A)","A","Annual","2002","2002",21848,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11600","Carrathool (A)","A","Annual","2002","2002",262,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11650","Central Coast (C) (NSW)","A","Annual","2002","2002",19706,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11700","Central Darling (A)","A","Annual","2002","2002",176,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11720","Cessnock (C)","A","Annual","2002","2002",3284,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11730","Clarence Valley (A)","A","Annual","2002","2002",2995,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","11750","Cobar (A)","A","Annual","2002","2002",469,,
