Local Government Area,State/Territory,Age Group,Population
Adelaide,SA,0 - 4,562
Adelaide,SA,5 - 9,451
Adelaide,SA,10 - 14,352
Adelaide,SA,15 - 19,1926
Adelaide,SA,20 - 24,5096
Adelaide,SA,25 - 29,3284
Adelaide,SA,30 - 34,2280
Adelaide,SA,35 - 39,1475
Adelaide,SA,40 - 44,1067
Adelaide,SA,45 - 49,1084
Adelaide,SA,50 - 54,1194
Adelaide,SA,55 - 59,1173
Adelaide,SA,60 - 64,1096
Adelaide,SA,65 - 69,1101
Adelaide,SA,70 - 74,832
Adelaide,SA,75 - 79,513
Adelaide,SA,80 - 84,309
Adelaide,SA,85 and over,398
Adelaide Hills,SA,0 - 4,2059
Adelaide Hills,SA,5 - 9,2614
Adelaide Hills,SA,10 - 14,2821
Adelaide Hills,SA,15 - 19,2828
Adelaide Hills,SA,20 - 24,2059
Adelaide Hills,SA,25 - 29,1509
Adelaide Hills,SA,30 - 34,1720
Adelaide Hills,SA,35 - 39,2099
Adelaide Hills,SA,40 - 44,2702
Adelaide Hills,SA,45 - 49,3239
Adelaide Hills,SA,50 - 54,3011
Adelaide Hills,SA,55 - 59,3111
Adelaide Hills,SA,60 - 64,2856
Adelaide Hills,SA,65 - 69,2601
Adelaide Hills,SA,70 - 74,1901
Adelaide Hills,SA,75 - 79,1141
Adelaide Hills,SA,80 - 84,673
Adelaide Hills,SA,85 and over,708
Albany,WA,0 - 4,2105
Albany,WA,5 - 9,2317
Albany,WA,10 - 14,2577
Albany,WA,15 - 19,2572
Albany,WA,20 - 24,1930
Albany,WA,25 - 29,1993
Albany,WA,30 - 34,2102
Albany,WA,35 - 39,1980
Albany,WA,40 - 44,2268
Albany,WA,45 - 49,2525
Albany,WA,50 - 54,2435
Albany,WA,55 - 59,2701
Albany,WA,60 - 64,2445
Albany,WA,65 - 69,2329
Albany,WA,70 - 74,1859
Albany,WA,75 - 79,1406
Albany,WA,80 - 84,985
Albany,WA,85 and over,1032
Albury,NSW,0 - 4,3658
Albury,NSW,5 - 9,3273
Albury,NSW,10 - 14,3318
Albury,NSW,15 - 19,3348
Albury,NSW,20 - 24,3869
Albury,NSW,25 - 29,3491
Albury,NSW,30 - 34,3337
Albury,NSW,35 - 39,3253
Albury,NSW,40 - 44,3149
Albury,NSW,45 - 49,3426
Albury,NSW,50 - 54,3092
Albury,NSW,55 - 59,3411
Albury,NSW,60 - 64,3015
Albury,NSW,65 - 69,2711
Albury,NSW,70 - 74,2314
Albury,NSW,75 - 79,1703
Albury,NSW,80 - 84,1234
Albury,NSW,85 and over,1347
Alexandrina,SA,0 - 4,1210
Alexandrina,SA,5 - 9,1464
Alexandrina,SA,10 - 14,1521
Alexandrina,SA,15 - 19,1410
Alexandrina,SA,20 - 24,1071
Alexandrina,SA,25 - 29,1118
Alexandrina,SA,30 - 34,1113
Alexandrina,SA,35 - 39,1182
Alexandrina,SA,40 - 44,1497
Alexandrina,SA,45 - 49,1688
Alexandrina,SA,50 - 54,1705
Alexandrina,SA,55 - 59,2018
Alexandrina,SA,60 - 64,2126
Alexandrina,SA,65 - 69,2357
Alexandrina,SA,70 - 74,2087
Alexandrina,SA,75 - 79,1477
Alexandrina,SA,80 - 84,890
Alexandrina,SA,85 and over,858
Alice Springs,NT,0 - 4,1972
Alice Springs,NT,5 - 9,1984
Alice Springs,NT,10 - 14,1646
Alice Springs,NT,15 - 19,1543
Alice Springs,NT,20 - 24,1523
Alice Springs,NT,25 - 29,2326
Alice Springs,NT,30 - 34,2368
Alice Springs,NT,35 - 39,1922
Alice Springs,NT,40 - 44,1808
Alice Springs,NT,45 - 49,2018
Alice Springs,NT,50 - 54,1903
Alice Springs,NT,55 - 59,1819
Alice Springs,NT,60 - 64,1485
Alice Springs,NT,65 - 69,915
Alice Springs,NT,70 - 74,596
Alice Springs,NT,75 - 79,350
Alice Springs,NT,80 - 84,202
Alice Springs,NT,85 and over,169
Alpine,VIC,0 - 4,553
Alpine,VIC,5 - 9,733
Alpine,VIC,10 - 14,774
Alpine,VIC,15 - 19,683
Alpine,VIC,20 - 24,453
Alpine,VIC,25 - 29,537
Alpine,VIC,30 - 34,532
Alpine,VIC,35 - 39,627
Alpine,VIC,40 - 44,770
Alpine,VIC,45 - 49,898
Alpine,VIC,50 - 54,927
Alpine,VIC,55 - 59,1108
Alpine,VIC,60 - 64,1052
Alpine,VIC,65 - 69,936
Alpine,VIC,70 - 74,797
Alpine,VIC,75 - 79,529
Alpine,VIC,80 - 84,370
Alpine,VIC,85 and over,360
Anangu Pitjantjatjara,SA,0 - 4,228
