Local Government Area,State/Territory,Age Group,Population
Adelaide,SA,0 - 4,385
Adelaide,SA,5 - 9,260
Adelaide,SA,10 - 14,280
Adelaide,SA,15 - 19,1151
Adelaide,SA,20 - 24,2830
Adelaide,SA,25 - 29,1926
Adelaide,SA,30 - 34,1438
Adelaide,SA,35 - 39,1054
Adelaide,SA,40 - 44,914
Adelaide,SA,45 - 49,899
Adelaide,SA,50 - 54,950
Adelaide,SA,55 - 59,998
Adelaide,SA,60 - 64,662
Adelaide,SA,65 - 69,474
Adelaide,SA,70 - 74,375
Adelaide,SA,75 - 79,393
Adelaide,SA,80 - 84,303
Adelaide,SA,85 and over,321
Adelaide Hills,SA,0 - 4,2294
Adelaide Hills,SA,5 - 9,2595
Adelaide Hills,SA,10 - 14,3009
Adelaide Hills,SA,15 - 19,2955
Adelaide Hills,SA,20 - 24,2004
Adelaide Hills,SA,25 - 29,1699
Adelaide Hills,SA,30 - 34,2402
Adelaide Hills,SA,35 - 39,2769
Adelaide Hills,SA,40 - 44,3363
Adelaide Hills,SA,45 - 49,3393
Adelaide Hills,SA,50 - 54,3363
Adelaide Hills,SA,55 - 59,3015
Adelaide Hills,SA,60 - 64,1947
Adelaide Hills,SA,65 - 69,1347
Adelaide Hills,SA,70 - 74,999
Adelaide Hills,SA,75 - 79,767
Adelaide Hills,SA,80 - 84,536
Adelaide Hills,SA,85 and over,433
Albany,WA,0 - 4,1943
Albany,WA,5 - 9,2263
Albany,WA,10 - 14,2519
Albany,WA,15 - 19,2406
Albany,WA,20 - 24,1616
Albany,WA,25 - 29,1712
Albany,WA,30 - 34,1998
Albany,WA,35 - 39,2183
Albany,WA,40 - 44,2471
Albany,WA,45 - 49,2401
Albany,WA,50 - 54,2216
Albany,WA,55 - 59,1855
Albany,WA,60 - 64,1625
Albany,WA,65 - 69,1480
Albany,WA,70 - 74,1257
Albany,WA,75 - 79,1011
Albany,WA,80 - 84,760
Albany,WA,85 and over,521
Albury,NSW,0 - 4,3015
Albury,NSW,5 - 9,3265
Albury,NSW,10 - 14,3459
Albury,NSW,15 - 19,3622
Albury,NSW,20 - 24,3503
Albury,NSW,25 - 29,2925
Albury,NSW,30 - 34,3169
Albury,NSW,35 - 39,2994
Albury,NSW,40 - 44,3434
Albury,NSW,45 - 49,3313
Albury,NSW,50 - 54,3050
Albury,NSW,55 - 59,2621
Albury,NSW,60 - 64,1972
Albury,NSW,65 - 69,1649
Albury,NSW,70 - 74,1476
Albury,NSW,75 - 79,1327
Albury,NSW,80 - 84,935
Albury,NSW,85 and over,776
Alexandrina,SA,0 - 4,1071
Alexandrina,SA,5 - 9,1191
Alexandrina,SA,10 - 14,1430
Alexandrina,SA,15 - 19,1160
Alexandrina,SA,20 - 24,800
Alexandrina,SA,25 - 29,776
Alexandrina,SA,30 - 34,1118
Alexandrina,SA,35 - 39,1181
Alexandrina,SA,40 - 44,1520
Alexandrina,SA,45 - 49,1503
Alexandrina,SA,50 - 54,1488
Alexandrina,SA,55 - 59,1584
Alexandrina,SA,60 - 64,1415
Alexandrina,SA,65 - 69,1159
Alexandrina,SA,70 - 74,1021
Alexandrina,SA,75 - 79,803
Alexandrina,SA,80 - 84,465
Alexandrina,SA,85 and over,334
Alice Springs,NT,0 - 4,2017
Alice Springs,NT,5 - 9,2033
Alice Springs,NT,10 - 14,2204
Alice Springs,NT,15 - 19,1813
Alice Springs,NT,20 - 24,1786
Alice Springs,NT,25 - 29,2079
Alice Springs,NT,30 - 34,2351
Alice Springs,NT,35 - 39,2333
Alice Springs,NT,40 - 44,2436
Alice Springs,NT,45 - 49,2197
Alice Springs,NT,50 - 54,1873
Alice Springs,NT,55 - 59,1322
Alice Springs,NT,60 - 64,870
Alice Springs,NT,65 - 69,461
Alice Springs,NT,70 - 74,328
Alice Springs,NT,75 - 79,219
Alice Springs,NT,80 - 84,152
Alice Springs,NT,85 and over,109
Alpine,VIC,0 - 4,689
Alpine,VIC,5 - 9,789
Alpine,VIC,10 - 14,856
Alpine,VIC,15 - 19,796
Alpine,VIC,20 - 24,438
Alpine,VIC,25 - 29,535
Alpine,VIC,30 - 34,725
Alpine,VIC,35 - 39,801
Alpine,VIC,40 - 44,1004
Alpine,VIC,45 - 49,1007
Alpine,VIC,50 - 54,911
Alpine,VIC,55 - 59,922
Alpine,VIC,60 - 64,770
Alpine,VIC,65 - 69,646
Alpine,VIC,70 - 74,553
Alpine,VIC,75 - 79,460
Alpine,VIC,80 - 84,306
Alpine,VIC,85 and over,224
Anangu Pitjantjatjara,SA,0 - 4,173
Anangu Pitjantjatjara,SA,5 - 9,240
Anangu Pitjantjatjara,SA,10 - 14,213
Anangu Pitjantjatjara,SA,15 - 19,245
Anangu Pitjantjatjara,SA,20 - 24,247
Anangu Pitjantjatjara,SA,25 - 29,268
Anangu Pitjantjatjara,SA,30 - 34,223
Anangu Pitjantjatjara,SA,35 - 39,181
Anangu Pitjantjatjara,SA,40 - 44,135
Anangu Pitjantjatjara,SA,45 - 49,128
Anangu Pitjantjatjara,SA,50 - 54,129
Anangu Pitjantjatjara,SA,55 - 59,91
Anangu Pitjantjatjara,SA,60 - 64,72
Anangu Pitjantjatjara,SA,65 - 69,57
Anangu Pitjantjatjara,SA,70 - 74,35
Anangu Pitjantjatjara,SA,75 - 79,15
Anangu Pitjantjatjara,SA,80 - 84,12
Anangu Pitjantjatjara,SA,85 and over,5
Ararat,VIC,0 - 4,617
Ararat,VIC,5 - 9,743
Ararat,VIC,10 - 14,859
Ararat,VIC,15 - 19,691
Ararat,VIC,20 - 24,488
Ararat,VIC,25 - 29,548
Ararat,VIC,30 - 34,675
Ararat,VIC,35 - 39,720
Ararat,VIC,40 - 44,823
Ararat,VIC,45 - 49,894
Ararat,VIC,50 - 54,872
Ararat,VIC,55 - 59,831
Ararat,VIC,60 - 64,697
Ararat,VIC,65 - 69,575
Ararat,VIC,70 - 74,515
Ararat,VIC,75 - 79,451
Ararat,VIC,80 - 84,295
Ararat,VIC,85 and over,216
Armadale,WA,0 - 4,3494
Armadale,WA,5 - 9,3791
Armadale,WA,10 - 14,4284
Armadale,WA,15 - 19,4197
Armadale,WA,20 - 24,3595
Armadale,WA,25 - 29,3102
Armadale,WA,30 - 34,3442
Armadale,WA,35 - 39,3484
Armadale,WA,40 - 44,3847
Armadale,WA,45 - 49,3772
Armadale,WA,50 - 54,3668
Armadale,WA,55 - 59,3553
Armadale,WA,60 - 64,2361
Armadale,WA,65 - 69,1823
Armadale,WA,70 - 74,1377
Armadale,WA,75 - 79,1057
Armadale,WA,80 - 84,698
Armadale,WA,85 and over,496
Ashburton,WA,0 - 4,710
Ashburton,WA,5 - 9,720
Ashburton,WA,10 - 14,470
Ashburton,WA,15 - 19,330
Ashburton,WA,20 - 24,440
Ashburton,WA,25 - 29,684
Ashburton,WA,30 - 34,827
Ashburton,WA,35 - 39,737
Ashburton,WA,40 - 44,620
Ashburton,WA,45 - 49,518
Ashburton,WA,50 - 54,404
Ashburton,WA,55 - 59,243
Ashburton,WA,60 - 64,108
Ashburton,WA,65 - 69,58
Ashburton,WA,70 - 74,23
Ashburton,WA,75 - 79,19
Ashburton,WA,80 - 84,7
Ashburton,WA,85 and over,7
Augusta-Margaret River,WA,0 - 4,688
